author,sent_id,text,ARGx-LOC,STATE,TIME,WRITER-ARG0,REP-EVENT,EVENT,ARGx-ORG,ASP-EVENT,WRITER-ARGx,lemma
Q3187801,14,"He had a leading role in the political crisis in the Dominican Republic of 1994, events leading the called ""Pact for Democracy"" and as one of leader of his political organization, together with Danilo Medina and Leonel Fernández in 1996, were responsible for structuring a new political project inside the party, which later led to Leonel Fernández as a candidate for the Presidency of the Dominican Republic, who was elected winner of the elections held that year and became the first Head of State from Dominican Liberation Party.  (Juan Temístocles Montás)",in the Dominican Republic,role,of 1994,He,,,,,,role
Q3187801,14,"He had a leading role in the political crisis in the Dominican Republic of 1994, events leading the called ""Pact for Democracy"" and as one of leader of his political organization, together with Danilo Medina and Leonel Fernández in 1996, were responsible for structuring a new political project inside the party, which later led to Leonel Fernández as a candidate for the Presidency of the Dominican Republic, who was elected winner of the elections held that year and became the first Head of State from Dominican Liberation Party.  (Juan Temístocles Montás)",,leading,,He,,,,,,lead
Q1064470,11,"Although the play enjoyed a long run, Fuller has said it never played on Broadway because he refused to drop the last line, ""You'll have to get used to Black people being in charge.""  (Charles Fuller)",on Broadway,played,,Fuller,said,,,,,play
Q1064470,11,"Although the play enjoyed a long run, Fuller has said it never played on Broadway because he refused to drop the last line, ""You'll have to get used to Black people being in charge.""  (Charles Fuller)",,,,he,refused,drop,,,,drop
Q1064470,11,"Although the play enjoyed a long run, Fuller has said it never played on Broadway because he refused to drop the last line, ""You'll have to get used to Black people being in charge.""  (Charles Fuller)",,enjoyed,,the play,,,,,,enjoy
Q155845,118,"In Northern Rhodesia (now called Zambia), Achebe found himself sitting in a whites-only section of a bus to Victoria Falls.  (Chinua Achebe)",In Northern Rhodesia,,,Achebe,,sitting,,,,sit
Q6551362,48,"She currently resides in the Tucson, Arizona, area.  (Linda Addison)","in the Tucson, Arizona, area",resides,currently,She,,,,,,reside
Q3918479,3,he joined the National Awami Party and became a close friend of Abdul Wali Khan.  (Ajmal Khattak),,,,he,,joined,the National Awami Party,,,join
Q15992854,36,"For over forty years Robert Chrisman's strategic vision enabled TBS to make a path where there was none before.In addition to his writing and editing, Chrisman maintained a long career in academia.   (Robert Chrisman)",,maintained,For over forty years,Chrisman,,,,,,maintain
Q15992854,36,"For over forty years Robert Chrisman's strategic vision enabled TBS to make a path where there was none before.In addition to his writing and editing, Chrisman maintained a long career in academia.   (Robert Chrisman)",,enabled,For over forty years,Robert Chrisman's strategic vision,,,TBS,,,enable
Q15992854,36,"For over forty years Robert Chrisman's strategic vision enabled TBS to make a path where there was none before.In addition to his writing and editing, Chrisman maintained a long career in academia.   (Robert Chrisman)",,writing,,his,,,,,,write
Q15992854,36,"For over forty years Robert Chrisman's strategic vision enabled TBS to make a path where there was none before.In addition to his writing and editing, Chrisman maintained a long career in academia.   (Robert Chrisman)",,editing,,his,,,,,,edit
Q4730755,2,"In 1974 he left South Africa, living in North America, Europe and the Middle East, before returning in 1986.  (Allan Kolski Horwitz)",South Africa,,In 1974,he,,left,,,,leave
Q4730755,2,"In 1974 he left South Africa, living in North America, Europe and the Middle East, before returning in 1986.  (Allan Kolski Horwitz)","in North America, Europe and the Middle East",living,,he,,,,,,live
Q4730755,2,"In 1974 he left South Africa, living in North America, Europe and the Middle East, before returning in 1986.  (Allan Kolski Horwitz)",South Africa,,in 1986,he,,returning,,,,return
Q12846327,8,"In 2001, he received a second degree in higher education from Baku State University Law School.  (Sayyad Aran)",,,In 2001,,,received,from Baku State University Law School,,he,receive
Q461675,0,"Florence Onyebuchi ""Buchi"" Emecheta OBE (21 July 1944 – 25 January 2017) was a Nigerian-born novelist, based in the UK from 1962, who also wrote plays and an autobiography, as well as works for children.  (Buchi Emecheta)",,novelist,,"Florence Onyebuchi ""Buchi"" Emecheta OBE",,,,,,novelist
Q461675,0,"Florence Onyebuchi ""Buchi"" Emecheta OBE (21 July 1944 – 25 January 2017) was a Nigerian-born novelist, based in the UK from 1962, who also wrote plays and an autobiography, as well as works for children.  (Buchi Emecheta)",in the UK,based,from 1962,"Florence Onyebuchi ""Buchi"" Emecheta OBE",,,,,,base
Q461675,0,"Florence Onyebuchi ""Buchi"" Emecheta OBE (21 July 1944 – 25 January 2017) was a Nigerian-born novelist, based in the UK from 1962, who also wrote plays and an autobiography, as well as works for children.  (Buchi Emecheta)",,wrote,,"Florence Onyebuchi ""Buchi"" Emecheta OBE",,,,,,write
Q6812551,22,He received his primary and secondary education in the city of Beni Suef.  (Abdel Tawab Jusef),in the city of Beni Suef,received,,,,,,,He,receive
Q6961382,25,"After working for nearly two decades, with French assistance, Narayanan's team developed the Vikas engine used by several ISRO rockets including the Polar Satellite Launch Vehicle (PSLV) that took Chandrayaan-1 to the moon in 2008.  (Nambi Narayanan)",,developed,,Narayanan's team,,,,,,develop
Q6961382,25,"After working for nearly two decades, with French assistance, Narayanan's team developed the Vikas engine used by several ISRO rockets including the Polar Satellite Launch Vehicle (PSLV) that took Chandrayaan-1 to the moon in 2008.  (Nambi Narayanan)",,working,After,Narayanan's team,,,,,,work
Q7461048,0,Shafiq-ur-Rahman (Urdu:  شفیق الرحمن‎) (9 November 1920 – 19 March 2000) was a Pakistani humorist and a short-story writer of Urdu language.  (Shafiq-ur-Rahman (humorist)),,humorist,,Shafiq-ur-Rahman,,,,,,humorist
Q7461048,0,Shafiq-ur-Rahman (Urdu:  شفیق الرحمن‎) (9 November 1920 – 19 March 2000) was a Pakistani humorist and a short-story writer of Urdu language.  (Shafiq-ur-Rahman (humorist)),,writer,,Shafiq-ur-Rahman,,,,,,writer
Q312570,68,"Burton has appeared as a fictionalized, humorous version of himself on The Big Bang Theory, first appearing in the episode ""The Toast Derivation"", in which he almost attends a party thrown by Sheldon (before swearing off Twitter), in November 2012 in the episode ""The Habitation Configuration"", in which he appears on ""Fun With Flags"" in exchange for lunch and gas money, and again in the November 2014 episode ""The Champagne Reflection"", in which he returns for the 232nd episode of ""Fun With Flags"" in exchange for Sheldon deleting his contact details.  (LeVar Burton)",,,,Burton,,appeared,,,,appear
Q312570,68,"Burton has appeared as a fictionalized, humorous version of himself on The Big Bang Theory, first appearing in the episode ""The Toast Derivation"", in which he almost attends a party thrown by Sheldon (before swearing off Twitter), in November 2012 in the episode ""The Habitation Configuration"", in which he appears on ""Fun With Flags"" in exchange for lunch and gas money, and again in the November 2014 episode ""The Champagne Reflection"", in which he returns for the 232nd episode of ""Fun With Flags"" in exchange for Sheldon deleting his contact details.  (LeVar Burton)",,,,Burton,,appearing,,,,appear
Q312570,68,"Burton has appeared as a fictionalized, humorous version of himself on The Big Bang Theory, first appearing in the episode ""The Toast Derivation"", in which he almost attends a party thrown by Sheldon (before swearing off Twitter), in November 2012 in the episode ""The Habitation Configuration"", in which he appears on ""Fun With Flags"" in exchange for lunch and gas money, and again in the November 2014 episode ""The Champagne Reflection"", in which he returns for the 232nd episode of ""Fun With Flags"" in exchange for Sheldon deleting his contact details.  (LeVar Burton)",,,in November 2012,he,,appears,,,,appear
Q4121378,42,"Anne Spencer's literary life began while she was a student at the Virginia Seminary where she wrote her first poem, ""the Skeptic,"" now lost.  (Anne Spencer)",,student,,she,,,at the Virginia Seminary,,,student
Q4121378,42,"Anne Spencer's literary life began while she was a student at the Virginia Seminary where she wrote her first poem, ""the Skeptic,"" now lost.  (Anne Spencer)",,,,she,,wrote,at the Virginia Seminary,,,write
Q6236380,22,"Bowen continued writing and producing for many long-running drama strands on both the BBC and ITV throughout the 1970s, including ITV Play of the Week, Armchair Thriller, the same network's Playhouse and Weekend Playhouse.  (John Griffith Bowen)",,writing,,Bowen,,,on both the BBC and ITV,continued,,write
