p_01,a_01,p_05,a_05,p_10,a_10
0.357,35,0.342,168,0.333,327
0.612,60,0.65,319,0.581,571
0.398,39,0.363,178,0.359,353
0.265,26,0.291,143,0.312,307
0.388,38,0.358,176,0.343,337
0.327,32,0.318,156,0.312,307
0.337,33,0.352,173,0.352,346
0.337,33,0.324,159,0.311,306
0.296,29,0.291,143,0.307,302
0.337,33,0.346,170,0.346,340
0.327,32,0.257,126,0.287,282
0.286,28,0.336,165,0.313,308
0.286,28,0.277,136,0.301,296
0.276,27,0.303,149,0.311,306
0.388,38,0.308,151,0.327,321
0.388,38,0.346,170,0.342,336
0.316,31,0.316,155,0.325,319
0.663,65,0.644,316,0.585,575
0.224,22,0.312,153,0.351,345
0.367,36,0.336,165,0.323,318
0.286,28,0.344,169,0.339,333
0.367,36,0.377,185,0.354,348
0.327,32,0.322,158,0.292,287
0.357,35,0.314,154,0.322,317
0.316,31,0.326,160,0.329,323
0.378,37,0.338,166,0.317,312
0.235,23,0.291,143,0.301,296
0.378,37,0.301,148,0.31,305
0.245,24,0.283,139,0.34,334
0.255,25,0.283,139,0.291,286
0.367,36,0.365,179,0.341,335
0.398,39,0.352,173,0.334,328
0.541,53,0.593,291,0.568,558
0.306,30,0.352,173,0.333,327
0.316,31,0.352,173,0.33,324
0.347,34,0.332,163,0.339,333
0.265,26,0.312,153,0.315,310
0.357,35,0.363,178,0.323,318
0.265,26,0.32,157,0.318,313
0.316,31,0.318,156,0.341,335
0.276,27,0.293,144,0.31,305
0.306,30,0.297,146,0.298,293
0.418,41,0.326,160,0.33,324
0.347,34,0.328,161,0.313,308
0.357,35,0.301,148,0.314,309
0.316,31,0.33,162,0.312,307
0.306,30,0.308,151,0.32,315
0.276,27,0.316,155,0.31,305
0.398,39,0.365,179,0.323,318
0.367,36,0.358,176,0.344,338
0.245,24,0.299,147,0.296,291
0.337,33,0.375,184,0.354,348
0.337,33,0.348,171,0.317,312
0.306,30,0.358,176,0.357,351
0.306,30,0.324,159,0.336,330
0.214,21,0.308,151,0.314,309
0.296,29,0.299,147,0.305,300
0.337,33,0.334,164,0.318,313
0.367,36,0.34,167,0.32,315
0.357,35,0.299,147,0.318,313
0.306,30,0.32,157,0.319,314
0.327,32,0.324,159,0.317,312
0.429,42,0.318,156,0.315,310
0.316,31,0.301,148,0.307,302
0.439,43,0.348,171,0.34,334
0.265,26,0.283,139,0.292,287
0.224,22,0.295,145,0.323,318
0.378,37,0.328,161,0.322,317
0.276,27,0.33,162,0.332,326
0.367,36,0.303,149,0.298,293
0.367,36,0.348,171,0.331,325
0.327,32,0.348,171,0.335,329
0.388,38,0.332,163,0.32,315
0.316,31,0.291,143,0.288,283
0.296,29,0.344,169,0.322,317
0.357,35,0.35,172,0.335,329
0.306,30,0.308,151,0.325,319
0.337,33,0.318,156,0.305,300
0.286,28,0.316,155,0.326,320
0.296,29,0.269,132,0.295,290
0.388,38,0.348,171,0.317,312
0.173,17,0.283,139,0.309,304
0.286,28,0.377,185,0.359,353
0.316,31,0.299,147,0.31,305
0.347,34,0.322,158,0.327,321
0.296,29,0.316,155,0.32,315
0.316,31,0.34,167,0.334,328
0.398,39,0.363,178,0.357,351
