p_01,a_01,p_05,a_05,p_10,a_10
0.337,33,0.334,164,0.332,326
0.306,30,0.379,186,0.373,367
0.316,31,0.352,173,0.341,335
0.367,36,0.369,181,0.368,362
0.378,37,0.336,165,0.328,322
0.367,36,0.379,186,0.352,346
0.439,43,0.356,175,0.344,338
0.296,29,0.356,175,0.367,361
0.418,41,0.375,184,0.355,349
0.408,40,0.395,194,0.377,371
0.357,35,0.334,164,0.332,326
0.296,29,0.354,174,0.361,355
0.245,24,0.33,162,0.328,322
0.255,25,0.332,163,0.357,351
0.398,39,0.342,168,0.36,354
0.357,35,0.354,174,0.351,345
0.327,32,0.365,179,0.366,360
0.357,35,0.373,183,0.372,366
0.429,42,0.35,172,0.335,329
0.429,42,0.348,171,0.356,350
0.388,38,0.354,174,0.354,348
0.337,33,0.369,181,0.381,375
0.388,38,0.373,183,0.365,359
0.357,35,0.348,171,0.359,353
0.439,43,0.365,179,0.357,351
0.357,35,0.356,175,0.353,347
0.337,33,0.336,165,0.349,343
0.316,31,0.332,163,0.344,338
0.276,27,0.367,180,0.368,362
0.316,31,0.344,169,0.361,355
0.357,35,0.363,178,0.367,361
0.276,27,0.36,177,0.356,350
0.337,33,0.338,166,0.352,346
0.367,36,0.336,165,0.342,336
0.408,40,0.389,191,0.379,373
0.276,27,0.36,177,0.343,337
0.286,28,0.328,161,0.337,331
0.429,42,0.346,170,0.336,330
0.255,25,0.33,162,0.345,339
0.316,31,0.397,195,0.369,363
0.327,32,0.33,162,0.333,327
0.357,35,0.369,181,0.345,339
0.367,36,0.371,182,0.37,364
0.327,32,0.381,187,0.355,349
0.347,34,0.381,187,0.373,367
0.347,34,0.405,199,0.359,353
0.378,37,0.354,174,0.331,325
0.367,36,0.369,181,0.355,349
0.347,34,0.363,178,0.374,368
0.347,34,0.344,169,0.344,338
0.337,33,0.324,159,0.327,321
0.388,38,0.35,172,0.35,344
0.296,29,0.348,171,0.355,349
0.286,28,0.324,159,0.342,336
0.388,38,0.358,176,0.352,346
0.347,34,0.363,178,0.339,333
0.316,31,0.352,173,0.337,331
0.378,37,0.34,167,0.327,321
0.306,30,0.356,175,0.352,346
0.316,31,0.367,180,0.366,360
0.347,34,0.377,185,0.355,349
0.265,26,0.332,163,0.351,345
0.327,32,0.344,169,0.347,341
0.367,36,0.344,169,0.339,333
0.265,26,0.375,184,0.376,370
0.316,31,0.338,166,0.355,349
0.367,36,0.34,167,0.344,338
0.255,25,0.346,170,0.351,345
0.367,36,0.36,177,0.364,358
0.235,23,0.334,164,0.342,336
0.398,39,0.354,174,0.349,343
0.306,30,0.35,172,0.338,332
0.357,35,0.373,183,0.358,352
0.286,28,0.36,177,0.366,360
0.347,34,0.348,171,0.367,361
0.388,38,0.373,183,0.354,348
0.388,38,0.389,191,0.358,352
0.337,33,0.34,167,0.356,350
0.306,30,0.332,163,0.344,338
0.306,30,0.36,177,0.355,349
0.327,32,0.383,188,0.371,365
0.357,35,0.348,171,0.336,330
0.347,34,0.358,176,0.36,354
0.357,35,0.346,170,0.349,343
0.316,31,0.34,167,0.346,340
0.408,40,0.383,188,0.389,382
0.367,36,0.338,166,0.351,345
0.296,29,0.35,172,0.355,349
0.235,23,0.301,148,0.325,319
0.398,39,0.35,172,0.338,332
0.378,37,0.371,182,0.369,363
0.418,41,0.383,188,0.357,351
0.378,37,0.35,172,0.358,352
0.224,22,0.326,160,0.348,342
0.429,42,0.389,191,0.357,351
0.337,33,0.369,181,0.377,371
0.357,35,0.356,175,0.338,332
0.5,49,0.418,205,0.359,353
0.408,40,0.371,182,0.349,343
0.347,34,0.385,189,0.384,377
0.306,30,0.316,155,0.347,341
0.459,45,0.373,183,0.347,341
0.255,25,0.318,156,0.335,329
0.286,28,0.356,175,0.355,349
0.327,32,0.338,166,0.343,337
0.337,33,0.379,186,0.385,378
0.286,28,0.316,155,0.345,339
0.367,36,0.34,167,0.343,337
0.337,33,0.375,184,0.371,365
0.337,33,0.342,168,0.358,352
0.276,27,0.365,179,0.359,353
0.327,32,0.328,161,0.333,327
0.357,35,0.332,163,0.336,330
0.337,33,0.369,181,0.359,353
0.347,34,0.365,179,0.367,361
0.327,32,0.352,173,0.371,365
0.378,37,0.367,180,0.372,366
0.388,38,0.344,169,0.35,344
0.347,34,0.342,168,0.353,347
0.357,35,0.385,189,0.355,349
0.276,27,0.303,149,0.318,313
0.378,37,0.326,160,0.323,318
0.418,41,0.369,181,0.347,341
0.367,36,0.35,172,0.343,337
0.357,35,0.352,173,0.34,334
0.347,34,0.348,171,0.353,347
0.286,28,0.334,164,0.334,328
0.367,36,0.338,166,0.36,354
0.357,35,0.358,176,0.362,356
0.398,39,0.324,159,0.35,344
0.367,36,0.365,179,0.368,362
0.357,35,0.34,167,0.369,363
0.337,33,0.35,172,0.33,324
0.337,33,0.334,164,0.358,352
0.408,40,0.35,172,0.343,337
0.388,38,0.381,187,0.359,353
0.316,31,0.289,142,0.317,312
0.316,31,0.322,158,0.342,336
0.418,41,0.395,194,0.368,362
0.357,35,0.356,175,0.328,322
0.276,27,0.336,165,0.349,343
0.378,37,0.354,174,0.361,355
0.398,39,0.346,170,0.333,327
0.398,39,0.356,175,0.353,347
0.449,44,0.399,196,0.367,361
0.337,33,0.365,179,0.363,357
0.316,31,0.332,163,0.313,308
0.388,38,0.36,177,0.359,353
0.316,31,0.342,168,0.35,344
0.357,35,0.342,168,0.357,351
0.388,38,0.34,167,0.351,345
0.459,45,0.377,185,0.366,360
0.408,40,0.377,185,0.367,361
0.316,31,0.348,171,0.346,340
0.357,35,0.346,170,0.348,342
0.378,37,0.358,176,0.355,349
0.296,29,0.356,175,0.345,339
0.418,41,0.352,173,0.351,345
0.306,30,0.356,175,0.354,348
0.337,33,0.356,175,0.33,324
0.408,40,0.379,186,0.352,346
0.286,28,0.332,163,0.361,355
0.347,34,0.358,176,0.375,369
0.337,33,0.352,173,0.355,349
0.347,34,0.358,176,0.379,373
0.367,36,0.344,169,0.353,347
0.408,40,0.352,173,0.35,344
0.337,33,0.344,169,0.351,345
0.327,32,0.365,179,0.35,344
0.306,30,0.334,164,0.348,342
0.388,38,0.352,173,0.352,346
0.306,30,0.334,164,0.354,348
0.357,35,0.371,182,0.369,363
0.327,32,0.334,164,0.329,323
0.265,26,0.34,167,0.355,349
0.316,31,0.312,153,0.334,328
0.306,30,0.334,164,0.352,346
0.378,37,0.369,181,0.375,369
0.306,30,0.352,173,0.357,351
0.327,32,0.356,175,0.349,343
0.378,37,0.36,177,0.364,358
0.347,34,0.365,179,0.367,361
0.316,31,0.356,175,0.375,369
0.388,38,0.381,187,0.378,372
0.347,34,0.356,175,0.354,348
0.357,35,0.344,169,0.352,346
0.388,38,0.383,188,0.37,364
0.337,33,0.346,170,0.365,359
0.306,30,0.303,149,0.334,328
0.378,37,0.385,189,0.377,371
0.357,35,0.328,161,0.332,326
0.347,34,0.379,186,0.375,369
0.367,36,0.389,191,0.377,371
0.378,37,0.377,185,0.37,364
0.347,34,0.36,177,0.371,365
0.429,42,0.354,174,0.345,339
0.388,38,0.369,181,0.345,339
0.378,37,0.377,185,0.358,352
0.398,39,0.365,179,0.35,344
0.347,34,0.336,165,0.334,328
0.245,24,0.308,151,0.327,321
0.418,41,0.375,184,0.367,361
0.388,38,0.316,155,0.335,329
0.418,41,0.332,163,0.328,322
0.337,33,0.354,174,0.362,356
0.327,32,0.342,168,0.331,325
0.286,28,0.326,160,0.345,339
0.286,28,0.334,164,0.356,350
0.276,27,0.342,168,0.325,319
0.327,32,0.33,162,0.336,330
0.347,34,0.389,191,0.355,349
0.327,32,0.34,167,0.35,344
0.316,31,0.36,177,0.343,337
0.367,36,0.354,174,0.362,356
0.316,31,0.346,170,0.349,343
0.316,31,0.373,183,0.358,352
0.49,48,0.385,189,0.347,341
0.316,31,0.334,164,0.354,348
