p_01,a_01,p_05,a_05,p_10,a_10
0.306,30,0.344,169,0.312,307
0.663,65,0.686,337,0.582,572
0.347,34,0.285,140,0.301,296
0.276,27,0.308,151,0.325,319
0.316,31,0.293,144,0.3,295
0.235,23,0.295,145,0.296,291
0.296,29,0.326,160,0.323,318
0.367,36,0.314,154,0.33,324
0.388,38,0.314,154,0.329,323
0.306,30,0.308,151,0.328,322
0.235,23,0.328,161,0.318,313
0.286,28,0.308,151,0.343,337
0.276,27,0.324,159,0.328,322
0.306,30,0.32,157,0.332,326
0.357,35,0.336,165,0.337,331
0.255,25,0.352,173,0.33,324
0.306,30,0.308,151,0.328,322
0.643,63,0.684,336,0.576,566
0.306,30,0.34,167,0.337,331
0.347,34,0.33,162,0.332,326
0.337,33,0.326,160,0.333,327
0.296,29,0.31,152,0.307,302
0.367,36,0.301,148,0.339,333
0.378,37,0.346,170,0.333,327
0.408,40,0.536,263,0.519,510
0.378,37,0.36,177,0.343,337
0.327,32,0.301,148,0.309,304
0.367,36,0.344,169,0.325,319
0.327,32,0.324,159,0.332,326
0.235,23,0.277,136,0.296,291
0.378,37,0.387,190,0.361,355
0.347,34,0.312,153,0.316,311
0.367,36,0.371,182,0.334,328
0.367,36,0.336,165,0.32,315
0.357,35,0.328,161,0.319,314
0.367,36,0.33,162,0.325,319
0.265,26,0.312,153,0.319,314
0.306,30,0.338,166,0.33,324
0.327,32,0.33,162,0.328,322
0.408,40,0.358,176,0.357,351
0.388,38,0.31,152,0.312,307
0.367,36,0.356,175,0.334,328
0.286,28,0.305,150,0.313,308
0.306,30,0.328,161,0.336,330
0.327,32,0.334,164,0.314,309
0.347,34,0.308,151,0.317,312
0.327,32,0.44,216,0.455,447
0.265,26,0.305,150,0.327,321
0.327,32,0.354,174,0.356,350
0.418,41,0.365,179,0.326,320
0.367,36,0.348,171,0.326,320
0.327,32,0.32,157,0.32,315
0.367,36,0.291,143,0.312,307
0.398,39,0.373,183,0.355,349
0.327,32,0.356,175,0.344,338
0.276,27,0.308,151,0.32,315
0.306,30,0.293,144,0.31,305
0.337,33,0.332,163,0.336,330
0.296,29,0.346,170,0.384,377
0.296,29,0.308,151,0.313,308
0.357,35,0.344,169,0.334,328
0.296,29,0.297,146,0.314,309
0.276,27,0.324,159,0.326,320
0.357,35,0.326,160,0.305,300
0.347,34,0.393,193,0.446,438
0.306,30,0.318,156,0.304,299
0.48,47,0.336,165,0.332,326
0.245,24,0.34,167,0.329,323
0.265,26,0.312,153,0.314,309
0.235,23,0.32,157,0.311,306
0.276,27,0.283,139,0.316,311
0.316,31,0.324,159,0.314,309
0.224,22,0.289,142,0.309,304
0.276,27,0.32,157,0.315,310
0.296,29,0.33,162,0.345,339
0.306,30,0.326,160,0.32,315
0.347,34,0.314,154,0.332,326
0.296,29,0.424,208,0.446,438
0.296,29,0.32,157,0.323,318
0.245,24,0.279,137,0.29,285
0.235,23,0.32,157,0.314,309
0.337,33,0.322,158,0.351,345
0.316,31,0.35,172,0.365,359
0.337,33,0.32,157,0.322,317
0.347,34,0.336,165,0.329,323
0.347,34,0.326,160,0.341,335
0.327,32,0.334,164,0.354,348
0.378,37,0.334,164,0.332,326
0.388,38,0.336,165,0.317,312
0.316,31,0.322,158,0.311,306
0.337,33,0.342,168,0.327,321
0.306,30,0.297,146,0.311,306
0.367,36,0.348,171,0.341,335
0.367,36,0.356,175,0.332,326
0.347,34,0.413,203,0.454,446
0.347,34,0.338,166,0.351,345
0.255,25,0.318,156,0.32,315
