p_01,a_01,p_05,a_05,p_10,a_10
0.235,23,0.299,147,0.317,312
0.582,57,0.652,320,0.576,566
0.388,38,0.34,167,0.35,344
0.337,33,0.342,168,0.334,328
0.408,40,0.322,158,0.35,344
0.5,49,0.473,232,0.455,447
0.337,33,0.34,167,0.368,362
0.398,39,0.436,214,0.417,410
0.388,38,0.375,184,0.352,346
0.337,33,0.32,157,0.345,339
0.296,29,0.308,151,0.341,335
0.276,27,0.305,150,0.333,327
0.306,30,0.354,174,0.357,351
0.306,30,0.336,165,0.356,350
0.347,34,0.312,153,0.321,316
0.316,31,0.332,163,0.34,334
0.337,33,0.348,171,0.357,351
0.643,63,0.633,311,0.585,575
0.286,28,0.31,152,0.334,328
0.337,33,0.316,155,0.333,327
0.235,23,0.324,159,0.325,319
0.459,45,0.424,208,0.426,419
0.286,28,0.318,156,0.327,321
0.296,29,0.305,150,0.337,331
0.337,33,0.344,169,0.342,336
0.398,39,0.348,171,0.342,336
0.357,35,0.328,161,0.343,337
0.459,45,0.35,172,0.334,328
0.449,44,0.332,163,0.332,326
0.378,37,0.33,162,0.327,321
0.378,37,0.326,160,0.342,336
0.306,30,0.305,150,0.329,323
0.265,26,0.32,157,0.326,320
0.347,34,0.31,152,0.345,339
0.388,38,0.444,218,0.453,445
0.357,35,0.342,168,0.332,326
0.347,34,0.326,160,0.326,320
0.327,32,0.322,158,0.331,325
0.347,34,0.373,183,0.394,387
0.347,34,0.344,169,0.34,334
0.388,38,0.35,172,0.34,334
0.286,28,0.316,155,0.321,316
0.347,34,0.369,181,0.357,351
0.378,37,0.336,165,0.322,317
0.357,35,0.312,153,0.325,319
0.265,26,0.305,150,0.33,324
0.357,35,0.352,173,0.349,343
0.306,30,0.324,159,0.335,329
0.367,36,0.365,179,0.379,373
0.296,29,0.295,145,0.306,301
0.316,31,0.318,156,0.321,316
0.418,41,0.399,196,0.387,380
0.296,29,0.334,164,0.339,333
0.235,23,0.299,147,0.313,308
0.327,32,0.312,153,0.322,317
0.306,30,0.326,160,0.354,348
0.347,34,0.35,172,0.331,325
0.265,26,0.338,166,0.357,351
0.418,41,0.352,173,0.365,359
0.306,30,0.332,163,0.364,358
0.296,29,0.32,157,0.337,331
0.347,34,0.336,165,0.313,308
0.306,30,0.318,156,0.343,337
0.357,35,0.316,155,0.333,327
0.276,27,0.318,156,0.319,314
0.276,27,0.371,182,0.342,336
0.398,39,0.352,173,0.357,351
0.316,31,0.338,166,0.351,345
0.255,25,0.338,166,0.341,335
0.286,28,0.291,143,0.316,311
0.316,31,0.291,143,0.322,317
0.459,45,0.342,168,0.327,321
0.286,28,0.318,156,0.335,329
0.327,32,0.305,150,0.334,328
0.357,35,0.328,161,0.333,327
0.347,34,0.338,166,0.357,351
0.286,28,0.358,176,0.328,322
0.286,28,0.308,151,0.316,311
0.337,33,0.346,170,0.328,322
0.337,33,0.332,163,0.356,350
0.306,30,0.342,168,0.329,323
0.418,41,0.381,187,0.385,378
0.49,48,0.369,181,0.345,339
0.306,30,0.322,158,0.335,329
0.337,33,0.377,185,0.405,398
0.296,29,0.332,163,0.334,328
0.541,53,0.515,253,0.501,492
0.265,26,0.346,170,0.34,334
0.327,32,0.342,168,0.347,341
0.306,30,0.338,166,0.333,327
0.327,32,0.346,170,0.361,355
0.337,33,0.328,161,0.349,343
0.347,34,0.342,168,0.334,328
0.286,28,0.312,153,0.31,305
0.357,35,0.365,179,0.358,352
0.296,29,0.316,155,0.316,311
0.378,37,0.336,165,0.351,345
0.357,35,0.358,176,0.354,348
0.378,37,0.322,158,0.316,311
0.378,37,0.344,169,0.335,329
0.235,23,0.334,164,0.329,323
0.316,31,0.328,161,0.354,348
0.408,40,0.334,164,0.343,337
0.337,33,0.283,139,0.312,307
0.357,35,0.316,155,0.34,334
0.337,33,0.352,173,0.357,351
0.316,31,0.328,161,0.335,329
0.235,23,0.291,143,0.318,313
0.378,37,0.336,165,0.332,326
0.357,35,0.346,170,0.345,339
0.327,32,0.326,160,0.327,321
0.296,29,0.324,159,0.347,341
0.418,41,0.377,185,0.379,373
0.296,29,0.318,156,0.352,346
0.306,30,0.334,164,0.323,318
0.255,25,0.314,154,0.327,321
0.622,61,0.652,320,0.584,574
0.245,24,0.31,152,0.323,318
0.296,29,0.336,165,0.335,329
0.378,37,0.342,168,0.334,328
0.265,26,0.316,155,0.325,319
0.398,39,0.391,192,0.4,393
0.367,36,0.365,179,0.342,336
0.337,33,0.318,156,0.349,343
0.418,41,0.35,172,0.344,338
0.327,32,0.352,173,0.336,330
0.276,27,0.334,164,0.331,325
0.276,27,0.312,153,0.346,340
0.327,32,0.338,166,0.337,331
0.327,32,0.318,156,0.325,319
0.347,34,0.338,166,0.335,329
0.327,32,0.373,183,0.376,370
0.327,32,0.387,190,0.379,373
0.612,60,0.625,307,0.567,557
0.286,28,0.35,172,0.333,327
0.276,27,0.328,161,0.323,318
0.469,46,0.342,168,0.323,318
0.306,30,0.342,168,0.352,346
0.327,32,0.344,169,0.334,328
0.316,31,0.334,164,0.334,328
0.306,30,0.344,169,0.357,351
0.347,34,0.342,168,0.345,339
0.296,29,0.338,166,0.351,345
0.51,50,0.462,227,0.454,446
0.214,21,0.326,160,0.323,318
0.327,32,0.363,178,0.37,364
0.357,35,0.352,173,0.366,360
0.337,33,0.338,166,0.328,322
0.306,30,0.31,152,0.318,313
0.347,34,0.336,165,0.33,324
0.327,32,0.285,140,0.313,308
0.296,29,0.328,161,0.345,339
0.255,25,0.367,180,0.36,354
0.592,58,0.55,270,0.507,498
0.378,37,0.332,163,0.336,330
0.286,28,0.373,183,0.392,385
0.704,69,0.644,316,0.569,559
0.408,40,0.334,164,0.326,320
0.378,37,0.336,165,0.323,318
0.306,30,0.346,170,0.353,347
0.357,35,0.346,170,0.357,351
0.367,36,0.326,160,0.318,313
0.316,31,0.375,184,0.357,351
0.337,33,0.318,156,0.327,321
0.357,35,0.322,158,0.322,317
0.296,29,0.32,157,0.327,321
0.388,38,0.33,162,0.331,325
0.347,34,0.338,166,0.34,334
0.378,37,0.356,175,0.341,335
0.296,29,0.377,185,0.433,426
0.276,27,0.334,164,0.314,309
0.367,36,0.348,171,0.351,345
0.306,30,0.334,164,0.361,355
0.327,32,0.31,152,0.309,304
0.337,33,0.322,158,0.348,342
0.276,27,0.363,178,0.345,339
0.316,31,0.332,163,0.327,321
0.367,36,0.35,172,0.34,334
0.286,28,0.358,176,0.351,345
0.306,30,0.332,163,0.335,329
0.418,41,0.413,203,0.412,405
0.306,30,0.367,180,0.335,329
0.347,34,0.365,179,0.353,347
0.357,35,0.367,180,0.366,360
0.255,25,0.322,158,0.338,332
0.316,31,0.34,167,0.339,333
0.347,34,0.35,172,0.323,318
0.296,29,0.369,181,0.365,359
0.429,42,0.336,165,0.331,325
0.245,24,0.328,161,0.342,336
0.367,36,0.348,171,0.357,351
0.296,29,0.301,148,0.32,315
0.265,26,0.336,165,0.316,311
0.306,30,0.32,157,0.322,317
0.316,31,0.367,180,0.39,383
0.337,33,0.314,154,0.33,324
0.306,30,0.338,166,0.338,332
0.347,34,0.295,145,0.322,317
0.367,36,0.336,165,0.328,322
0.204,20,0.32,157,0.336,330
