p_01,a_01,p_05,a_05,p_10,a_10
0.096,24,0.083,104,0.083,208
0.112,28,0.113,142,0.104,261
0.072,18,0.098,123,0.105,263
0.132,33,0.098,123,0.092,231
0.084,21,0.093,116,0.099,248
0.108,27,0.113,141,0.111,278
0.084,21,0.093,117,0.094,235
0.112,28,0.097,121,0.098,246
0.108,27,0.101,126,0.093,234
0.124,31,0.106,133,0.099,247
0.064,16,0.09,113,0.093,233
0.128,32,0.124,155,0.105,263
0.092,23,0.105,132,0.104,260
0.04,10,0.095,119,0.101,254
0.112,28,0.091,114,0.096,240
0.128,32,0.107,134,0.101,252
0.088,22,0.093,116,0.094,235
0.088,22,0.11,138,0.097,244
0.084,21,0.101,127,0.098,246
0.088,22,0.099,124,0.096,240
0.128,32,0.106,133,0.095,237
0.088,22,0.082,103,0.093,233
0.092,23,0.096,120,0.098,245
0.108,27,0.105,132,0.099,247
0.084,21,0.102,128,0.109,272
0.116,29,0.101,127,0.1,251
0.104,26,0.105,132,0.102,256
0.08,20,0.097,121,0.093,233
0.072,18,0.097,121,0.097,243
0.08,20,0.106,133,0.103,259
0.088,22,0.103,129,0.094,236
0.136,34,0.104,130,0.108,271
0.112,28,0.096,120,0.102,256
0.068,17,0.088,110,0.093,234
0.1,25,0.114,143,0.104,260
0.12,30,0.105,132,0.104,261
0.12,30,0.109,136,0.103,258
0.096,24,0.094,118,0.095,237
0.1,25,0.097,122,0.099,249
0.092,23,0.114,143,0.107,267
0.104,26,0.109,137,0.103,259
0.092,23,0.097,122,0.102,256
0.132,33,0.097,122,0.1,251
0.088,22,0.093,117,0.095,238
0.104,26,0.113,141,0.109,272
0.12,30,0.103,129,0.098,246
0.124,31,0.113,142,0.105,264
0.088,22,0.099,124,0.099,249
0.116,29,0.099,124,0.101,253
0.088,22,0.087,109,0.091,227
0.096,24,0.1,125,0.097,242
0.08,20,0.103,129,0.1,250
0.1,25,0.093,117,0.095,237
0.136,34,0.11,138,0.109,274
0.112,28,0.104,130,0.107,267
0.124,31,0.109,137,0.101,253
0.112,28,0.095,119,0.099,249
0.128,32,0.11,138,0.106,266
0.096,24,0.093,117,0.102,256
0.104,26,0.082,103,0.09,226
0.08,20,0.106,133,0.1,250
0.076,19,0.083,104,0.087,219
0.116,29,0.104,130,0.095,239
0.104,26,0.109,137,0.107,268
0.104,26,0.093,116,0.1,251
0.084,21,0.089,111,0.105,262
0.104,26,0.097,121,0.1,250
0.12,30,0.12,150,0.105,264
0.092,23,0.105,131,0.107,268
0.08,20,0.109,137,0.108,270
0.1,25,0.103,129,0.097,244
0.116,29,0.094,118,0.098,246
0.136,34,0.116,145,0.111,278
0.128,32,0.101,127,0.107,267
0.096,24,0.102,128,0.107,267
0.076,19,0.089,111,0.093,232
0.092,23,0.096,120,0.099,249
0.096,24,0.1,125,0.099,249
0.084,21,0.089,111,0.091,228
0.112,28,0.108,135,0.106,265
0.112,28,0.097,122,0.095,237
0.092,23,0.104,130,0.103,258
0.116,29,0.098,123,0.105,264
0.092,23,0.103,129,0.098,246
0.124,31,0.1,125,0.103,257
0.112,28,0.093,116,0.101,254
0.096,24,0.095,119,0.099,247
0.092,23,0.087,109,0.098,246
0.072,18,0.087,109,0.091,227
0.08,20,0.092,115,0.099,248
0.12,30,0.102,128,0.099,248
0.104,26,0.097,122,0.098,246
0.112,28,0.104,130,0.097,244
0.1,25,0.097,121,0.101,253
0.104,26,0.104,130,0.106,266
0.088,22,0.106,133,0.104,261
0.108,27,0.095,119,0.095,239
0.108,27,0.104,130,0.1,251
0.064,16,0.085,107,0.093,233
0.096,24,0.1,125,0.098,246
0.092,23,0.105,131,0.104,261
0.104,26,0.1,125,0.098,245
0.076,19,0.097,121,0.097,243
0.072,18,0.099,124,0.089,224
0.088,22,0.105,131,0.101,253
0.144,36,0.112,140,0.115,289
0.116,29,0.094,118,0.095,237
0.072,18,0.085,107,0.093,233
0.1,25,0.089,111,0.102,255
0.12,30,0.093,116,0.099,249
0.084,21,0.098,123,0.097,242
0.08,20,0.095,119,0.099,249
0.072,18,0.098,123,0.096,241
0.092,23,0.1,125,0.103,258
0.06,15,0.093,117,0.091,227
0.084,21,0.081,101,0.089,224
0.104,26,0.101,126,0.093,233
0.092,23,0.098,123,0.095,237
0.116,29,0.094,118,0.099,248
0.136,34,0.117,146,0.109,274
0.088,22,0.089,112,0.093,233
0.108,27,0.112,140,0.105,263
0.092,23,0.095,119,0.097,244
0.072,18,0.088,110,0.087,218
0.1,25,0.109,136,0.102,255
0.072,18,0.093,117,0.099,247
0.092,23,0.09,113,0.097,243
0.088,22,0.093,116,0.09,225
0.132,33,0.09,113,0.09,226
0.1,25,0.096,120,0.092,231
0.092,23,0.095,119,0.101,252
0.104,26,0.093,117,0.099,248
0.088,22,0.112,140,0.102,256
0.088,22,0.096,120,0.098,245
0.116,29,0.101,126,0.106,265
0.096,24,0.097,122,0.098,246
0.096,24,0.11,138,0.107,267
0.108,27,0.085,107,0.093,234
0.116,29,0.109,136,0.102,256
0.1,25,0.078,98,0.085,212
0.064,16,0.089,112,0.09,226
0.116,29,0.113,141,0.107,269
0.116,29,0.102,128,0.099,248
0.092,23,0.083,104,0.093,232
0.1,25,0.084,105,0.098,246
0.092,23,0.1,125,0.103,258
0.1,25,0.099,124,0.096,241
0.124,31,0.103,129,0.106,265
0.076,19,0.083,104,0.093,234
0.068,17,0.097,122,0.092,230
0.104,26,0.089,111,0.095,237
0.104,26,0.101,127,0.092,231
0.084,21,0.092,115,0.099,247
0.092,23,0.1,125,0.095,239
0.1,25,0.091,114,0.099,248
0.132,33,0.112,140,0.102,255
0.124,31,0.103,129,0.101,252
0.104,26,0.107,134,0.11,276
0.104,26,0.097,122,0.096,241
0.088,22,0.105,131,0.101,254
0.112,28,0.101,126,0.096,240
0.104,26,0.096,120,0.098,245
0.072,18,0.093,117,0.099,248
0.108,27,0.089,111,0.096,241
0.128,32,0.09,113,0.098,245
0.092,23,0.095,119,0.098,246
0.12,30,0.106,133,0.101,253
0.096,24,0.096,120,0.101,252
0.1,25,0.084,105,0.086,215
0.084,21,0.089,111,0.092,230
0.104,26,0.105,132,0.101,253
0.104,26,0.084,105,0.091,227
0.092,23,0.101,127,0.107,267
0.068,17,0.093,117,0.1,251
0.092,23,0.093,117,0.103,258
0.108,27,0.096,120,0.1,251
0.088,22,0.097,122,0.099,248
0.092,23,0.101,126,0.093,234
0.088,22,0.078,98,0.092,231
0.112,28,0.115,144,0.108,270
0.112,28,0.115,144,0.104,261
0.092,23,0.111,139,0.101,254
0.084,21,0.09,113,0.09,226
0.104,26,0.094,118,0.102,256
0.1,25,0.093,116,0.099,247
0.1,25,0.097,122,0.102,255
0.1,25,0.11,138,0.104,261
0.088,22,0.091,114,0.094,235
0.104,26,0.104,130,0.095,239
0.136,34,0.115,144,0.103,257
0.1,25,0.105,132,0.098,246
0.084,21,0.101,126,0.1,251
0.108,27,0.086,108,0.1,250
0.068,17,0.102,128,0.092,231
0.124,31,0.101,126,0.099,248
0.128,32,0.101,126,0.094,236
0.072,18,0.114,143,0.104,261
0.096,24,0.09,113,0.087,219
0.096,24,0.102,128,0.098,246
0.092,23,0.098,123,0.103,257
0.112,28,0.107,134,0.103,259
0.084,21,0.099,124,0.096,240
0.112,28,0.104,130,0.101,252
0.116,29,0.103,129,0.106,265
0.092,23,0.099,124,0.097,244
0.08,20,0.109,136,0.101,253
0.136,34,0.11,138,0.108,271
0.14,35,0.11,138,0.104,261
0.1,25,0.089,111,0.087,219
0.084,21,0.084,105,0.099,249
0.128,32,0.106,133,0.096,240
0.108,27,0.099,124,0.099,248
0.096,24,0.097,121,0.094,235
0.092,23,0.101,127,0.1,250
0.092,23,0.106,133,0.105,263
0.072,18,0.097,121,0.088,220
0.092,23,0.078,98,0.096,240
0.116,29,0.106,133,0.1,251
0.132,33,0.114,143,0.099,248
0.1,25,0.092,115,0.095,237
0.156,39,0.098,123,0.093,234
0.104,26,0.101,126,0.099,248
0.1,25,0.089,112,0.093,232
0.12,30,0.108,135,0.1,251
0.136,34,0.094,118,0.103,257
0.116,29,0.112,140,0.105,263
0.072,18,0.084,105,0.089,222
0.112,28,0.101,126,0.102,255
0.084,21,0.108,135,0.102,255
0.1,25,0.093,117,0.098,246
0.084,21,0.085,107,0.087,219
0.076,19,0.099,124,0.102,255
0.1,25,0.096,120,0.102,256
0.088,22,0.095,119,0.101,252
0.108,27,0.101,127,0.093,233
0.108,27,0.105,131,0.098,245
0.1,25,0.091,114,0.103,257
0.096,24,0.102,128,0.106,265
0.112,28,0.101,126,0.098,245
0.104,26,0.103,129,0.094,236
0.104,26,0.096,120,0.094,236
0.072,18,0.098,123,0.101,254
0.1,25,0.089,112,0.093,233
0.072,18,0.089,112,0.096,240
0.076,19,0.085,107,0.094,236
0.076,19,0.102,128,0.098,246
0.084,21,0.102,128,0.102,256
0.08,20,0.095,119,0.095,237
0.1,25,0.097,122,0.095,237
0.108,27,0.093,116,0.099,247
