p_01,a_01,p_05,a_05,p_10,a_10
0.12,30,0.097,122,0.103,257
0.14,35,0.102,128,0.104,261
0.12,30,0.104,130,0.096,240
0.092,23,0.101,126,0.092,231
0.096,24,0.093,116,0.097,243
0.08,20,0.104,130,0.102,255
0.092,23,0.1,125,0.095,238
0.076,19,0.094,118,0.103,258
0.096,24,0.11,138,0.105,262
0.072,18,0.085,107,0.097,242
0.088,22,0.1,125,0.105,263
0.096,24,0.094,118,0.087,217
0.064,16,0.09,113,0.088,220
0.136,34,0.105,132,0.1,251
0.084,21,0.099,124,0.09,226
0.088,22,0.105,132,0.109,273
0.12,30,0.099,124,0.091,229
0.068,17,0.095,119,0.095,237
0.12,30,0.114,143,0.103,259
0.116,29,0.101,127,0.101,253
0.076,19,0.089,111,0.094,235
0.092,23,0.09,113,0.092,230
0.124,31,0.097,122,0.1,251
0.104,26,0.12,150,0.108,270
0.104,26,0.103,129,0.107,268
0.096,24,0.083,104,0.085,213
0.072,18,0.1,125,0.097,242
0.112,28,0.114,143,0.107,269
0.092,23,0.084,105,0.087,217
0.056,14,0.097,122,0.101,254
0.092,23,0.077,97,0.097,243
0.1,25,0.105,132,0.105,264
0.088,22,0.103,129,0.097,243
0.1,25,0.093,117,0.097,244
0.104,26,0.105,132,0.105,264
0.08,20,0.074,93,0.095,237
0.064,16,0.099,124,0.1,251
0.1,25,0.105,131,0.105,263
0.088,22,0.097,122,0.099,247
0.08,20,0.093,117,0.093,233
0.08,20,0.095,119,0.097,243
0.124,31,0.124,155,0.115,288
0.08,20,0.097,121,0.099,247
0.096,24,0.097,121,0.089,224
0.088,22,0.089,111,0.092,230
0.132,33,0.115,144,0.108,270
0.068,17,0.081,102,0.092,230
0.104,26,0.089,112,0.089,224
0.108,27,0.107,134,0.104,260
0.092,23,0.105,131,0.097,243
0.116,29,0.089,112,0.096,241
0.14,35,0.095,119,0.092,231
0.06,15,0.093,116,0.094,236
0.092,23,0.084,105,0.095,238
0.112,28,0.111,139,0.11,275
0.096,24,0.095,119,0.097,242
0.068,17,0.089,111,0.094,235
0.1,25,0.089,112,0.093,233
0.104,26,0.106,133,0.106,265
0.072,18,0.093,116,0.097,244
0.076,19,0.106,133,0.096,241
0.1,25,0.077,96,0.084,211
0.108,27,0.105,132,0.106,266
0.08,20,0.097,122,0.096,241
0.056,14,0.089,112,0.103,257
0.076,19,0.105,132,0.101,252
0.116,29,0.104,130,0.102,255
0.096,24,0.105,132,0.097,244
0.112,28,0.103,129,0.104,260
0.108,27,0.103,129,0.103,257
0.088,22,0.097,121,0.105,264
0.14,35,0.096,120,0.092,230
0.072,18,0.085,106,0.094,235
0.072,18,0.087,109,0.093,233
0.08,20,0.093,117,0.101,253
0.116,29,0.099,124,0.095,237
0.132,33,0.091,114,0.097,244
0.084,21,0.099,124,0.097,243
0.096,24,0.097,121,0.104,261
0.116,29,0.102,128,0.105,262
0.1,25,0.097,122,0.1,251
0.112,28,0.101,127,0.105,262
0.128,32,0.087,109,0.096,240
0.096,24,0.107,134,0.102,256
0.096,24,0.099,124,0.09,226
0.092,23,0.085,107,0.093,233
0.084,21,0.093,116,0.084,211
0.136,34,0.093,117,0.1,250
0.128,32,0.103,129,0.095,239
0.1,25,0.113,141,0.099,248
0.088,22,0.089,112,0.098,245
0.088,22,0.093,116,0.092,231
0.092,23,0.097,121,0.098,245
0.096,24,0.093,117,0.095,237
0.088,22,0.107,134,0.104,261
0.128,32,0.101,127,0.093,233
0.112,28,0.1,125,0.099,248
0.108,27,0.109,136,0.101,254
0.116,29,0.093,117,0.098,245
0.104,26,0.11,138,0.102,255
0.084,21,0.093,116,0.099,249
0.112,28,0.11,138,0.103,258
0.1,25,0.096,120,0.099,247
0.056,14,0.078,98,0.088,220
0.072,18,0.102,128,0.101,254
0.112,28,0.087,109,0.096,240
0.14,35,0.101,127,0.099,247
0.116,29,0.109,136,0.101,252
0.1,25,0.097,122,0.095,239
0.064,16,0.095,119,0.096,240
0.064,16,0.091,114,0.095,239
0.064,16,0.089,111,0.091,227
0.096,24,0.093,116,0.088,221
0.084,21,0.098,123,0.095,239
0.104,26,0.101,126,0.102,256
0.076,19,0.104,130,0.102,256
0.136,34,0.115,144,0.103,259
0.076,19,0.098,123,0.099,247
0.064,16,0.087,109,0.1,251
0.104,26,0.094,118,0.1,251
0.096,24,0.098,123,0.092,231
