p_01,a_01,p_05,a_05,p_10,a_10
0.104,26,0.101,127,0.097,242
0.104,26,0.088,110,0.086,216
0.132,33,0.098,123,0.092,231
0.064,16,0.084,105,0.092,230
0.096,24,0.087,109,0.093,234
0.076,19,0.091,114,0.092,231
0.088,22,0.089,111,0.094,235
0.12,30,0.101,126,0.103,259
0.112,28,0.099,124,0.098,245
0.084,21,0.093,116,0.098,246
0.08,20,0.108,135,0.099,249
0.096,24,0.095,119,0.098,245
0.1,25,0.089,112,0.095,239
0.12,30,0.115,144,0.101,254
0.108,27,0.107,134,0.093,234
0.092,23,0.082,103,0.092,231
0.084,21,0.109,136,0.108,270
0.056,14,0.101,126,0.099,248
0.092,23,0.088,110,0.091,229
0.072,18,0.097,122,0.098,246
0.112,28,0.106,133,0.094,235
0.076,19,0.093,117,0.09,225
0.088,22,0.101,127,0.098,246
0.112,28,0.101,127,0.104,261
0.064,16,0.097,122,0.094,236
0.096,24,0.093,117,0.101,253
0.104,26,0.1,125,0.101,253
0.08,20,0.101,126,0.096,241
0.088,22,0.102,128,0.103,257
0.108,27,0.098,123,0.102,256
0.104,26,0.112,140,0.101,253
0.076,19,0.091,114,0.093,233
0.104,26,0.099,124,0.1,251
0.112,28,0.097,122,0.096,240
0.124,31,0.101,126,0.097,242
0.072,18,0.095,119,0.103,257
0.12,30,0.089,111,0.089,224
0.088,22,0.097,122,0.093,234
0.124,31,0.096,120,0.099,247
0.06,15,0.088,110,0.087,218
0.096,24,0.104,130,0.105,264
0.092,23,0.106,133,0.111,277
0.08,20,0.113,141,0.111,279
0.092,23,0.088,110,0.086,216
0.104,26,0.079,99,0.085,214
0.112,28,0.095,119,0.095,239
0.08,20,0.089,112,0.09,225
0.084,21,0.093,116,0.091,228
0.084,21,0.097,122,0.095,239
0.12,30,0.101,126,0.089,222
0.088,22,0.097,122,0.095,238
0.116,29,0.097,121,0.089,222
0.084,21,0.106,133,0.101,254
0.084,21,0.089,112,0.099,248
0.112,28,0.091,114,0.098,246
0.096,24,0.099,124,0.095,237
