p_01,a_01,p_05,a_05,p_10,a_10
0.108,27,0.091,114,0.095,237
0.14,35,0.107,134,0.105,263
0.104,26,0.092,115,0.093,234
0.104,26,0.093,116,0.099,248
0.1,25,0.093,116,0.092,231
0.096,24,0.109,137,0.099,248
0.084,21,0.097,122,0.095,239
0.076,19,0.092,115,0.095,239
0.084,21,0.087,109,0.095,237
0.076,19,0.095,119,0.09,226
0.108,27,0.108,135,0.11,275
0.1,25,0.093,117,0.102,256
0.112,28,0.105,131,0.105,264
0.12,30,0.088,110,0.091,229
0.108,27,0.098,123,0.098,246
0.056,14,0.093,117,0.095,237
0.092,23,0.1,125,0.098,245
0.104,26,0.111,139,0.1,251
0.1,25,0.121,151,0.105,262
0.108,27,0.091,114,0.091,228
0.092,23,0.096,120,0.091,228
0.092,23,0.106,133,0.103,257
0.104,26,0.089,112,0.089,222
0.1,25,0.098,123,0.101,252
0.124,31,0.093,116,0.099,249
0.104,26,0.098,123,0.098,245
0.124,31,0.103,129,0.097,242
0.112,28,0.093,116,0.096,240
0.072,18,0.085,106,0.089,222
0.108,27,0.102,128,0.103,257
0.104,26,0.097,122,0.097,243
0.08,20,0.09,113,0.087,218
0.096,24,0.096,120,0.1,250
0.108,27,0.105,131,0.101,252
0.064,16,0.092,115,0.091,229
0.124,31,0.101,127,0.097,242
0.1,25,0.106,133,0.104,260
0.088,22,0.105,131,0.1,250
0.08,20,0.101,127,0.099,248
0.12,30,0.114,143,0.102,255
0.116,29,0.101,126,0.099,248
0.116,29,0.104,130,0.108,270
0.092,23,0.105,131,0.109,273
0.12,30,0.092,115,0.098,246
0.072,18,0.104,130,0.108,271
0.1,25,0.117,146,0.105,263
0.108,27,0.098,123,0.102,255
0.088,22,0.105,131,0.101,253
0.096,24,0.093,116,0.099,248
0.116,29,0.097,122,0.1,250
0.096,24,0.099,124,0.095,237
0.124,31,0.107,134,0.106,265
0.072,18,0.097,121,0.105,264
0.08,20,0.078,98,0.092,230
0.132,33,0.102,128,0.104,260
0.108,27,0.097,122,0.092,230
0.104,26,0.102,128,0.098,246
0.132,33,0.113,141,0.1,250
0.1,25,0.103,129,0.095,238
0.076,19,0.102,128,0.104,261
0.08,20,0.103,129,0.102,256
0.112,28,0.089,111,0.09,226
0.116,29,0.113,142,0.103,257
0.092,23,0.099,124,0.105,262
0.072,18,0.109,137,0.103,259
0.104,26,0.097,122,0.098,246
0.112,28,0.102,128,0.105,262
0.104,26,0.089,112,0.094,235
0.108,27,0.105,132,0.098,246
0.092,23,0.102,128,0.103,259
0.14,35,0.098,123,0.099,248
0.1,25,0.101,127,0.093,234
0.104,26,0.112,140,0.103,259
0.108,27,0.092,115,0.107,267
0.068,17,0.089,111,0.092,230
0.092,23,0.087,109,0.092,231
0.092,23,0.091,114,0.089,223
0.056,14,0.101,126,0.094,235
0.12,30,0.1,125,0.104,261
0.144,36,0.111,139,0.097,244
0.112,28,0.105,131,0.107,269
0.092,23,0.095,119,0.089,224
0.088,22,0.087,109,0.099,248
0.096,24,0.109,136,0.103,259
0.072,18,0.09,113,0.093,234
0.08,20,0.087,109,0.097,243
0.064,16,0.096,120,0.099,249
0.084,21,0.096,120,0.104,260
0.096,24,0.095,119,0.093,232
0.096,24,0.095,119,0.1,250
0.124,31,0.099,124,0.096,240
0.112,28,0.106,133,0.096,240
0.14,35,0.101,127,0.104,260
0.044,11,0.085,107,0.09,226
0.1,25,0.096,120,0.104,261
0.108,27,0.096,120,0.094,235
0.124,31,0.094,118,0.089,223
0.1,25,0.099,124,0.104,261
0.14,35,0.113,142,0.097,242
0.108,27,0.098,123,0.101,254
0.068,17,0.094,118,0.095,239
0.084,21,0.104,130,0.104,260
0.1,25,0.107,134,0.108,271
0.064,16,0.083,104,0.091,227
0.092,23,0.097,122,0.099,249
0.1,25,0.087,109,0.092,231
0.128,32,0.102,128,0.101,252
0.088,22,0.089,112,0.092,230
0.12,30,0.097,121,0.104,260
0.124,31,0.105,132,0.104,261
0.116,29,0.097,121,0.095,237
0.092,23,0.101,126,0.1,250
0.092,23,0.093,117,0.098,246
0.104,26,0.098,123,0.102,255
0.108,27,0.103,129,0.098,245
0.076,19,0.092,115,0.097,242
0.116,29,0.097,122,0.103,258
0.06,15,0.087,109,0.094,235
0.112,28,0.105,131,0.096,240
0.076,19,0.097,121,0.094,236
0.104,26,0.09,113,0.095,238
0.108,27,0.094,118,0.097,244
0.088,22,0.097,121,0.101,252
0.104,26,0.105,132,0.093,232
0.124,31,0.115,144,0.106,265
0.132,33,0.101,127,0.096,241
0.084,21,0.105,131,0.099,247
0.092,23,0.1,125,0.088,221
0.092,23,0.097,122,0.098,246
0.104,26,0.094,118,0.096,241
0.104,26,0.094,118,0.099,247
0.128,32,0.098,123,0.103,259
0.116,29,0.095,119,0.101,254
0.116,29,0.097,122,0.096,241
0.116,29,0.097,122,0.092,230
0.068,17,0.097,122,0.096,241
0.084,21,0.094,118,0.098,246
0.072,18,0.093,116,0.096,240
0.104,26,0.093,116,0.097,242
0.104,26,0.105,132,0.105,262
0.084,21,0.093,116,0.101,252
0.092,23,0.097,121,0.095,237
0.104,26,0.086,108,0.092,230
0.1,25,0.092,115,0.092,231
0.064,16,0.093,116,0.099,249
0.096,24,0.089,112,0.095,239
0.1,25,0.103,129,0.103,258
0.096,24,0.097,122,0.098,245
0.104,26,0.101,126,0.097,243
0.12,30,0.101,126,0.092,231
0.076,19,0.092,115,0.092,230
0.076,19,0.109,137,0.097,244
0.092,23,0.104,130,0.099,247
0.068,17,0.083,104,0.095,239
0.072,18,0.095,119,0.104,261
0.092,23,0.102,128,0.095,239
0.096,24,0.093,116,0.099,247
0.112,28,0.097,121,0.098,245
0.08,20,0.097,121,0.093,233
0.116,29,0.093,117,0.099,248
0.096,24,0.11,138,0.107,269
0.088,22,0.086,108,0.096,240
0.088,22,0.102,128,0.103,258
0.088,22,0.098,123,0.1,250
0.124,31,0.106,133,0.103,257
0.104,26,0.108,135,0.106,265
0.088,22,0.091,114,0.094,236
0.136,34,0.113,141,0.103,257
0.128,32,0.096,120,0.093,234
0.116,29,0.094,118,0.095,237
0.088,22,0.109,137,0.104,261
0.108,27,0.101,127,0.1,250
0.128,32,0.102,128,0.105,263
0.092,23,0.095,119,0.091,228
0.076,19,0.096,120,0.095,238
0.092,23,0.093,117,0.101,252
0.104,26,0.105,131,0.104,260
0.12,30,0.096,120,0.099,248
0.06,15,0.082,103,0.09,225
0.084,21,0.105,131,0.104,261
0.124,31,0.091,114,0.092,230
0.084,21,0.091,114,0.093,232
0.084,21,0.092,115,0.091,227
0.116,29,0.104,130,0.094,235
0.096,24,0.087,109,0.095,239
0.096,24,0.101,127,0.105,264
0.092,23,0.097,122,0.095,238
0.104,26,0.103,129,0.1,251
0.092,23,0.089,112,0.089,224
0.096,24,0.104,130,0.102,255
0.072,18,0.097,121,0.092,230
0.084,21,0.093,117,0.098,246
0.12,30,0.102,128,0.099,248
0.116,29,0.094,118,0.093,234
0.108,27,0.094,118,0.1,250
0.092,23,0.087,109,0.095,239
0.092,23,0.092,115,0.095,238
0.1,25,0.108,135,0.098,246
0.12,30,0.087,109,0.091,228
0.092,23,0.102,128,0.101,252
0.096,24,0.082,103,0.097,244
0.104,26,0.101,127,0.098,246
0.084,21,0.085,107,0.086,216
0.1,25,0.1,125,0.097,244
0.088,22,0.086,108,0.095,239
0.1,25,0.104,130,0.11,275
0.056,14,0.094,118,0.099,247
0.076,19,0.093,116,0.096,241
0.104,26,0.103,129,0.105,263
0.076,19,0.104,130,0.102,256
0.124,31,0.1,125,0.091,229
0.104,26,0.104,130,0.104,260
0.116,29,0.1,125,0.095,239
0.08,20,0.093,116,0.101,252
0.064,16,0.089,112,0.097,244
0.088,22,0.101,127,0.101,253
0.088,22,0.099,124,0.091,229
0.084,21,0.1,125,0.093,233
0.092,23,0.096,120,0.094,235
0.096,24,0.107,134,0.1,250
0.104,26,0.101,127,0.101,254
0.116,29,0.107,134,0.1,251
0.068,17,0.085,107,0.091,228
0.116,29,0.104,130,0.101,254
0.084,21,0.102,128,0.095,238
0.068,17,0.104,130,0.098,246
0.096,24,0.093,117,0.091,229
0.096,24,0.106,133,0.104,261
0.14,35,0.099,124,0.095,239
0.08,20,0.105,131,0.099,248
0.116,29,0.104,130,0.094,236
0.096,24,0.101,126,0.097,242
0.104,26,0.103,129,0.099,247
0.108,27,0.113,141,0.114,285
0.068,17,0.094,118,0.1,251
0.076,19,0.101,127,0.099,248
0.084,21,0.103,129,0.103,258
0.108,27,0.094,118,0.095,237
0.096,24,0.101,127,0.102,256
0.092,23,0.1,125,0.103,257
0.084,21,0.106,133,0.109,274
0.096,24,0.096,120,0.101,253
0.108,27,0.095,119,0.097,244
0.084,21,0.095,119,0.096,240
0.088,22,0.094,118,0.096,241
0.1,25,0.092,115,0.096,241
0.1,25,0.092,115,0.09,225
0.104,26,0.101,127,0.099,248
0.08,20,0.093,117,0.101,254
0.104,26,0.093,116,0.095,239
