p_01,a_01,p_05,a_05,p_10,a_10
0.079,19,0.072,87,0.075,181
0.07,17,0.096,116,0.095,231
0.103,25,0.1,121,0.094,228
0.12,29,0.092,111,0.088,214
0.083,20,0.08,97,0.079,192
0.103,25,0.096,116,0.085,207
0.083,20,0.077,93,0.081,196
0.095,23,0.084,102,0.088,212
0.107,26,0.097,118,0.093,226
0.07,17,0.077,93,0.079,191
0.12,29,0.088,107,0.085,206
0.062,15,0.068,82,0.077,186
0.062,15,0.073,89,0.079,192
0.091,22,0.084,102,0.091,220
0.079,19,0.082,99,0.09,217
0.124,30,0.092,111,0.092,223
0.091,22,0.082,99,0.083,201
0.079,19,0.09,109,0.097,234
0.112,27,0.097,118,0.089,215
0.066,16,0.077,93,0.077,187
0.095,23,0.081,98,0.077,187
0.103,25,0.082,99,0.084,203
0.05,12,0.065,79,0.077,186
0.12,29,0.089,108,0.089,215
0.074,18,0.081,98,0.081,195
0.083,20,0.081,98,0.088,214
0.107,26,0.099,120,0.091,221
0.074,18,0.092,111,0.095,229
0.112,27,0.092,112,0.091,220
0.045,11,0.078,94,0.08,194
0.116,28,0.096,116,0.094,227
0.087,21,0.086,104,0.091,221
0.087,21,0.092,111,0.092,224
0.079,19,0.08,97,0.094,227
0.07,17,0.087,105,0.084,204
0.095,23,0.074,90,0.081,195
0.07,17,0.083,100,0.092,222
0.079,19,0.088,106,0.086,209
0.033,8,0.08,97,0.076,184
0.066,16,0.075,91,0.083,201
0.083,20,0.076,92,0.081,196
0.087,21,0.08,97,0.08,194
0.066,16,0.085,103,0.078,189
0.074,18,0.088,106,0.099,240
0.066,16,0.097,118,0.084,203
0.112,27,0.101,122,0.091,221
0.083,20,0.092,111,0.09,217
0.074,18,0.092,112,0.088,214
0.095,23,0.082,99,0.085,207
0.066,16,0.083,100,0.083,201
0.112,27,0.089,108,0.09,217
0.058,14,0.084,102,0.087,211
0.066,16,0.085,103,0.094,228
0.091,22,0.084,102,0.074,180
0.058,14,0.08,97,0.081,197
0.087,21,0.085,103,0.076,185
0.083,20,0.092,111,0.094,228
0.074,18,0.086,104,0.087,211
0.045,11,0.076,92,0.083,201
0.079,19,0.07,85,0.076,185
0.095,23,0.091,110,0.092,222
0.054,13,0.072,87,0.084,204
0.103,25,0.088,107,0.089,216
0.074,18,0.079,96,0.086,208
0.095,23,0.094,114,0.09,218
0.099,24,0.102,124,0.089,215
0.058,14,0.078,94,0.089,216
0.095,23,0.084,102,0.094,228
0.07,17,0.082,99,0.081,197
0.074,18,0.077,93,0.083,200
0.124,30,0.083,100,0.085,207
0.087,21,0.095,115,0.09,218
0.066,16,0.085,103,0.074,179
0.07,17,0.091,110,0.091,220
0.095,23,0.077,93,0.084,203
0.083,20,0.069,84,0.072,175
0.079,19,0.088,107,0.082,198
0.091,22,0.096,116,0.083,202
0.054,13,0.055,66,0.074,180
0.054,13,0.073,88,0.084,203
0.116,28,0.105,127,0.096,232
0.087,21,0.085,103,0.093,226
0.066,16,0.088,107,0.091,221
0.107,26,0.087,105,0.09,218
0.124,30,0.097,117,0.091,220
0.091,22,0.078,94,0.091,221
0.091,22,0.077,93,0.077,187
0.083,20,0.082,99,0.094,227
0.074,18,0.083,100,0.09,217
0.095,23,0.087,105,0.085,205
0.062,15,0.08,97,0.084,203
0.05,12,0.085,103,0.088,212
0.07,17,0.083,101,0.089,215
0.07,17,0.087,105,0.085,207
0.095,23,0.086,104,0.085,205
0.074,18,0.07,85,0.084,203
0.099,24,0.101,122,0.096,232
0.07,17,0.092,111,0.095,229
0.083,20,0.078,94,0.08,193
0.091,22,0.088,106,0.092,222
0.107,26,0.084,102,0.088,213
0.083,20,0.083,100,0.088,213
0.074,18,0.077,93,0.084,204
0.112,27,0.079,96,0.089,215
0.103,25,0.099,120,0.092,222
0.116,28,0.092,112,0.088,212
0.083,20,0.091,110,0.091,221
0.112,27,0.1,121,0.097,236
0.074,18,0.096,116,0.097,236
0.099,24,0.104,126,0.093,225
0.107,26,0.095,115,0.094,228
0.091,22,0.097,118,0.087,211
0.087,21,0.102,124,0.091,221
0.112,27,0.092,111,0.089,215
0.112,27,0.092,111,0.088,213
0.062,15,0.073,88,0.082,199
0.066,16,0.078,94,0.083,201
0.091,22,0.078,95,0.079,191
0.083,20,0.087,105,0.084,203
0.132,32,0.091,110,0.094,228
0.091,22,0.097,117,0.096,233
0.091,22,0.077,93,0.083,200
0.099,24,0.088,107,0.088,214
0.083,20,0.076,92,0.08,194
0.099,24,0.107,130,0.086,208
0.107,26,0.082,99,0.078,188
0.107,26,0.089,108,0.088,212
0.074,18,0.078,94,0.078,188
0.074,18,0.11,133,0.101,245
0.079,19,0.093,113,0.087,210
0.099,24,0.097,117,0.085,205
0.083,20,0.077,93,0.08,194
0.103,25,0.102,123,0.095,229
0.107,26,0.088,107,0.088,212
0.091,22,0.088,106,0.078,189
0.066,16,0.088,107,0.085,205
0.12,29,0.093,113,0.089,215
0.087,21,0.087,105,0.082,198
0.107,26,0.083,101,0.09,217
0.124,30,0.109,132,0.102,248
0.099,24,0.093,113,0.094,228
0.116,28,0.103,125,0.094,228
0.132,32,0.085,103,0.088,212
0.087,21,0.091,110,0.092,223
0.062,15,0.1,121,0.092,223
0.079,19,0.08,97,0.085,205
0.116,28,0.095,115,0.088,212
0.062,15,0.102,124,0.102,246
0.062,15,0.086,104,0.082,198
0.112,27,0.088,107,0.095,229
0.112,27,0.095,115,0.09,217
0.079,19,0.074,90,0.078,188
0.095,23,0.083,101,0.083,202
0.083,20,0.097,118,0.091,221
0.058,14,0.076,92,0.085,207
0.095,23,0.083,100,0.089,216
0.12,29,0.083,100,0.078,189
0.083,20,0.094,114,0.088,213
0.074,18,0.089,108,0.092,222
0.062,15,0.084,102,0.087,211
0.091,22,0.103,125,0.098,238
0.087,21,0.087,105,0.089,216
0.041,10,0.058,70,0.074,179
0.054,13,0.069,84,0.073,178
0.074,18,0.079,96,0.088,212
0.037,9,0.05,60,0.076,183
0.095,23,0.086,104,0.087,210
0.099,24,0.078,95,0.096,233
0.091,22,0.088,107,0.091,220
0.12,29,0.096,116,0.094,228
0.112,27,0.1,121,0.097,235
0.116,28,0.099,120,0.091,221
0.083,20,0.078,95,0.081,196
0.074,18,0.094,114,0.09,217
0.07,17,0.098,119,0.09,217
0.116,28,0.097,117,0.095,229
0.103,25,0.088,107,0.09,218
0.095,23,0.11,133,0.097,234
0.087,21,0.092,112,0.097,234
0.12,29,0.095,115,0.085,207
