p_01,a_01,p_05,a_05,p_10,a_10
0.079,19,0.097,118,0.085,207
0.07,17,0.087,105,0.083,202
0.095,23,0.088,106,0.085,206
0.05,12,0.075,91,0.086,209
0.074,18,0.073,88,0.075,181
0.087,21,0.09,109,0.085,207
0.066,16,0.088,106,0.079,191
0.124,30,0.089,108,0.085,206
0.12,29,0.089,108,0.085,207
0.074,18,0.088,106,0.088,214
0.087,21,0.079,96,0.081,197
0.099,24,0.09,109,0.089,216
0.116,28,0.095,115,0.091,220
0.074,18,0.083,100,0.08,194
0.087,21,0.091,110,0.09,217
0.062,15,0.07,85,0.08,194
0.087,21,0.087,105,0.089,215
0.074,18,0.09,109,0.088,213
0.07,17,0.089,108,0.085,207
0.12,29,0.089,108,0.086,209
0.07,17,0.09,109,0.087,210
0.124,30,0.102,123,0.093,225
0.062,15,0.074,90,0.077,187
0.099,24,0.084,102,0.085,206
0.07,17,0.081,98,0.083,201
0.058,14,0.088,106,0.089,215
0.095,23,0.076,92,0.082,198
0.045,11,0.069,84,0.085,206
0.083,20,0.088,107,0.088,214
0.062,15,0.092,111,0.083,201
0.058,14,0.081,98,0.081,197
0.099,24,0.097,118,0.094,228
0.041,10,0.072,87,0.071,173
0.079,19,0.091,110,0.089,216
0.054,13,0.101,122,0.098,238
0.058,14,0.078,94,0.087,210
0.054,13,0.084,102,0.083,200
0.05,12,0.085,103,0.084,204
0.107,26,0.093,113,0.088,213
0.116,28,0.094,114,0.09,218
0.058,14,0.083,101,0.087,211
0.099,24,0.086,104,0.086,208
0.087,21,0.091,110,0.09,218
0.074,18,0.089,108,0.087,210
0.091,22,0.093,113,0.094,227
0.074,18,0.09,109,0.093,226
0.087,21,0.088,106,0.086,208
0.079,19,0.078,95,0.081,196
0.099,24,0.081,98,0.082,198
0.062,15,0.087,105,0.088,213
0.095,23,0.083,100,0.08,193
0.091,22,0.081,98,0.088,212
0.079,19,0.092,112,0.091,220
0.091,22,0.086,104,0.085,206
0.079,19,0.085,103,0.086,209
0.079,19,0.083,100,0.082,198
0.083,20,0.083,101,0.081,195
0.103,25,0.09,109,0.089,216
0.058,14,0.076,92,0.077,186
0.083,20,0.079,96,0.084,204
0.099,24,0.082,99,0.081,197
0.095,23,0.096,116,0.086,208
0.066,16,0.078,94,0.089,216
0.087,21,0.083,101,0.076,184
0.083,20,0.091,110,0.085,206
0.112,27,0.094,114,0.085,206
0.058,14,0.078,94,0.082,198
0.095,23,0.089,108,0.088,214
0.099,24,0.092,111,0.09,219
0.074,18,0.083,101,0.082,199
0.079,19,0.081,98,0.078,189
0.107,26,0.095,115,0.088,213
0.087,21,0.096,116,0.088,212
0.037,9,0.076,92,0.082,199
0.074,18,0.087,105,0.079,191
0.079,19,0.088,107,0.084,203
0.037,9,0.083,101,0.085,206
0.107,26,0.097,118,0.091,220
0.087,21,0.089,108,0.088,214
0.083,20,0.084,102,0.089,215
0.074,18,0.081,98,0.086,209
0.054,13,0.079,96,0.085,207
0.033,8,0.072,87,0.083,202
0.074,18,0.083,101,0.087,211
0.112,27,0.089,108,0.084,203
0.107,26,0.087,105,0.08,194
0.112,27,0.097,117,0.093,225
0.112,27,0.093,113,0.084,204
0.07,17,0.083,101,0.088,213
0.091,22,0.082,99,0.081,195
0.083,20,0.096,116,0.093,226
0.099,24,0.084,102,0.088,214
0.124,30,0.098,119,0.092,222
0.112,27,0.085,103,0.087,211
0.079,19,0.097,117,0.093,226
0.05,12,0.071,86,0.08,194
0.083,20,0.082,99,0.086,208
0.091,22,0.102,123,0.09,218
0.074,18,0.083,101,0.082,199
0.066,16,0.092,112,0.092,224
0.079,19,0.084,102,0.082,198
0.079,19,0.092,111,0.089,215
0.079,19,0.105,127,0.103,249
0.099,24,0.097,117,0.095,229
0.05,12,0.083,100,0.084,204
0.074,18,0.089,108,0.087,210
0.103,25,0.105,127,0.096,233
0.058,14,0.077,93,0.086,208
0.074,18,0.081,98,0.079,191
0.099,24,0.087,105,0.081,197
0.062,15,0.073,88,0.085,207
0.087,21,0.078,95,0.085,207
0.099,24,0.086,104,0.088,214
0.103,25,0.092,111,0.092,223
0.074,18,0.084,102,0.085,206
0.041,10,0.068,82,0.076,184
0.062,15,0.088,106,0.085,206
0.091,22,0.083,100,0.088,213
0.079,19,0.083,100,0.082,198
0.058,14,0.071,86,0.085,206
0.062,15,0.086,104,0.087,211
0.079,19,0.076,92,0.077,187
0.112,27,0.094,114,0.091,220
0.087,21,0.081,98,0.083,200
0.095,23,0.079,96,0.081,197
0.091,22,0.088,107,0.089,216
0.083,20,0.1,121,0.098,237
0.079,19,0.096,116,0.088,214
0.079,19,0.083,101,0.085,205
0.12,29,0.113,137,0.106,256
0.112,27,0.096,116,0.088,213
0.103,25,0.089,108,0.1,241
0.12,29,0.088,106,0.087,211
0.112,27,0.091,110,0.087,211
0.079,19,0.078,95,0.079,191
0.099,24,0.097,117,0.097,236
0.079,19,0.076,92,0.085,205
0.099,24,0.088,106,0.083,201
0.079,19,0.083,100,0.083,201
0.116,28,0.091,110,0.092,222
0.103,25,0.101,122,0.095,230
0.116,28,0.096,116,0.086,208
0.103,25,0.106,128,0.099,240
0.107,26,0.091,110,0.09,217
0.091,22,0.098,119,0.088,214
0.066,16,0.097,118,0.097,234
0.099,24,0.073,89,0.085,205
0.083,20,0.081,98,0.084,204
0.095,23,0.097,117,0.093,225
0.095,23,0.075,91,0.076,184
0.058,14,0.079,96,0.076,185
0.083,20,0.084,102,0.083,200
0.079,19,0.086,104,0.083,200
0.099,24,0.101,122,0.09,219
0.058,14,0.076,92,0.085,207
0.099,24,0.097,118,0.089,216
0.07,17,0.094,114,0.092,224
0.062,15,0.083,100,0.081,196
0.062,15,0.076,92,0.079,192
0.07,17,0.077,93,0.08,193
0.074,18,0.087,105,0.083,201
0.07,17,0.084,102,0.084,203
0.087,21,0.095,115,0.099,239
0.099,24,0.093,113,0.091,221
0.058,14,0.089,108,0.09,217
0.083,20,0.095,115,0.09,219
0.112,27,0.088,107,0.091,220
0.099,24,0.078,95,0.083,202
0.045,11,0.086,104,0.088,212
0.095,23,0.089,108,0.095,229
0.083,20,0.088,107,0.081,195
0.099,24,0.097,117,0.092,222
0.074,18,0.079,96,0.078,189
0.107,26,0.084,102,0.086,208
0.079,19,0.098,119,0.09,219
0.066,16,0.09,109,0.088,212
0.087,21,0.092,111,0.091,220
0.083,20,0.08,97,0.086,209
0.087,21,0.078,94,0.085,207
0.107,26,0.076,92,0.08,193
0.095,23,0.091,110,0.093,226
0.066,16,0.075,91,0.087,211
0.07,17,0.081,98,0.084,204
0.079,19,0.079,96,0.08,193
0.074,18,0.075,91,0.081,195
0.091,22,0.093,113,0.094,228
0.099,24,0.092,112,0.094,227
0.12,29,0.09,109,0.083,202
0.116,28,0.1,121,0.089,215
0.091,22,0.088,107,0.085,207
0.087,21,0.078,94,0.081,197
0.083,20,0.083,101,0.087,211
0.091,22,0.079,96,0.081,197
0.07,17,0.078,94,0.081,196
0.062,15,0.085,103,0.087,210
0.087,21,0.079,96,0.081,197
0.058,14,0.093,113,0.083,200
0.107,26,0.096,116,0.092,223
0.058,14,0.082,99,0.081,195
0.091,22,0.09,109,0.095,231
0.058,14,0.086,104,0.086,209
0.037,9,0.069,83,0.083,201
0.058,14,0.071,86,0.076,183
0.074,18,0.073,89,0.076,184
0.087,21,0.089,108,0.085,205
0.07,17,0.095,115,0.094,228
0.116,28,0.092,111,0.085,206
0.079,19,0.088,107,0.089,215
0.116,28,0.083,100,0.085,206
0.091,22,0.086,104,0.088,213
0.091,22,0.084,102,0.083,202
0.07,17,0.09,109,0.087,210
0.087,21,0.086,104,0.085,206
0.095,23,0.082,99,0.085,207
0.066,16,0.086,104,0.087,211
0.099,24,0.082,99,0.083,200
0.124,30,0.102,124,0.094,228
0.074,18,0.083,101,0.085,206
0.083,20,0.076,92,0.081,197
0.066,16,0.073,89,0.074,179
0.087,21,0.087,105,0.092,224
0.087,21,0.094,114,0.088,214
0.103,25,0.08,97,0.085,207
0.083,20,0.088,106,0.092,224
0.041,10,0.072,87,0.079,191
0.095,23,0.088,107,0.092,224
0.116,28,0.099,120,0.095,231
0.07,17,0.078,95,0.084,203
0.074,18,0.087,105,0.088,212
0.103,25,0.092,112,0.09,217
0.107,26,0.102,123,0.091,221
0.116,28,0.101,122,0.094,227
0.095,23,0.077,93,0.083,200
0.066,16,0.085,103,0.089,215
0.058,14,0.073,89,0.086,209
0.054,13,0.078,94,0.083,201
0.112,27,0.099,120,0.089,216
0.112,27,0.097,117,0.087,210
0.083,20,0.097,117,0.084,203
0.058,14,0.088,107,0.095,230
0.091,22,0.079,96,0.084,203
0.079,19,0.083,101,0.085,205
0.058,14,0.083,101,0.09,218
0.074,18,0.092,112,0.089,216
0.07,17,0.07,85,0.089,216
0.083,20,0.087,105,0.092,222
0.07,17,0.078,95,0.075,182
0.07,17,0.089,108,0.083,201
0.062,15,0.079,96,0.09,219
0.087,21,0.092,111,0.095,230
