p_01,a_01,p_05,a_05,p_10,a_10
0.083,20,0.084,102,0.081,197
0.136,33,0.097,118,0.089,216
0.103,25,0.078,94,0.089,216
0.124,30,0.098,119,0.087,210
0.079,19,0.074,90,0.085,207
0.128,31,0.097,117,0.09,218
0.091,22,0.082,99,0.084,203
0.07,17,0.077,93,0.08,194
0.066,16,0.079,96,0.079,191
0.099,24,0.077,93,0.081,195
0.083,20,0.084,102,0.085,207
0.074,18,0.082,99,0.084,203
0.095,23,0.077,93,0.078,188
0.062,15,0.075,91,0.081,195
0.062,15,0.097,117,0.087,211
0.091,22,0.091,110,0.098,237
0.091,22,0.092,111,0.089,215
0.074,18,0.081,98,0.083,200
0.12,29,0.102,123,0.099,240
0.074,18,0.075,91,0.084,203
0.074,18,0.091,110,0.088,212
0.091,22,0.088,107,0.091,221
0.033,8,0.059,72,0.079,192
0.066,16,0.079,96,0.078,190
0.079,19,0.082,99,0.088,213
0.079,19,0.081,98,0.095,231
0.083,20,0.088,107,0.09,219
0.107,26,0.099,120,0.092,224
0.112,27,0.09,109,0.086,208
0.112,27,0.074,90,0.076,184
0.066,16,0.092,111,0.092,224
0.07,17,0.09,109,0.089,215
0.066,16,0.089,108,0.087,211
0.095,23,0.082,99,0.087,211
0.074,18,0.076,92,0.084,204
0.099,24,0.101,122,0.092,223
0.091,22,0.087,105,0.088,214
0.074,18,0.074,90,0.071,172
0.05,12,0.083,101,0.085,205
0.095,23,0.079,96,0.08,193
0.062,15,0.078,94,0.076,184
0.099,24,0.095,115,0.087,210
0.074,18,0.082,99,0.092,222
0.074,18,0.101,122,0.099,239
0.07,17,0.078,95,0.081,197
0.07,17,0.088,107,0.088,212
0.107,26,0.092,111,0.09,218
0.099,24,0.098,119,0.083,201
0.091,22,0.089,108,0.091,220
0.074,18,0.092,111,0.095,229
0.103,25,0.09,109,0.081,197
0.083,20,0.097,118,0.091,220
0.079,19,0.088,106,0.089,215
0.087,21,0.085,103,0.082,199
0.079,19,0.088,106,0.086,209
0.07,17,0.078,95,0.079,191
0.058,14,0.077,93,0.076,183
0.103,25,0.108,131,0.092,223
0.05,12,0.084,102,0.085,205
0.095,23,0.083,101,0.082,198
0.091,22,0.095,115,0.088,214
0.041,10,0.081,98,0.09,217
0.091,22,0.082,99,0.087,211
0.132,32,0.092,111,0.095,231
0.079,19,0.08,97,0.08,193
0.116,28,0.096,116,0.09,218
0.079,19,0.098,119,0.093,226
0.079,19,0.089,108,0.092,222
0.07,17,0.081,98,0.083,201
0.153,37,0.092,112,0.092,223
0.112,27,0.089,108,0.087,211
0.124,30,0.102,123,0.097,234
0.079,19,0.087,105,0.081,196
0.095,23,0.092,112,0.091,221
0.112,27,0.092,112,0.092,223
0.079,19,0.082,99,0.085,205
0.103,25,0.083,101,0.081,197
0.099,24,0.088,106,0.084,203
0.041,10,0.055,66,0.069,166
0.087,21,0.082,99,0.077,187
0.112,27,0.085,103,0.084,204
0.087,21,0.085,103,0.085,205
0.107,26,0.086,104,0.081,197
0.099,24,0.087,105,0.085,207
0.091,22,0.092,111,0.092,223
0.079,19,0.088,107,0.085,207
0.107,26,0.096,116,0.092,223
0.074,18,0.095,115,0.088,213
0.099,24,0.074,90,0.081,195
0.062,15,0.077,93,0.08,193
0.095,23,0.08,97,0.078,190
0.05,12,0.077,93,0.08,194
0.07,17,0.097,117,0.094,228
0.095,23,0.094,114,0.083,202
0.079,19,0.08,97,0.078,190
0.112,27,0.08,97,0.084,204
0.091,22,0.087,105,0.087,210
0.062,15,0.088,107,0.085,206
0.058,14,0.089,108,0.09,218
0.091,22,0.087,105,0.094,227
0.079,19,0.086,104,0.088,214
0.079,19,0.086,104,0.088,212
0.091,22,0.077,93,0.078,190
0.107,26,0.096,116,0.09,219
0.107,26,0.086,104,0.09,218
0.074,18,0.096,116,0.096,233
0.091,22,0.097,117,0.092,222
0.079,19,0.075,91,0.083,200
0.07,17,0.093,113,0.091,221
0.099,24,0.091,110,0.088,214
0.099,24,0.102,124,0.102,246
0.091,22,0.102,123,0.092,223
0.062,15,0.09,109,0.09,219
0.099,24,0.092,112,0.085,206
0.062,15,0.088,107,0.09,219
0.091,22,0.088,107,0.092,222
0.099,24,0.088,107,0.083,200
0.095,23,0.085,103,0.081,195
0.079,19,0.081,98,0.078,189
0.091,22,0.097,118,0.092,223
0.087,21,0.105,127,0.095,231
0.058,14,0.087,105,0.09,217
0.079,19,0.079,96,0.081,197
0.12,29,0.092,111,0.089,216
0.12,29,0.092,112,0.093,225
0.12,29,0.091,110,0.093,226
0.058,14,0.101,122,0.088,214
0.095,23,0.093,113,0.086,209
0.12,29,0.094,114,0.092,222
0.091,22,0.076,92,0.071,173
0.103,25,0.095,115,0.093,225
0.091,22,0.084,102,0.09,219
0.079,19,0.076,92,0.087,211
0.112,27,0.083,101,0.081,196
0.091,22,0.094,114,0.088,212
0.091,22,0.085,103,0.082,198
0.099,24,0.092,111,0.081,197
0.099,24,0.083,100,0.088,212
0.074,18,0.088,106,0.086,209
0.103,25,0.091,110,0.091,220
0.107,26,0.099,120,0.094,228
0.095,23,0.086,104,0.092,223
0.132,32,0.095,115,0.089,215
0.079,19,0.076,92,0.081,197
0.062,15,0.078,94,0.082,199
0.095,23,0.089,108,0.085,205
0.116,28,0.093,113,0.092,223
0.091,22,0.095,115,0.09,219
0.112,27,0.092,111,0.097,236
0.083,20,0.088,107,0.089,216
0.062,15,0.081,98,0.083,202
0.074,18,0.085,103,0.085,207
0.091,22,0.088,106,0.083,202
0.107,26,0.106,128,0.099,239
0.062,15,0.088,107,0.091,221
0.091,22,0.083,100,0.088,214
0.087,21,0.092,111,0.098,237
0.107,26,0.088,107,0.092,223
0.091,22,0.087,105,0.091,221
0.066,16,0.083,101,0.087,211
0.099,24,0.094,114,0.088,213
0.07,17,0.081,98,0.087,211
0.041,10,0.064,78,0.077,186
0.074,18,0.096,116,0.089,215
0.045,11,0.085,103,0.088,214
0.054,13,0.055,67,0.07,170
0.087,21,0.078,95,0.082,198
0.116,28,0.09,109,0.093,225
0.083,20,0.091,110,0.085,207
0.079,19,0.085,103,0.083,201
0.095,23,0.073,88,0.076,184
0.116,28,0.088,107,0.091,220
0.099,24,0.087,105,0.09,219
0.103,25,0.089,108,0.1,242
0.091,22,0.085,103,0.089,216
0.107,26,0.092,111,0.087,210
0.083,20,0.089,108,0.09,218
0.095,23,0.096,116,0.088,212
0.083,20,0.081,98,0.092,222
0.124,30,0.098,119,0.095,230
0.107,26,0.076,92,0.088,212
0.087,21,0.09,109,0.094,227
0.058,14,0.083,100,0.082,199
0.087,21,0.084,102,0.078,189
0.087,21,0.083,100,0.085,207
0.079,19,0.072,87,0.083,201
0.103,25,0.095,115,0.091,221
0.103,25,0.094,114,0.093,226
0.083,20,0.092,111,0.09,218
0.079,19,0.084,102,0.089,216
0.095,23,0.101,122,0.092,224
0.099,24,0.095,115,0.095,231
0.124,30,0.096,116,0.095,230
0.087,21,0.083,101,0.086,209
0.087,21,0.085,103,0.095,230
0.083,20,0.087,105,0.076,184
0.087,21,0.089,108,0.086,208
0.079,19,0.09,109,0.093,225
0.116,28,0.086,104,0.083,200
0.066,16,0.081,98,0.081,195
0.083,20,0.073,89,0.075,182
0.116,28,0.102,123,0.091,220
0.087,21,0.081,98,0.078,190
0.087,21,0.092,112,0.085,205
0.066,16,0.082,99,0.089,215
0.083,20,0.074,90,0.081,196
0.091,22,0.078,95,0.076,184
0.079,19,0.082,99,0.091,221
0.083,20,0.099,120,0.092,224
0.099,24,0.102,124,0.095,230
0.087,21,0.092,111,0.09,219
0.087,21,0.085,103,0.081,196
0.066,16,0.089,108,0.085,205
0.074,18,0.086,104,0.087,211
0.103,25,0.084,102,0.082,199
0.103,25,0.086,104,0.09,219
0.091,22,0.087,105,0.081,197
0.112,27,0.102,123,0.09,219
0.066,16,0.075,91,0.073,177
0.087,21,0.088,107,0.09,217
0.107,26,0.102,123,0.101,245
0.091,22,0.097,117,0.092,223
0.091,22,0.094,114,0.085,205
0.079,19,0.083,101,0.083,200
0.07,17,0.078,95,0.088,213
0.116,28,0.088,106,0.084,204
0.087,21,0.088,106,0.096,233
0.083,20,0.095,115,0.092,223
0.025,6,0.07,85,0.078,189
0.091,22,0.097,118,0.092,223
0.083,20,0.08,97,0.083,200
0.099,24,0.086,104,0.091,220
0.116,28,0.096,116,0.091,220
0.087,21,0.089,108,0.087,210
0.058,14,0.079,96,0.079,191
0.07,17,0.089,108,0.091,220
0.091,22,0.097,117,0.095,229
0.087,21,0.085,103,0.089,215
0.062,15,0.083,101,0.088,214
0.079,19,0.083,100,0.09,217
0.103,25,0.101,122,0.09,218
0.079,19,0.091,110,0.083,201
0.12,29,0.093,113,0.09,218
0.041,10,0.065,79,0.077,186
0.058,14,0.083,101,0.092,222
0.103,25,0.097,117,0.094,227
