p_01,a_01,p_05,a_05,p_10,a_10
0.079,19,0.074,90,0.085,206
0.087,21,0.075,91,0.083,201
0.07,17,0.092,112,0.09,218
0.079,19,0.082,99,0.085,207
0.079,19,0.085,103,0.087,210
0.087,21,0.084,102,0.09,217
0.112,27,0.084,102,0.078,190
0.066,16,0.072,87,0.082,199
0.062,15,0.078,94,0.081,196
0.112,27,0.094,114,0.082,199
0.095,23,0.081,98,0.081,196
0.066,16,0.077,93,0.076,185
0.079,19,0.079,96,0.078,189
0.107,26,0.089,108,0.083,200
0.12,29,0.081,98,0.082,199
0.099,24,0.08,97,0.081,196
0.05,12,0.078,94,0.082,199
0.07,17,0.09,109,0.087,210
0.099,24,0.078,94,0.077,187
0.079,19,0.076,92,0.075,182
0.054,13,0.064,78,0.082,199
0.07,17,0.076,92,0.078,189
0.112,27,0.082,99,0.081,195
0.095,23,0.079,96,0.081,197
0.107,26,0.098,119,0.085,207
0.062,15,0.083,100,0.082,198
0.103,25,0.078,95,0.081,196
0.054,13,0.058,70,0.078,189
0.054,13,0.079,96,0.086,208
0.091,22,0.078,94,0.086,208
0.087,21,0.077,93,0.083,202
0.074,18,0.082,99,0.085,205
0.091,22,0.086,104,0.09,217
0.095,23,0.088,107,0.088,213
0.05,12,0.086,104,0.085,206
0.066,16,0.087,105,0.083,200
0.12,29,0.085,103,0.084,203
0.058,14,0.075,91,0.079,191
0.062,15,0.09,109,0.08,193
0.083,20,0.096,116,0.09,218
0.054,13,0.074,90,0.077,186
0.074,18,0.085,103,0.083,200
0.066,16,0.088,106,0.08,194
0.107,26,0.09,109,0.085,206
0.107,26,0.086,104,0.089,215
0.095,23,0.083,100,0.083,201
0.124,30,0.096,116,0.086,208
0.07,17,0.077,93,0.084,204
0.058,14,0.089,108,0.088,213
0.074,18,0.09,109,0.09,218
0.079,19,0.094,114,0.086,208
0.099,24,0.086,104,0.085,207
0.091,22,0.083,101,0.089,216
0.07,17,0.084,102,0.086,209
0.074,18,0.078,95,0.081,195
0.112,27,0.09,109,0.1,241
0.091,22,0.078,95,0.077,187
0.087,21,0.08,97,0.083,201
0.099,24,0.075,91,0.08,194
0.083,20,0.069,83,0.076,184
0.091,22,0.089,108,0.08,194
0.099,24,0.08,97,0.083,200
0.128,31,0.084,102,0.088,213
0.083,20,0.082,99,0.086,209
0.079,19,0.073,88,0.086,208
0.079,19,0.088,106,0.084,204
0.095,23,0.082,99,0.091,220
0.079,19,0.084,102,0.089,216
