p_01,p_05,p_10,ap_01,ap_05,ap_10
0.296,0.411,0.436,4227801104046285.0,2.967584426194745e+82,1.9955428928004465e+160
0.367,0.328,0.326,150798056212882.97,1.1495532826906814e+93,2.3722339953128318e+193
0.378,0.35,0.325,137764705798901.31,7.487425007465226e+90,6.504282554657337e+193
0.327,0.314,0.316,157549875628545.72,6.081152215232403e+94,2.2630468816366051e+195
0.286,0.314,0.316,1.902386952484827e+16,1.578738852768237e+96,1.5404943413094788e+196
0.612,0.65,0.589,295429985.663,2.3799081038779443e+47,4.727522574052942e+115
0.316,0.34,0.342,4.662097670527496e+16,3.0319938891902226e+92,4.956853843072252e+188
0.255,0.314,0.297,1.114315770934696e+18,6.913939072522246e+95,1.706264730919238e+201
0.245,0.305,0.31,992060529956103.5,2.6641890088993834e+93,3.438297918343498e+195
0.357,0.369,0.343,36682274508985.44,1.0134201238815457e+86,1.5631090897220166e+185
0.408,0.369,0.341,2992654869357.146,8.431736864835034e+85,5.886843721551359e+188
0.296,0.318,0.322,5.543678480169275e+16,4.190372426869028e+94,8.012475403238576e+193
0.347,0.334,0.333,282566828545170.1,1.0272885158037082e+92,5.620229676178609e+190
0.265,0.277,0.285,9.638541537352466e+16,8.112326897010666e+100,1.0250333840890817e+205
0.429,0.336,0.329,6415347062583.221,4.0069277266148776e+92,1.0221900451789882e+193
0.347,0.312,0.333,301623820761206.3,2.719213329800601e+95,2.0441170526015954e+189
0.327,0.338,0.341,1181472049535896.8,8.202959081773813e+91,2.6292585384255524e+189
0.286,0.342,0.354,5089520894986.701,1.2017880823776347e+91,4.435852368663647e+184
0.306,0.322,0.316,2.8017424701258612e+16,1.85949513693833e+95,2.0188425723139e+196
0.296,0.354,0.342,4.719736521683067e+16,6.288985077368824e+89,2.2945215019531068e+188
0.316,0.312,0.316,4348991946607694.5,1.4809683360842113e+96,6.466832570886917e+195
0.347,0.312,0.306,144779714642979.38,8.20174185429217e+95,5.220376404736733e+198
0.265,0.301,0.32,1.9308471062624892e+16,6.542332444252294e+93,1.1037034273695954e+195
0.245,0.293,0.31,4.059231200762489e+18,9.861240380505742e+96,1.5096534178228002e+198
0.296,0.301,0.313,4261431788102585.5,1.1067342931661356e+95,1.0273434110699374e+197
0.327,0.314,0.4,5207472811900429.0,2.1416891261594443e+96,1.4957763689333288e+172
0.337,0.328,0.334,9258002138708.496,4.348809051346192e+90,4.384027611654329e+187
0.316,0.326,0.32,5304095381325593.0,2.860359062037724e+93,1.0016698797794389e+195
0.378,0.332,0.328,5712138091757.905,4.629953911494418e+91,1.0142650321630458e+191
0.327,0.342,0.317,112574997036672.11,6.414772043379571e+90,2.609519390589618e+195
0.276,0.285,0.288,1.7007725410864992e+17,3.2329728743968197e+100,3.3495668628473636e+204
0.347,0.279,0.314,1490091450386369.2,6.046102815378499e+100,6.7613196941419285e+196
0.296,0.358,0.346,1.5061568280839596e+16,4.6383480001890906e+88,2.369376775734627e+186
0.378,0.332,0.329,31974633863167.484,1.1513006791086935e+93,7.067900014070268e+191
0.653,0.646,0.584,10046241.442,1.7534856680789706e+47,4.394681519188921e+117
0.408,0.344,0.334,5586840475148.786,1.0873584546699183e+92,4.508270030035965e+189
0.316,0.344,0.32,2266180421454721.5,1.376912810647278e+91,3.6338712026261995e+194
0.265,0.326,0.325,3.3469560772694036e+16,2.4778734073306333e+93,2.7506999661062134e+192
0.408,0.328,0.335,1916794186129.175,5.592685299717527e+93,4.7722286102054974e+190
0.316,0.344,0.345,2248450874392367.8,5.408014111843003e+90,5.861579553236033e+186
0.276,0.293,0.32,9.741837884965338e+16,3.585775257403466e+98,1.432710448848223e+195
0.357,0.334,0.333,156794473140837.34,2.205681958287651e+90,5.232861765791125e+190
0.276,0.33,0.308,8.891444218575116e+17,5.11685055535394e+93,1.6625781807511529e+199
0.643,0.646,0.584,17756714.111,4.961536381519034e+47,2.2560163374179738e+117
0.306,0.299,0.32,8588310648490572.0,2.9361485800145364e+98,1.4951252157418807e+193
0.265,0.344,0.345,2.1260152605754336e+16,4.445464963571576e+90,9.692570192545705e+186
0.245,0.303,0.328,1.5822777923280622e+16,1.3994195404287892e+97,9.207963099706966e+191
0.653,0.656,0.585,6387208.734,1.2952303201052624e+46,1.7236441338658543e+116
0.276,0.297,0.312,4.282201198154709e+16,6.371302917974122e+95,1.6957492614425865e+196
0.327,0.326,0.31,997927949811936.0,3.802587096374083e+93,1.2289066394817022e+197
0.367,0.328,0.316,25573823037614.965,1.0740313464591055e+93,1.7260408541799746e+195
0.398,0.342,0.32,850273030450.835,1.905533733804553e+89,8.762419503018366e+192
0.398,0.344,0.311,13164941432.048,1.1610727311259753e+89,1.2442880287640464e+195
0.255,0.293,0.308,1.810926876030609e+17,1.0800240962683666e+99,1.371948022817936e+198
0.418,0.32,0.315,48692651144875.76,1.7477239962358714e+93,1.4776170394356628e+196
0.388,0.34,0.319,37419031487329.3,7.344668423744153e+91,5.5122106629362905e+194
0.296,0.326,0.319,2.4130226929810588e+16,1.3601930787704525e+94,1.5488558976769627e+195
0.265,0.344,0.353,586708365809548.2,8.466528468905247e+90,8.068712303606482e+184
0.347,0.352,0.348,1217972883854322.8,2.0983442650029004e+89,4.1033704481436206e+186
0.296,0.326,0.38,9248141127724886.0,3.911633255866806e+93,1.6667229149375103e+177
0.408,0.326,0.345,1568379559071.634,5.800775146379114e+93,7.22820438891762e+187
0.296,0.32,0.312,350536614780291.94,3.686983748077571e+92,5.882061877967074e+194
0.357,0.346,0.342,1451045697479872.0,5.301453197522119e+90,4.2372699185303614e+188
0.235,0.316,0.302,5.187606967925542e+17,7.184302172599322e+95,2.669139922078755e+198
0.296,0.308,0.313,448922886316189.94,1.1770676607226237e+90,1.4788432729659443e+194
0.276,0.31,0.357,187033710066193.5,8.11055885134733e+93,4.506997996625124e+181
0.327,0.358,0.395,292003772838502.06,6.2071717654981084e+88,3.717554303170214e+171
0.316,0.31,0.33,1030415399598973.4,3.1472483238234614e+95,1.1196672659906474e+192
0.194,0.289,0.31,70921046438756.11,1.9407718139018853e+99,9.134876495972782e+195
0.347,0.342,0.328,490497953806881.5,4.808381332823167e+90,3.0357535300997274e+191
0.306,0.295,0.308,1539731425617474.2,4.812691068524547e+97,5.609316964401363e+197
0.265,0.301,0.299,1259306157109805.5,9.624092638838394e+96,1.3240360723705729e+200
0.337,0.328,0.322,1210148419481.555,7.701211435075919e+89,4.357364741106495e+190
0.276,0.33,0.343,6.560879852387747e+16,7.847949105034586e+93,9.734359173233305e+188
0.276,0.312,0.315,5.127236586562771e+16,3.165942587688827e+95,1.1413477528500448e+196
0.316,0.348,0.338,702468449331393.9,2.5959446965478715e+90,1.4997677370614599e+190
0.378,0.356,0.332,2824955195696.461,7.923316933331378e+88,3.454543774483624e+188
0.316,0.32,0.321,1.7927705401959976e+16,1.1351591528919136e+95,6.1765716694480746e+193
0.367,0.369,0.368,41203968195776.195,1.4830632497838832e+87,6.218885013278641e+181
0.316,0.324,0.318,2539224590250948.5,1.1867082902055441e+94,1.0097084929402429e+195
