p_01,p_05,p_10,ap_01,ap_05,ap_10
0.306,0.346,0.354,851793275227865.1,2.351940819023199e+91,6.489548404757616e+184
0.337,0.358,0.353,4379102463970.913,9.995453728609067e+87,6.410526313529421e+183
0.337,0.363,0.357,133708107684536.25,8.892393649966132e+86,1.2635262955624683e+183
0.51,0.391,0.367,2912349895.774,2.4239213305404375e+84,3.5638060324768342e+180
0.255,0.303,0.332,1235626179884006.8,6.21099941118374e+94,1.4478568305050494e+189
0.5,0.389,0.365,17144955620.715,2.924633602163601e+83,4.021197076066966e+181
0.296,0.334,0.351,2.007924368297905e+16,1.410187002046809e+92,1.5606088403880568e+185
0.367,0.34,0.355,88490782890263.39,3.3180634003424235e+91,3.2299039438503492e+184
0.306,0.332,0.347,1903423326473483.0,7.02122564928355e+92,8.97095488865935e+186
0.378,0.358,0.35,441442287979576.0,5.713947690195244e+89,1.0271965059181828e+187
0.388,0.385,0.357,44773183169549.664,2.479954146925202e+85,2.29110447581321e+184
0.408,0.324,0.344,203989904371652.5,1.0298151110360592e+94,3.003804798144699e+188
0.306,0.342,0.347,3.178328434014279e+16,1.741814220802537e+91,7.597723814891151e+186
0.378,0.338,0.336,92403016320931.25,1.4934542992697427e+92,1.464938719912505e+190
0.398,0.371,0.333,42039602719695.04,1.4679594504592946e+87,4.1914403901799116e+191
0.337,0.391,0.371,306013534777565.56,4.2118007431222695e+83,2.323812125693998e+178
0.316,0.346,0.349,1084433377816627.1,5.973484353490203e+90,2.0596223553763481e+186
0.378,0.389,0.369,170088214053984.5,1.906937041814228e+85,2.2160452010644726e+180
0.398,0.352,0.345,183243202737.291,7.335778451883209e+89,9.36958644598434e+186
0.418,0.354,0.356,1116818932021.957,6.867702632128121e+89,1.3900671974211867e+182
0.388,0.352,0.37,125690056747345.72,3.369159136897141e+88,6.830348859496731e+179
0.327,0.365,0.345,1302476444146777.8,2.7989390424688487e+87,5.606701964328253e+186
0.378,0.358,0.355,12629346456388.152,4.4935279493251946e+88,3.0044878222056795e+184
0.327,0.354,0.366,7344709978914168.0,9.051443036207376e+89,1.0855723510271988e+182
0.398,0.363,0.351,11375184108.233,1.3421444202583134e+85,1.636108513611045e+181
0.327,0.356,0.343,1163446775098679.8,7.874177434535919e+89,2.525105457764748e+188
0.398,0.365,0.369,10757241999048.89,3.600608524444868e+87,4.1612523335772506e+179
0.347,0.358,0.359,4484331918398950.0,2.8231349448797904e+88,4.8218300966787764e+182
0.337,0.383,0.351,2703576408865.129,1.4139905346785677e+83,3.133929105779846e+182
0.316,0.358,0.354,2859825529166857.5,5.094344952917779e+88,1.238872535740826e+184
0.378,0.365,0.343,3991189876560.671,2.5780996846133466e+87,4.651398449656873e+186
0.296,0.348,0.359,1528101551449133.8,1.1313231949474882e+88,1.5949631658573315e+182
0.316,0.367,0.351,1637524508906161.0,1.5590219474576801e+87,2.3402972930738576e+184
0.327,0.342,0.361,405819731720929.6,1.0343644063468704e+89,1.8418289787999018e+181
0.459,0.389,0.377,782986343845.66,3.6471602346314587e+84,2.7995784136510645e+177
0.398,0.356,0.361,20566669112.754,3.107279473127381e+89,4.733992450407903e+182
0.337,0.348,0.322,227778865795615.1,3.701622390056876e+89,2.8458721408756765e+192
0.357,0.308,0.325,1267977783812561.8,6.017288687162659e+96,1.6749874103646033e+193
0.429,0.365,0.376,548737880234.452,3.598954800869183e+88,6.494959366946669e+176
0.337,0.385,0.367,438177557387228.06,1.3825184183136317e+84,3.113878644837542e+179
0.296,0.375,0.336,1.961686038998926e+16,3.202451143163598e+86,2.530286060398667e+190
0.367,0.385,0.356,35310319902292.91,6.035121746803874e+85,1.3728498990303058e+184
0.316,0.324,0.332,36621246115154.836,2.4961086525013163e+91,5.63081079642499e+188
0.398,0.373,0.348,10786495218646.791,3.9272246453050114e+87,3.3694185491663483e+186
0.388,0.336,0.338,6943953051712.392,8.471863719587714e+91,1.5536891621550294e+189
0.347,0.365,0.376,46402888684936.305,1.5300438845723183e+88,4.168411183653391e+178
0.316,0.332,0.345,3306150613519669.5,2.973731025512564e+92,3.1595588197126644e+186
0.449,0.385,0.375,432431546023.784,3.7549033342664675e+84,9.606139762399814e+176
0.357,0.348,0.349,2136045078394790.5,8.389727755070722e+90,4.827707715636504e+186
0.378,0.346,0.349,524011732152001.5,2.8606478796870965e+89,4.02468272034389e+186
0.408,0.369,0.331,946900819808.754,5.857043804452487e+86,1.741289107629552e+190
0.367,0.336,0.344,46200670147473.02,7.443234900165426e+91,1.829516578449859e+187
0.347,0.334,0.338,11209539668394.666,1.3762744831501706e+92,1.7398948886839775e+189
0.245,0.352,0.357,1.1335330096017226e+16,8.630651140913955e+89,5.78305945710102e+182
0.327,0.336,0.344,139150003282413.02,1.134433653774045e+91,4.3354427599097853e+186
0.357,0.375,0.367,978732782083237.2,3.8549736600085274e+84,1.1410281005300315e+181
0.367,0.367,0.347,22439276701316.695,3.9762094309357104e+87,3.1335233999951213e+187
0.367,0.356,0.353,136288777361323.69,9.784697421997232e+88,2.189904166037865e+184
0.337,0.32,0.336,2174724831057.062,4.254307410513833e+93,4.8276560389296515e+190
0.306,0.363,0.348,1987356922254943.8,1.3449224772884967e+88,1.5207357756469596e+186
0.316,0.365,0.349,147561308280416.4,1.3380161776344332e+88,1.1174996597276084e+186
0.306,0.338,0.344,2134934675004431.8,1.7763932182225951e+92,1.7279355714686832e+188
0.286,0.34,0.351,148794314044660.44,1.4218542438720053e+90,1.340726342353701e+183
0.367,0.356,0.372,51085416971263.57,2.9223551244070334e+88,1.1971229832338035e+179
0.398,0.334,0.352,27926565050566.75,1.2453112103145802e+92,3.045592011221995e+185
0.429,0.373,0.361,3720243395242.041,2.971660523719258e+86,2.1241018578170541e+183
0.327,0.36,0.347,1222070187205034.5,8.969656191762372e+88,4.818934713509201e+187
0.327,0.352,0.357,270962986519096.16,4.330499512518163e+89,1.4432572123867828e+184
0.378,0.354,0.358,8860258202915.504,1.950153334730324e+86,2.0739541843744922e+182
0.439,0.383,0.363,9301697900297.533,8.037034319452997e+85,7.537408956869441e+182
0.347,0.365,0.349,234136462460032.12,7.109344292400028e+86,7.449037789655756e+184
0.398,0.367,0.383,78240255861839.39,2.1056195319296247e+88,7.612492434724232e+176
0.418,0.354,0.341,11436899979881.746,4.846277458726151e+88,9.00479695183535e+188
0.388,0.338,0.347,17769577102605.45,3.427112559586995e+92,1.0912290727048345e+187
0.367,0.369,0.385,4853620776854.752,5.756898672585885e+86,6.773761165007744e+175
0.255,0.338,0.338,305171490166942.1,7.040225013215787e+90,1.0407686668491945e+188
0.306,0.352,0.361,6491295358017112.0,3.314004925093017e+89,6.6271142017836804e+181
0.265,0.352,0.348,8.283428705035786e+16,1.6429308290193212e+89,1.7325638905116893e+186
0.378,0.36,0.364,259065194009906.44,1.8748777271638715e+88,3.0850113981591784e+181
0.388,0.356,0.341,22877734573592.297,3.6207160326706975e+89,1.2575040125181361e+187
0.224,0.308,0.347,6.356153556797905e+18,1.2362532282952596e+97,1.6963259988042756e+186
0.327,0.33,0.344,284545830749238.75,7.692125009143158e+91,5.593467957612761e+187
0.378,0.344,0.355,67521746947231.24,2.7714998997729535e+90,8.545297545210522e+183
0.337,0.352,0.356,45676380380600.445,4.6103662506390336e+89,1.150665396313358e+184
0.418,0.365,0.347,34626078557214.75,6.479090887674213e+88,5.156946377515492e+186
0.367,0.312,0.32,14828094300868.592,3.824376220669376e+95,4.8692637233681655e+194
0.296,0.326,0.334,1928543320915275.0,4.682013135949045e+90,1.2713223948290364e+188
0.367,0.371,0.351,18341782538978.723,3.720333132356399e+87,1.2305150041558021e+185
0.306,0.33,0.334,4.588160992083795e+16,1.1224524001164174e+91,2.73453401056751e+191
0.367,0.365,0.354,782617236611637.5,3.580066809226348e+88,2.6296932274081873e+185
0.367,0.352,0.341,555198701557229.94,6.92078168911394e+89,2.946437704768634e+189
0.296,0.363,0.357,2310278803374029.5,3.7647627274999475e+88,2.286712053902408e+183
0.306,0.336,0.337,848530972054155.6,2.5818614491377753e+92,1.5551222064744994e+190
0.306,0.356,0.354,4.327698621457184e+16,2.0734619931006637e+90,2.2023834728343845e+185
0.449,0.36,0.366,3802153406546.418,6.02601142906132e+88,5.405877054031912e+181
0.408,0.381,0.368,36200849059151.836,2.9930720844267545e+86,7.394105917179771e+180
0.367,0.363,0.37,706668014688921.8,9.986711106739965e+88,2.865906456085722e+180
0.255,0.32,0.331,37123844647604.84,4.371896061347622e+93,1.0872095093899292e+190
0.367,0.356,0.361,59192939929760.836,1.1230495811903837e+88,5.37928698469358e+182
0.439,0.369,0.356,20700231408779.875,4.608213339748149e+87,3.0885689481106545e+183
