p_01,p_05,p_10,ap_01,ap_05,ap_10
0.306,0.344,0.312,5.27217085415717e+16,5.447872297790174e+91,2.3349014619034087e+197
0.663,0.686,0.582,1137675.856,4.2510598693971995e+41,4.1262672480700496e+117
0.347,0.285,0.301,308511193029029.94,8.187172345490853e+98,1.31358409711017e+201
0.276,0.308,0.325,2218724694011620.2,7.391550438154268e+95,7.641214642298567e+192
0.316,0.293,0.3,2222145208183735.5,3.037915450743057e+98,2.0582789788832419e+201
0.235,0.295,0.296,3.7559905570845146e+17,1.0630164023345307e+98,3.8641853600388646e+200
0.296,0.326,0.323,4316108290906499.5,3.9280384153213673e+92,1.2885705351854271e+194
0.367,0.314,0.33,353877660707741.56,7.428436309803005e+95,6.903953477907078e+191
0.388,0.314,0.329,27580715507154.277,1.2376651310871946e+94,1.0157491514081887e+192
0.306,0.308,0.328,343613952207391.4,5.316607754443132e+96,9.876466201114707e+190
0.235,0.328,0.318,7314891865773362.0,3.8610446019204456e+91,6.225818255966796e+193
0.286,0.308,0.343,2.1016439707539344e+16,2.7209067108703565e+95,3.5327138489630895e+187
0.276,0.324,0.328,3.345185871765756e+16,6.304883955568502e+92,3.04761025036932e+192
0.306,0.32,0.332,4491615426777576.5,5.819923956071523e+94,1.164431787403784e+190
0.357,0.336,0.337,4948037122106.32,5.261567260048125e+91,4.465343124668691e+189
0.255,0.352,0.33,7.172815810865559e+16,1.035817701225281e+90,1.3951875468982934e+192
0.306,0.308,0.328,7128879812458536.0,6.981620458785924e+95,3.5414674363031254e+192
0.643,0.684,0.576,2643773.721,4.846879531685387e+41,2.9664072478930537e+118
0.306,0.34,0.337,6170898642719258.0,4.222937866406183e+91,4.224173585497241e+187
0.347,0.33,0.332,1924920015936574.8,1.3279781794083215e+92,2.0347442309840125e+191
0.337,0.326,0.333,1504327453342.843,1.6242484199133207e+92,2.986613771136567e+190
0.296,0.31,0.307,4023572616055002.0,5.485244681761785e+94,4.067570868733971e+197
0.367,0.301,0.339,15167754386400.984,1.6831923955436647e+94,5.962349068905434e+187
0.378,0.346,0.333,48149904605616.03,6.877162070092818e+89,1.4616459170835284e+189
0.408,0.536,0.519,216205520674.24,1.1021451463071836e+62,5.977282074038086e+135
0.378,0.36,0.343,30839591906445.855,1.0609238511285225e+89,6.182603588223383e+187
0.327,0.301,0.309,1.1946585175350778e+16,1.9212632826880804e+97,7.792956674908497e+197
0.367,0.344,0.325,15685312032466.99,2.134862066361147e+89,4.9428489638505293e+191
0.327,0.324,0.332,4696943978269757.0,1.2333427991850626e+93,3.2209154854666537e+186
0.235,0.277,0.296,2.0509693712001366e+17,3.160998816539804e+99,1.922769177711905e+201
0.378,0.387,0.361,20189642904238.18,5.4374075445158994e+85,1.433089297286588e+180
0.347,0.312,0.316,471235568077065.9,5.8713478320760366e+94,1.7502951217690354e+195
0.367,0.371,0.334,642174386715846.8,3.556441723286357e+87,1.2990797260146631e+190
0.367,0.336,0.32,459289373852710.06,5.385891163163749e+92,6.251359725518387e+194
0.357,0.328,0.319,36665099821802.51,7.573596180976882e+91,2.9582197316080105e+193
0.367,0.33,0.325,158348886642102.03,5.7935630548897805e+93,1.691825257667234e+192
0.265,0.312,0.319,251786995627335.56,6.557145944813132e+93,1.5475374929050933e+193
0.306,0.338,0.33,2817362765888864.5,3.010052430744454e+91,8.188483523793266e+188
0.327,0.33,0.328,100205116076928.55,2.0836458426734697e+92,3.5128013439639204e+192
0.408,0.358,0.357,27586600690767.164,6.466356191169444e+89,1.65859854594681e+184
