p_01,p_05,p_10,ap_01,ap_05,ap_10
0.235,0.299,0.317,1.6553781639310031e+18,5.62726690047691e+96,2.436152733583316e+195
0.582,0.652,0.576,139493330.47,8.751812166635375e+46,3.032254059085374e+117
0.388,0.34,0.35,496253539909130.6,3.151188612907421e+92,1.6094122691664582e+187
0.337,0.342,0.334,311303222116867.8,1.1440919707765022e+91,1.4050982140748669e+190
0.408,0.322,0.35,83169044246852.56,5.8540697040884796e+94,1.1539537987585634e+187
0.5,0.473,0.455,55500152670.99,2.84818369994911e+72,2.833824105807121e+155
0.337,0.34,0.368,444779787893303.5,9.54121416679284e+91,1.804412611251716e+181
0.398,0.436,0.417,204211672677.459,7.758736586698985e+75,3.6589663974722604e+163
0.388,0.375,0.352,8233129550059.166,4.7408496681809737e+86,1.5956007114207485e+185
0.337,0.32,0.345,2052496545219479.5,1.601703102700631e+94,3.600741425915949e+186
0.296,0.308,0.341,2591851624864466.5,9.122358609005688e+96,3.3586340881862007e+189
0.276,0.305,0.333,6329431802212867.0,3.106749291045064e+96,1.1111090557379998e+191
0.306,0.354,0.357,2173305116753.135,2.3753073537481494e+86,2.479355015651691e+180
0.306,0.336,0.356,87267604927068.95,8.687213791607077e+92,1.6366481757963886e+184
0.347,0.312,0.321,2044600241665730.5,3.3402105529344996e+96,5.979588905769553e+194
0.316,0.332,0.34,2551691615089307.5,5.996637563965595e+92,9.933384436834173e+188
0.337,0.348,0.357,128162751271998.94,1.2706750456221292e+90,1.5390554703896518e+183
0.643,0.633,0.585,70970044.325,1.1557923386765533e+50,1.0289556860067705e+118
0.286,0.31,0.334,2147350972396890.0,2.6651590026357437e+96,1.7701009302762125e+191
0.337,0.316,0.333,1526875479464926.2,4.4078860625279375e+95,1.2199746826050269e+192
0.235,0.324,0.325,6.5709620782334056e+16,3.373978228682521e+93,1.8561003024779675e+192
0.459,0.424,0.426,600835118688.157,9.734291500782022e+78,7.708669642607461e+163
0.286,0.318,0.327,3.7593578416352664e+16,1.8838593098374636e+95,1.0313515098950635e+193
0.296,0.305,0.337,113188778873176.69,9.817899541043238e+95,1.2131838567236325e+189
0.337,0.344,0.342,570805125507998.5,1.1278447843654424e+91,1.8223609141820816e+188
0.398,0.348,0.342,82184666520069.12,1.0050692368803674e+88,2.9308764388663126e+187
0.357,0.328,0.343,1161334509900954.5,6.904448408284516e+91,3.204666262841617e+188
0.459,0.35,0.334,322972988897.882,2.0804355668797534e+90,4.212095552811562e+190
0.449,0.332,0.332,2634366916071.975,1.3686307815169546e+93,1.6810622104805191e+189
0.378,0.33,0.327,809368636363991.1,1.9193756834577462e+93,1.5940121336844434e+192
0.378,0.326,0.342,1165045700338104.8,7.502659514647933e+94,1.8016668819616077e+189
0.306,0.305,0.329,413427633851512.75,3.74341331818456e+95,2.6259196805898222e+191
0.265,0.32,0.326,6.559574402791133e+17,4.38251142335642e+93,1.0594281405168087e+192
0.347,0.31,0.345,2148203744297536.0,2.0044623689297217e+94,2.3572160309810933e+187
0.388,0.444,0.453,83601165076140.72,1.1720020154414552e+77,1.4643632290633478e+155
0.357,0.342,0.332,1370187535615562.8,4.681350318707552e+90,9.8749282140823e+191
0.347,0.326,0.326,587055606733.536,4.3643015803386294e+91,1.297173250559577e+191
0.327,0.322,0.331,119754050086215.22,3.2678849627382945e+93,1.394171348220602e+192
0.347,0.373,0.394,257629793710240.5,5.929364784314694e+86,1.8037185091699317e+172
0.347,0.344,0.34,8505115888637883.0,8.228360656154836e+90,4.572520859218533e+189
0.388,0.35,0.34,143178667227215.3,9.958115143366107e+89,3.217898198742448e+188
0.286,0.316,0.321,3.4352261079908624e+16,5.04105741217369e+94,3.062127604215861e+194
0.347,0.369,0.357,59288336981599.14,9.315872778475187e+86,5.352592311323716e+181
0.378,0.336,0.322,150372028292821.84,1.0031810167723286e+93,1.2490260545564145e+194
0.357,0.312,0.325,367417495059387.3,4.738189881336984e+93,5.014024286750518e+192
0.265,0.305,0.33,3.433173258609585e+17,7.152282463417602e+95,5.254374599760664e+192
0.357,0.352,0.349,1683459883170.354,6.1737804039143566e+85,1.0592730090220284e+182
0.306,0.324,0.335,20968588523303.445,4.366635852919939e+94,2.795711565724749e+188
0.367,0.365,0.379,62536214557211.0,4.5369979518289474e+88,2.1006571024666016e+178
0.296,0.295,0.306,7470182296451670.0,4.241036268347725e+97,9.732817996070061e+196
