p_01,p_05,p_10,ap_01,ap_05,ap_10
0.096,0.083,0.083,2.238193516885623e+59,inf,inf
0.112,0.113,0.104,3.292571197523985e+56,inf,inf
0.072,0.098,0.105,2.1147047957775135e+59,inf,inf
0.132,0.098,0.092,3.9920224809882245e+58,inf,inf
0.084,0.093,0.099,7.623385881128597e+57,inf,inf
0.108,0.113,0.111,2.6485487994318364e+58,inf,inf
0.084,0.093,0.094,9.521434119879064e+58,inf,inf
0.112,0.097,0.098,2.548209272665678e+60,inf,inf
0.108,0.101,0.093,2.4167388634864644e+55,inf,inf
0.124,0.106,0.099,1.770735298713286e+54,inf,inf
0.064,0.09,0.093,6.711866735310651e+43,inf,inf
0.128,0.124,0.105,2.3377870784336705e+59,inf,inf
0.092,0.105,0.104,5.412757637045932e+49,inf,inf
0.04,0.095,0.101,5.163481085822101e+43,inf,inf
0.112,0.091,0.096,2.205139441773048e+56,inf,inf
0.128,0.107,0.101,5.638496219299194e+52,inf,inf
0.088,0.093,0.094,1.4163653630877996e+55,inf,inf
0.088,0.11,0.097,1.6572597228486976e+55,inf,inf
0.084,0.101,0.098,2.922974182955994e+63,inf,inf
0.088,0.099,0.096,2.2609136678652866e+62,inf,inf
0.128,0.106,0.095,1.823705568668007e+57,inf,inf
0.088,0.082,0.093,9.071608070930842e+59,inf,inf
0.092,0.096,0.098,8.2287072939255e+51,inf,inf
0.108,0.105,0.099,1.7954867565999979e+61,inf,inf
0.084,0.102,0.109,1.4455682607347186e+52,inf,inf
0.116,0.101,0.1,6.751547940619653e+57,inf,inf
0.104,0.105,0.102,2.1583205391856206e+59,inf,inf
0.08,0.097,0.093,2.174587386348683e+62,inf,inf
0.072,0.097,0.097,1.243713736517317e+50,inf,inf
0.08,0.106,0.103,6.804236759040589e+59,inf,inf
0.088,0.103,0.094,2.798484302024407e+61,inf,inf
0.136,0.104,0.108,4.23157055388663e+56,inf,inf
0.112,0.096,0.102,3.622595636605816e+54,inf,inf
0.068,0.088,0.093,3.1013340954315424e+56,inf,inf
0.1,0.114,0.104,3.5854631865037907e+55,inf,inf
0.12,0.105,0.104,1.4533082467321777e+55,inf,inf
0.12,0.109,0.103,1.0114900694997611e+58,inf,inf
0.096,0.094,0.095,2.647320352405566e+58,inf,inf
0.1,0.097,0.099,2.299628308183521e+62,inf,inf
0.092,0.114,0.107,2.7257676356279654e+58,inf,inf
0.104,0.109,0.103,5.635435552151956e+52,inf,inf
0.092,0.097,0.102,2.1469354988921375e+51,inf,inf
0.132,0.097,0.1,3.4699819639128943e+58,inf,inf
0.088,0.093,0.095,2.947922172199078e+49,inf,inf
0.104,0.113,0.109,2.107604830683979e+56,inf,inf
0.12,0.103,0.098,1.1822485135183974e+60,inf,inf
0.124,0.113,0.105,8.70348079238672e+47,inf,inf
0.088,0.099,0.099,1.7195032828314932e+60,inf,inf
0.116,0.099,0.101,4.23064491173522e+59,inf,inf
0.088,0.087,0.091,1.736657162423202e+57,inf,inf
0.096,0.1,0.097,3.2327348956475307e+59,inf,inf
0.08,0.103,0.1,1.2980636147219792e+58,inf,inf
0.1,0.093,0.095,7.027668224377966e+54,inf,inf
0.136,0.11,0.109,6.008300278337743e+58,inf,inf
0.112,0.104,0.107,9.606483497433246e+59,inf,inf
0.124,0.109,0.101,9.162419539345376e+57,inf,inf
0.112,0.095,0.099,1.3627469365081023e+58,inf,inf
0.128,0.11,0.106,1.0714368976043613e+60,inf,inf
0.096,0.093,0.102,1.6917695164787763e+60,inf,inf
0.104,0.082,0.09,1.0890034876302298e+59,inf,inf
0.08,0.106,0.1,8.927619156350952e+54,inf,inf
0.076,0.083,0.087,2.0419887517868935e+44,inf,inf
0.116,0.104,0.095,6.3551373052813905e+59,inf,inf
0.104,0.109,0.107,6.450966147062082e+56,inf,inf
0.104,0.093,0.1,5.519889252080944e+56,inf,inf
0.084,0.089,0.105,6.2559117621549146e+53,inf,inf
0.104,0.097,0.1,8.528509596887749e+59,inf,inf
0.12,0.12,0.105,1.2910298329852804e+54,inf,inf
0.092,0.105,0.107,2.9046183595472977e+61,inf,inf
0.08,0.109,0.108,1.9392096050709495e+60,inf,inf
0.1,0.103,0.097,7.542651864250347e+50,inf,inf
0.116,0.094,0.098,4.245410567627489e+59,inf,inf
0.136,0.116,0.111,1.4880439126095075e+54,inf,inf
0.128,0.101,0.107,5.427340967867898e+58,inf,inf
0.096,0.102,0.107,1.0461837502376112e+53,inf,inf
0.076,0.089,0.093,2.0734764797015714e+56,inf,inf
0.092,0.096,0.099,6.775910621856337e+60,inf,inf
0.096,0.1,0.099,3.5278766771644416e+61,inf,inf
0.084,0.089,0.091,9.807814277897406e+59,inf,inf
0.112,0.108,0.106,3.6977334198283315e+60,inf,inf
0.112,0.097,0.095,2.7642491329780503e+56,inf,inf
0.092,0.104,0.103,6.988351596600434e+60,inf,inf
0.116,0.098,0.105,3.671792566838072e+54,inf,inf
0.092,0.103,0.098,2.7683225677043216e+62,inf,inf
0.124,0.1,0.103,1.3560773347227412e+56,inf,inf
0.112,0.093,0.101,7.19371330722308e+60,inf,inf
0.096,0.095,0.099,2.970388651213452e+52,inf,inf
0.092,0.087,0.098,1.0260748198708542e+54,inf,inf
0.072,0.087,0.091,8.69675829894983e+62,inf,inf
