p_01,p_05,p_10,ap_01,ap_05,ap_10
0.12,0.097,0.103,4.8233803880439055e+59,inf,inf
0.14,0.102,0.104,3.534393275435228e+57,inf,inf
0.12,0.104,0.096,2.0950440950748896e+56,inf,inf
0.092,0.101,0.092,3.9897551167338795e+57,inf,inf
0.096,0.093,0.097,4.734245504359842e+53,inf,inf
0.08,0.104,0.102,4.330916417966955e+62,inf,inf
0.092,0.1,0.095,3.1330285459043766e+61,inf,inf
0.076,0.094,0.103,2.1506671708977566e+57,inf,inf
0.096,0.11,0.105,3.005537325816434e+58,inf,inf
0.072,0.085,0.097,1.1405459716471004e+59,inf,inf
0.088,0.1,0.105,2.332873092194713e+53,inf,inf
0.096,0.094,0.087,2.3099291621929156e+56,inf,inf
0.064,0.09,0.088,2.3059225324595012e+57,inf,inf
0.136,0.105,0.1,9.346824057691958e+56,inf,inf
0.084,0.099,0.09,1.7828760401732872e+54,inf,inf
0.088,0.105,0.109,4.565870535106284e+59,inf,inf
0.12,0.099,0.091,1.5889294259664936e+58,inf,inf
0.068,0.095,0.095,4.050632130833183e+57,inf,inf
0.12,0.114,0.103,1.614898382013592e+51,inf,inf
0.116,0.101,0.101,1.652417893017424e+59,inf,inf
0.076,0.089,0.094,2.656289068829361e+55,inf,inf
0.092,0.09,0.092,1.3090758442708318e+61,inf,inf
0.124,0.097,0.1,4.9918520051662916e+57,inf,inf
0.104,0.12,0.108,2.7311546637509787e+58,inf,inf
0.104,0.103,0.107,7.418116656542979e+59,inf,inf
0.096,0.083,0.085,3.03847402899636e+61,inf,inf
0.072,0.1,0.097,7.071699776969386e+63,inf,inf
0.112,0.114,0.107,7.284176258152762e+55,inf,inf
0.092,0.084,0.087,8.67976771625553e+44,inf,inf
0.056,0.097,0.101,2.899567554071221e+58,inf,inf
0.092,0.077,0.097,2.1244069945813723e+58,inf,inf
0.1,0.105,0.105,5.2791319767716726e+57,inf,inf
0.088,0.103,0.097,7.124189608848595e+57,inf,inf
0.1,0.093,0.097,5.504834924447647e+61,inf,inf
0.104,0.105,0.105,3.512541180883425e+57,inf,inf
0.08,0.074,0.095,4.2946535477099665e+53,inf,inf
0.064,0.099,0.1,2.3178888650503745e+62,inf,inf
0.1,0.105,0.105,4.249477377817802e+58,inf,inf
0.088,0.097,0.099,5.266300995618723e+58,inf,inf
0.08,0.093,0.093,7.58316740953217e+57,inf,inf
0.08,0.095,0.097,1.7145631352706727e+57,inf,inf
0.124,0.124,0.115,3.009151230732692e+55,inf,inf
0.08,0.097,0.099,2.4766498170336002e+62,inf,inf
0.096,0.097,0.089,1.5395630812020756e+60,inf,inf
0.088,0.089,0.092,6.163887721598256e+55,inf,inf
0.132,0.115,0.108,4.864705884117041e+59,inf,inf
0.068,0.081,0.092,1.1185846970545133e+62,inf,inf
0.104,0.089,0.089,3.3479148035011186e+54,inf,inf
0.108,0.107,0.104,8.139611332665137e+55,inf,inf
0.092,0.105,0.097,1.7713447492688524e+60,inf,inf
0.116,0.089,0.096,9.27001969210719e+47,inf,inf
0.14,0.095,0.092,3.2615026009506775e+57,inf,inf
0.06,0.093,0.094,3.005658124185785e+46,inf,inf
0.092,0.084,0.095,1.8564621424098398e+58,inf,inf
0.112,0.111,0.11,7.354377957601871e+55,inf,inf
0.096,0.095,0.097,4.042145053956866e+49,inf,inf
0.068,0.089,0.094,2.897710118075802e+58,inf,inf
0.1,0.089,0.093,6.788496232412325e+59,inf,inf
0.104,0.106,0.106,8.606257713728842e+59,inf,inf
0.072,0.093,0.097,1.3589333444402097e+61,inf,inf
0.076,0.106,0.096,7.123999818966892e+54,inf,inf
0.1,0.077,0.084,4.475010117702152e+48,inf,inf
0.108,0.105,0.106,1.6269625866306992e+59,inf,inf
0.08,0.097,0.096,1.7666973997069623e+62,inf,inf
0.056,0.089,0.103,3.126997851948425e+46,inf,inf
0.076,0.105,0.101,4.385820373479429e+53,inf,inf
0.116,0.104,0.102,9.717427936660063e+55,inf,inf
0.096,0.105,0.097,4.6047139826614395e+59,inf,inf
0.112,0.103,0.104,6.918289663816256e+60,inf,inf
0.108,0.103,0.103,8.598091823596485e+59,inf,inf
0.088,0.097,0.105,2.836737918331034e+58,inf,inf
0.14,0.096,0.092,1.3566225217093013e+58,inf,inf
0.072,0.085,0.094,4.167497910433626e+53,inf,inf
0.072,0.087,0.093,1.1663263064325578e+56,inf,inf
0.08,0.093,0.101,2.6087680698791466e+56,inf,inf
0.116,0.099,0.095,6.583756983060023e+58,inf,inf
0.132,0.091,0.097,9.139923545532133e+56,inf,inf
0.084,0.099,0.097,2.6239779818999513e+63,inf,inf
0.096,0.097,0.104,1.1028565294845694e+62,inf,inf
0.116,0.102,0.105,1.2604442866052348e+58,inf,inf
0.1,0.097,0.1,7.061692493168691e+60,inf,inf
0.112,0.101,0.105,5.559288838152516e+59,inf,inf
0.128,0.087,0.096,8.52017287655676e+60,inf,inf
0.096,0.107,0.102,1.0462120027178289e+58,inf,inf
0.096,0.099,0.09,1.1145088022736925e+59,inf,inf
0.092,0.085,0.093,5.76543770154711e+58,inf,inf
0.084,0.093,0.084,9.887385249877922e+59,inf,inf
0.136,0.093,0.1,1.3910781134785357e+59,inf,inf
0.128,0.103,0.095,1.348209000884666e+55,inf,inf
0.1,0.113,0.099,3.8847788824396623e+55,inf,inf
0.088,0.089,0.098,5.085573427339327e+58,inf,inf
0.088,0.093,0.092,4.437277795939138e+62,inf,inf
0.092,0.097,0.098,4.4636091840758856e+58,inf,inf
0.096,0.093,0.095,6.663721483034781e+57,inf,inf
0.088,0.107,0.104,5.233019271722447e+60,inf,inf
0.128,0.101,0.093,3.211957583973343e+56,inf,inf
0.112,0.1,0.099,2.1774212206561012e+56,inf,inf
0.108,0.109,0.101,1.1789621234862855e+53,inf,inf
0.116,0.093,0.098,1.1013717252319687e+54,inf,inf
0.104,0.11,0.102,7.064192925825571e+52,inf,inf
