p_01,p_05,p_10,ap_01,ap_05,ap_10
0.104,0.101,0.097,4.518449880660806e+56,inf,inf
0.104,0.088,0.086,1.2688572506921824e+61,inf,inf
0.132,0.098,0.092,1.4189325464850064e+59,inf,inf
0.064,0.084,0.092,4.4259885359892475e+65,inf,inf
0.096,0.087,0.093,3.7606445546487084e+57,inf,inf
0.076,0.091,0.092,3.384795954871788e+60,inf,inf
0.088,0.089,0.094,2.1670709696560055e+61,inf,inf
0.12,0.101,0.103,9.939456923492432e+57,inf,inf
0.112,0.099,0.098,6.852796219631391e+58,inf,inf
0.084,0.093,0.098,2.167035240057136e+56,inf,inf
0.08,0.108,0.099,1.332392354935492e+58,inf,inf
0.096,0.095,0.098,2.1465832853000337e+51,inf,inf
0.1,0.089,0.095,2.5126816085209472e+48,inf,inf
0.12,0.115,0.101,1.6029942653916788e+59,inf,inf
0.108,0.107,0.093,3.0643555472239895e+58,inf,inf
0.092,0.082,0.092,1.9732350023655407e+60,inf,inf
0.084,0.109,0.108,2.471085886652274e+60,inf,inf
0.056,0.101,0.099,6.715791641914296e+57,inf,inf
0.092,0.088,0.091,8.263629106674298e+62,inf,inf
0.072,0.097,0.098,1.1629604852736804e+43,inf,inf
0.112,0.106,0.094,7.047971668769987e+61,inf,inf
0.076,0.093,0.09,8.627182933992645e+62,inf,inf
0.088,0.101,0.098,2.6867026917839534e+58,inf,inf
0.112,0.101,0.104,1.6362180678809845e+56,inf,inf
0.064,0.097,0.094,2.948584066943514e+64,inf,inf
0.096,0.093,0.101,2.7585638238554e+58,inf,inf
0.104,0.1,0.101,4.3911350621477444e+61,inf,inf
0.08,0.101,0.096,1.5602846036235248e+61,inf,inf
0.088,0.102,0.103,6.260992429942722e+55,inf,inf
0.108,0.098,0.102,7.02159626453874e+57,inf,inf
0.104,0.112,0.101,8.2896487198465e+61,inf,inf
0.076,0.091,0.093,4.1960120577104245e+51,inf,inf
0.104,0.099,0.1,4.447505100014795e+57,inf,inf
0.112,0.097,0.096,1.3943915821304e+58,inf,inf
0.124,0.101,0.097,4.0804166667471083e+58,inf,inf
0.072,0.095,0.103,7.935790894694789e+63,inf,inf
0.12,0.089,0.089,2.1862200417543834e+54,inf,inf
0.088,0.097,0.093,5.490820669150351e+61,inf,inf
0.124,0.096,0.099,9.995609270991703e+50,inf,inf
0.06,0.088,0.087,1.078402471797846e+63,inf,inf
0.096,0.104,0.105,1.2939515093090889e+57,inf,inf
0.092,0.106,0.111,1.9411225378267627e+54,inf,inf
0.08,0.113,0.111,2.0472206783492004e+54,inf,inf
0.092,0.088,0.086,1.7552091066847095e+60,inf,inf
0.104,0.079,0.085,1.3656524155848983e+58,inf,inf
0.112,0.095,0.095,2.3033317965423942e+56,inf,inf
0.08,0.089,0.09,6.827825048560387e+57,inf,inf
0.084,0.093,0.091,2.5984697021733804e+56,inf,inf
0.084,0.097,0.095,1.5551314827074797e+58,inf,inf
0.12,0.101,0.089,4.376815168334635e+56,inf,inf
0.088,0.097,0.095,8.597487269900852e+60,inf,inf
0.116,0.097,0.089,6.33392179754224e+52,inf,inf
0.084,0.106,0.101,1.7269821844778313e+60,inf,inf
0.084,0.089,0.099,2.788320882709326e+61,inf,inf
0.112,0.091,0.098,2.270637422982681e+60,inf,inf
0.096,0.099,0.095,1.8045057686514836e+61,inf,inf
0.108,0.095,0.103,6.001542044931518e+59,inf,inf
0.08,0.097,0.104,1.6459277957565778e+49,inf,inf
0.072,0.085,0.083,3.517394773103412e+54,inf,inf
0.112,0.11,0.093,6.863685033866121e+60,inf,inf
0.084,0.104,0.095,1.1316865750482421e+57,inf,inf
0.116,0.112,0.109,2.696546440378834e+58,inf,inf
0.108,0.104,0.097,2.4005395465254726e+56,inf,inf
0.096,0.084,0.091,6.740034961972655e+60,inf,inf
0.088,0.096,0.094,2.2152015505748307e+56,inf,inf
0.068,0.09,0.096,2.591845481121751e+55,inf,inf
0.1,0.091,0.099,6.627006758350901e+58,inf,inf
0.072,0.085,0.095,2.09333112111823e+39,inf,inf
