p_01,p_05,p_10,ap_01,ap_05,ap_10
0.108,0.091,0.095,2.917858980698538e+55,inf,inf
0.14,0.107,0.105,9.50763353648751e+56,inf,inf
0.104,0.092,0.093,1.2705648948321414e+57,inf,inf
0.104,0.093,0.099,2.228145391436608e+60,inf,inf
0.1,0.093,0.092,3.371034989480224e+60,inf,inf
0.096,0.109,0.099,1.0574845989806586e+59,inf,inf
0.084,0.097,0.095,1.0745372620237259e+55,inf,inf
0.076,0.092,0.095,3.596991368456756e+61,inf,inf
0.084,0.087,0.095,8.141404600605513e+61,inf,inf
0.076,0.095,0.09,1.7254365940296924e+63,inf,inf
0.108,0.108,0.11,5.321257802517187e+58,inf,inf
0.1,0.093,0.102,1.2688293600560496e+60,inf,inf
0.112,0.105,0.105,1.9398224782795002e+60,inf,inf
0.12,0.088,0.091,4.3566335554293976e+57,inf,inf
0.108,0.098,0.098,7.286670067784332e+57,inf,inf
0.056,0.093,0.095,1.1042794206291234e+65,inf,inf
0.092,0.1,0.098,1.3226271815787968e+56,inf,inf
0.104,0.111,0.1,2.1493129566286234e+53,inf,inf
0.1,0.121,0.105,1.3217362824148722e+58,inf,inf
0.108,0.091,0.091,3.432262545381122e+61,inf,inf
0.092,0.096,0.091,1.3928080554539013e+51,inf,inf
0.092,0.106,0.103,4.6001572880541055e+56,inf,inf
0.104,0.089,0.089,1.4497196893044702e+58,inf,inf
0.1,0.098,0.101,4.69985072157317e+56,inf,inf
0.124,0.093,0.099,1.3550495648802402e+58,inf,inf
0.104,0.098,0.098,1.3592502325012042e+61,inf,inf
0.124,0.103,0.097,3.107200088070639e+56,inf,inf
0.112,0.093,0.096,5.14394691732476e+55,inf,inf
0.072,0.085,0.089,1.495107591904048e+58,inf,inf
0.108,0.102,0.103,1.1439550003774596e+57,inf,inf
0.104,0.097,0.097,8.30077260872107e+56,inf,inf
0.08,0.09,0.087,4.916862836846334e+53,inf,inf
0.096,0.096,0.1,1.7619188844900915e+60,inf,inf
0.108,0.105,0.101,2.946195978013707e+55,inf,inf
0.064,0.092,0.091,9.90343563542696e+62,inf,inf
0.124,0.101,0.097,6.372925914409069e+55,inf,inf
0.1,0.106,0.104,2.9098934828075066e+59,inf,inf
0.088,0.105,0.1,1.863588072084006e+42,inf,inf
0.08,0.101,0.099,2.7343005098611473e+59,inf,inf
0.12,0.114,0.102,1.0569955257976122e+58,inf,inf
0.116,0.101,0.099,1.090198536693848e+59,inf,inf
0.116,0.104,0.108,1.642205939211452e+56,inf,inf
0.092,0.105,0.109,1.3216940570903413e+58,inf,inf
0.12,0.092,0.098,4.31892337319506e+60,inf,inf
0.072,0.104,0.108,3.438080933710244e+54,inf,inf
0.1,0.117,0.105,3.769375947800379e+54,inf,inf
0.108,0.098,0.102,5.545930167471906e+55,inf,inf
0.088,0.105,0.101,1.6636177579938485e+54,inf,inf
0.096,0.093,0.099,1.1314900780467206e+57,inf,inf
0.116,0.097,0.1,2.440918165443254e+44,inf,inf
0.096,0.099,0.095,3.0411069051714447e+55,inf,inf
0.124,0.107,0.106,3.4797629043689636e+55,inf,inf
0.072,0.097,0.105,8.812744376368527e+59,inf,inf
0.08,0.078,0.092,2.70866990895779e+62,inf,inf
0.132,0.102,0.104,2.123270846647679e+59,inf,inf
0.108,0.097,0.092,2.0078750864337198e+57,inf,inf
0.104,0.102,0.098,3.397233234878041e+58,inf,inf
0.132,0.113,0.1,2.2911436242750642e+57,inf,inf
0.1,0.103,0.095,5.678934404431681e+50,inf,inf
0.076,0.102,0.104,3.425170312312557e+60,inf,inf
0.08,0.103,0.102,2.6044736945997855e+57,inf,inf
