p_01,p_05,p_10,ap_01,ap_05,ap_10
0.079,0.072,0.075,1.8724933546750225e+60,inf,inf
0.07,0.096,0.095,1.2357854889432298e+38,inf,inf
0.103,0.1,0.094,2.9304839611560466e+41,inf,inf
0.12,0.092,0.088,3.1972909599019096e+52,1.7095594491694275e+304,inf
0.083,0.08,0.079,2.271546080130913e+56,inf,inf
0.103,0.096,0.085,4.4260421304799944e+45,inf,inf
0.083,0.077,0.081,8.744670467069776e+50,inf,inf
0.095,0.084,0.088,3.003528840232462e+58,inf,inf
0.107,0.097,0.093,9.168587278930684e+56,inf,inf
0.07,0.077,0.079,4.2975872925869456e+58,inf,inf
0.12,0.088,0.085,2.8100973951414335e+58,inf,inf
0.062,0.068,0.077,9.402498773836785e+59,inf,inf
0.062,0.073,0.079,2.0767606604980608e+49,inf,inf
0.091,0.084,0.091,1.826340716854642e+60,inf,inf
0.079,0.082,0.09,4.88183854160682e+59,inf,inf
0.124,0.092,0.092,4.807317118158781e+56,inf,inf
0.091,0.082,0.083,1.866323588165996e+48,inf,inf
0.079,0.09,0.097,5.5006606611554464e+60,inf,inf
0.112,0.097,0.089,2.7443998649293355e+58,inf,inf
0.066,0.077,0.077,7.878530412839687e+54,inf,inf
0.095,0.081,0.077,7.131938330090407e+49,inf,inf
0.103,0.082,0.084,6.877704900872412e+59,inf,inf
0.05,0.065,0.077,1.3626787532595257e+52,inf,inf
0.12,0.089,0.089,5.603578207647752e+56,inf,inf
0.074,0.081,0.081,7.202957524041307e+54,inf,inf
0.083,0.081,0.088,6.864833502195769e+51,inf,inf
0.107,0.099,0.091,3.048137026618567e+56,inf,inf
0.074,0.092,0.095,6.356832961677041e+46,inf,inf
0.112,0.092,0.091,1.1124229673606099e+58,inf,inf
0.045,0.078,0.08,1.403595071599364e+52,inf,inf
0.116,0.096,0.094,8.006274182869808e+50,inf,inf
0.087,0.086,0.091,1.1767584448464799e+59,inf,inf
0.087,0.092,0.092,2.368813335845343e+53,inf,inf
0.079,0.08,0.094,3.311140686952738e+55,inf,inf
0.07,0.087,0.084,1.4127292610507902e+58,inf,inf
0.095,0.074,0.081,1.299586440859797e+55,inf,inf
0.07,0.083,0.092,6.471937262261974e+58,inf,inf
0.079,0.088,0.086,8.072654475556895e+57,inf,inf
0.033,0.08,0.076,3.211321070276955e+55,inf,inf
0.066,0.075,0.083,9.213219760066542e+59,inf,inf
0.083,0.076,0.081,1.5214823301381033e+55,inf,inf
0.087,0.08,0.08,6.270684878403127e+52,inf,inf
0.066,0.085,0.078,1.4536186077199113e+61,inf,inf
0.074,0.088,0.099,1.2266228743505495e+53,inf,inf
0.066,0.097,0.084,1.1852234983593584e+56,inf,inf
0.112,0.101,0.091,9.156256504079674e+46,inf,inf
0.083,0.092,0.09,3.8229568555227175e+59,inf,inf
0.074,0.092,0.088,1.2099727968993572e+55,inf,inf
0.095,0.082,0.085,7.331021125469048e+57,inf,inf
0.066,0.083,0.083,3.462533620918042e+55,inf,inf
0.112,0.089,0.09,2.782728723541524e+57,inf,inf
0.058,0.084,0.087,7.890056824549364e+57,inf,inf
0.066,0.085,0.094,1.9600651761435277e+48,inf,inf
0.091,0.084,0.074,5.656611683816047e+55,inf,inf
0.058,0.08,0.081,4.641867306675872e+62,inf,inf
0.087,0.085,0.076,1.5187835931707579e+53,inf,inf
0.083,0.092,0.094,3.534379101345301e+54,inf,inf
0.074,0.086,0.087,5.696224914054614e+58,inf,inf
0.045,0.076,0.083,1.8477493596002417e+57,inf,inf
0.079,0.07,0.076,2.9316286801488676e+58,inf,inf
0.095,0.091,0.092,1.6771147507836594e+58,inf,inf
0.054,0.072,0.084,1.178774547113176e+59,inf,inf
0.103,0.088,0.089,4.8007805502708294e+54,inf,inf
0.074,0.079,0.086,4.484347967655364e+49,inf,inf
0.095,0.094,0.09,7.316727830737802e+54,inf,inf
