p_01,p_05,p_10,ap_01,ap_05,ap_10
0.079,0.097,0.085,1.5635864919646588e+53,inf,inf
0.07,0.087,0.083,2.1437420581290197e+53,inf,inf
0.095,0.088,0.085,3.56838086328979e+58,inf,inf
0.05,0.075,0.086,3.388832739090582e+36,2.7695429216945017e+302,inf
0.074,0.073,0.075,5.802420095751876e+61,inf,inf
0.087,0.09,0.085,1.2792154261094245e+60,inf,inf
0.066,0.088,0.079,1.978570415571759e+60,inf,inf
0.124,0.089,0.085,2.7555791153069236e+56,inf,inf
0.12,0.089,0.085,1.5784653604257872e+52,inf,inf
0.074,0.088,0.088,2.3165393222856036e+59,inf,inf
0.087,0.079,0.081,4.97541959761821e+55,inf,inf
0.099,0.09,0.089,5.761571284074894e+59,inf,inf
0.116,0.095,0.091,1.426346792429754e+54,inf,inf
0.074,0.083,0.08,1.65465961428154e+61,inf,inf
0.087,0.091,0.09,1.4285420268535736e+58,inf,inf
0.062,0.07,0.08,1.585922181121283e+49,inf,inf
0.087,0.087,0.089,5.89714457157581e+59,inf,inf
0.074,0.09,0.088,9.161400537857129e+56,inf,inf
0.07,0.089,0.085,3.300652150003326e+55,inf,inf
0.12,0.089,0.086,9.481592419101178e+49,inf,inf
0.07,0.09,0.087,1.7571402927304384e+57,inf,inf
0.124,0.102,0.093,9.428943885197328e+56,inf,inf
0.062,0.074,0.077,9.101405411336959e+59,inf,inf
0.099,0.084,0.085,7.97664008616919e+54,inf,inf
0.07,0.081,0.083,1.7209746584343007e+52,inf,inf
0.058,0.088,0.089,7.589356475935887e+57,inf,inf
0.095,0.076,0.082,5.370399088223576e+51,inf,inf
0.045,0.069,0.085,1.4441850863688035e+56,inf,inf
0.083,0.088,0.088,9.006270389016012e+57,inf,inf
0.062,0.092,0.083,2.940097770124687e+61,inf,inf
0.058,0.081,0.081,1.2088214878999731e+54,inf,inf
0.099,0.097,0.094,1.330346429983898e+53,inf,inf
0.041,0.072,0.071,1.947082136781718e+60,inf,inf
0.079,0.091,0.089,1.4865385924596499e+52,inf,inf
0.054,0.101,0.098,3.0707443815890576e+43,inf,inf
0.058,0.078,0.087,1.6000309899273683e+61,inf,inf
0.054,0.084,0.083,1.1973684987370465e+53,inf,inf
0.05,0.085,0.084,5.091558800150007e+50,inf,inf
0.107,0.093,0.088,3.611801511532862e+51,inf,inf
0.116,0.094,0.09,4.633353307498696e+56,inf,inf
0.058,0.083,0.087,6.175565221012685e+58,inf,inf
0.099,0.086,0.086,7.46980280520452e+45,inf,inf
0.087,0.091,0.09,3.7409737973449494e+60,inf,inf
0.074,0.089,0.087,7.474695062558394e+60,inf,inf
0.091,0.093,0.094,9.30159269174713e+50,inf,inf
0.074,0.09,0.093,1.7655626727874666e+57,inf,inf
0.087,0.088,0.086,4.589487942838501e+59,inf,inf
0.079,0.078,0.081,2.2331551583455401e+49,inf,inf
0.099,0.081,0.082,9.105288749598194e+59,inf,inf
0.062,0.087,0.088,2.9883085055628964e+53,inf,inf
0.095,0.083,0.08,3.2184432770683933e+56,inf,inf
0.091,0.081,0.088,6.80408055595553e+51,inf,inf
0.079,0.092,0.091,4.760418795409408e+54,inf,inf
0.091,0.086,0.085,3.808611019325049e+51,inf,inf
0.079,0.085,0.086,2.255570865269167e+50,inf,inf
0.079,0.083,0.082,1.1541526022591976e+62,inf,inf
0.083,0.083,0.081,7.668791218018492e+54,inf,inf
0.103,0.09,0.089,8.95483992631142e+56,inf,inf
0.058,0.076,0.077,2.3281768644309873e+49,inf,inf
0.083,0.079,0.084,3.723259997057023e+57,inf,inf
0.099,0.082,0.081,2.462878310317664e+50,inf,inf
0.095,0.096,0.086,1.808130508547435e+57,inf,inf
0.066,0.078,0.089,2.6052460346529098e+51,inf,inf
0.087,0.083,0.076,8.686558318996066e+53,inf,inf
0.083,0.091,0.085,2.5976249582091246e+45,inf,inf
0.112,0.094,0.085,3.634302022260845e+57,inf,inf
0.058,0.078,0.082,1.0023397844733112e+57,inf,inf
0.095,0.089,0.088,3.0722397501904806e+56,inf,inf
0.099,0.092,0.09,1.102774121745603e+50,inf,inf
0.074,0.083,0.082,1.1330485726860934e+56,inf,inf
0.079,0.081,0.078,4.629554192303939e+59,inf,inf
0.107,0.095,0.088,4.892023764511958e+53,inf,inf
0.087,0.096,0.088,6.771513321126507e+56,inf,inf
0.037,0.076,0.082,2.253566074431988e+38,1.8936105335783183e+304,inf
0.074,0.087,0.079,6.587869367486772e+35,5.277608464296375e+301,inf
0.079,0.088,0.084,3.955338371278662e+50,inf,inf
0.037,0.083,0.085,2.912388677603544e+55,inf,inf
0.107,0.097,0.091,2.495711124223486e+49,inf,inf
0.087,0.089,0.088,5.419539448127474e+54,inf,inf
0.083,0.084,0.089,1.803029951650063e+51,inf,inf
0.074,0.081,0.086,7.430857375446454e+60,inf,inf
0.054,0.079,0.085,8.170882852159584e+54,inf,inf
0.033,0.072,0.083,1.5383724930658356e+58,inf,inf
0.074,0.083,0.087,1.0181435468144942e+60,inf,inf
0.112,0.089,0.084,1.8770215295602253e+56,inf,inf
0.107,0.087,0.08,1.8857863570060238e+54,inf,inf
0.112,0.097,0.093,2.8172599099356625e+56,inf,inf
0.112,0.093,0.084,3.5520486333913156e+58,inf,inf
0.07,0.083,0.088,5.775524684609075e+58,inf,inf
0.091,0.082,0.081,1.401022740323511e+48,inf,inf
0.083,0.096,0.093,3.645298168314709e+60,inf,inf
0.099,0.084,0.088,9.21661250789008e+53,inf,inf
0.124,0.098,0.092,1.621307048051453e+55,inf,inf
0.112,0.085,0.087,8.78055170083884e+51,inf,inf
0.079,0.097,0.093,4.43098050617022e+53,inf,inf
0.05,0.071,0.08,2.999526979669436e+61,inf,inf
0.083,0.082,0.086,3.685424282749886e+51,inf,inf
0.091,0.102,0.09,2.3645602472768336e+57,inf,inf
0.074,0.083,0.082,1.8161616887074164e+57,inf,inf
0.066,0.092,0.092,1.1743159092648685e+62,inf,inf
