p_01,p_05,p_10,ap_01,ap_05,ap_10
0.095,0.074,0.073,3.083773481052902e+58,inf,inf
0.103,0.099,0.093,1.2022163414710018e+59,inf,inf
0.037,0.09,0.09,4.7022024811451865e+56,inf,inf
0.045,0.068,0.077,1.7300503976868547e+48,inf,inf
0.099,0.099,0.093,2.71063129761528e+57,inf,inf
0.12,0.096,0.089,4.4268498032995154e+57,inf,inf
0.074,0.086,0.09,1.3424701251886363e+59,inf,inf
0.087,0.106,0.097,2.4131018752595193e+59,inf,inf
0.107,0.083,0.082,1.5337334248925633e+55,inf,inf
0.062,0.08,0.076,1.9082754357637083e+57,inf,inf
0.074,0.076,0.081,4.728534889755471e+59,inf,inf
0.083,0.083,0.085,1.9722925576516842e+57,inf,inf
0.087,0.092,0.084,3.888710934736032e+57,inf,inf
0.107,0.092,0.089,2.290401096081248e+56,inf,inf
0.112,0.088,0.083,9.003735964010199e+56,inf,inf
0.116,0.08,0.076,1.4056203350028577e+59,inf,inf
0.066,0.08,0.083,9.642061911053884e+56,inf,inf
0.087,0.093,0.086,3.135977414560021e+55,inf,inf
0.083,0.087,0.082,1.646034417299816e+60,inf,inf
0.095,0.095,0.095,5.97759072366908e+58,inf,inf
0.091,0.077,0.079,9.109041474507031e+59,inf,inf
0.083,0.089,0.092,4.2882322133906126e+55,inf,inf
0.099,0.075,0.076,1.1880064663393867e+56,inf,inf
0.107,0.075,0.081,7.363062266157846e+50,inf,inf
0.029,0.052,0.075,4.609902107906095e+59,inf,inf
0.116,0.086,0.081,3.5125182588188134e+57,inf,inf
0.112,0.086,0.086,5.5303358968668244e+51,inf,inf
0.079,0.09,0.085,1.444146194180566e+41,inf,inf
0.091,0.102,0.097,6.786588202320671e+53,inf,inf
0.091,0.097,0.091,1.3407597907926822e+49,inf,inf
0.083,0.092,0.085,2.14931140811413e+58,inf,inf
0.099,0.085,0.085,1.6354569684946615e+58,inf,inf
0.091,0.082,0.084,1.1036654486600048e+53,inf,inf
0.095,0.088,0.091,1.1759697997606383e+49,inf,inf
0.103,0.096,0.085,1.4426070505422725e+58,inf,inf
0.074,0.093,0.091,1.7473863115149912e+51,inf,inf
0.112,0.092,0.085,3.701075925638039e+57,inf,inf
0.099,0.092,0.088,7.61966033217826e+57,inf,inf
0.103,0.089,0.083,3.749564064452917e+57,inf,inf
0.091,0.092,0.089,4.651759675824922e+50,inf,inf
0.087,0.087,0.082,2.560568361528241e+59,inf,inf
0.103,0.093,0.086,5.014781455352045e+56,inf,inf
0.112,0.094,0.095,5.44701731107674e+56,inf,inf
0.07,0.091,0.089,2.6711291652136077e+47,inf,inf
0.095,0.089,0.088,3.7213357361145014e+54,inf,inf
0.037,0.064,0.071,4.750888955778287e+59,inf,inf
0.066,0.086,0.088,9.89800132569192e+50,inf,inf
0.103,0.085,0.087,4.915835558824409e+40,inf,inf
0.074,0.094,0.087,7.327639914746309e+57,inf,inf
0.074,0.073,0.082,5.739444677754253e+58,inf,inf
0.091,0.091,0.09,3.5180094192926446e+48,inf,inf
0.099,0.096,0.09,4.62201566348538e+59,inf,inf
0.087,0.085,0.084,1.248007292227432e+53,inf,inf
0.079,0.073,0.089,2.6774930249805187e+47,inf,inf
0.058,0.081,0.081,7.582596495617399e+59,inf,inf
0.083,0.094,0.089,2.245053278542407e+51,inf,inf
0.091,0.083,0.085,2.0613158373845925e+52,inf,inf
0.05,0.055,0.069,6.092013829003083e+55,inf,inf
0.099,0.086,0.085,1.1229446134411668e+53,inf,inf
0.103,0.096,0.092,5.58769199486494e+52,inf,inf
0.087,0.08,0.081,7.381202069161004e+57,inf,inf
0.112,0.094,0.09,8.705461422766681e+54,inf,inf
0.079,0.088,0.084,4.764243920583492e+53,inf,inf
0.095,0.083,0.084,1.3913889118048415e+54,inf,inf
0.099,0.094,0.09,1.5880976035636717e+59,inf,inf
0.099,0.092,0.09,4.390249039803855e+56,inf,inf
0.112,0.088,0.084,5.768957154683854e+57,inf,inf
0.095,0.083,0.085,1.9107483705804686e+57,inf,inf
0.103,0.078,0.085,7.48350561322194e+58,inf,inf
0.079,0.078,0.075,9.394027443034243e+54,inf,inf
0.066,0.083,0.087,1.8397737140456604e+60,inf,inf
0.083,0.084,0.09,1.160276484881317e+56,inf,inf
0.116,0.088,0.084,9.879370417863971e+50,3.3057220692531934e+304,inf
0.079,0.081,0.088,1.4591314716881556e+52,inf,inf
0.058,0.064,0.08,1.4385999994205002e+61,inf,inf
0.103,0.079,0.078,1.119946105932361e+56,inf,inf
0.079,0.074,0.074,1.4661477961329891e+58,inf,inf
0.074,0.084,0.09,3.7063005172073316e+60,inf,inf
0.045,0.089,0.081,1.2572271551288534e+45,inf,inf
0.116,0.075,0.084,8.654589297435187e+53,inf,inf
0.095,0.104,0.098,7.127745140846242e+50,inf,inf
0.07,0.078,0.082,3.6671388482457535e+61,inf,inf
0.099,0.087,0.092,1.4050811596072768e+58,inf,inf
0.079,0.084,0.091,2.1712429042686837e+53,inf,inf
0.087,0.087,0.085,1.1737511818364226e+59,inf,inf
0.112,0.101,0.094,1.102167983151234e+57,inf,inf
0.041,0.058,0.074,6.176967451745133e+56,inf,inf
0.083,0.078,0.092,2.736493124875808e+49,inf,inf
0.087,0.09,0.09,3.68931933008975e+42,inf,inf
0.083,0.088,0.089,1.480582844347654e+55,inf,inf
0.083,0.092,0.09,1.2247760852568593e+53,inf,inf
0.087,0.092,0.093,5.990440731147518e+52,inf,inf
0.116,0.093,0.087,6.056320184764976e+55,inf,inf
0.087,0.082,0.077,1.4128177691590867e+55,inf,inf
0.054,0.061,0.078,2.031417443283148e+60,inf,inf
0.095,0.095,0.095,7.222927911214968e+60,inf,inf
0.116,0.087,0.093,3.596499137528315e+57,inf,inf
0.07,0.085,0.088,4.439722809096556e+54,inf,inf
0.07,0.078,0.091,3.0039938674495764e+45,inf,inf
0.087,0.09,0.086,4.7005205852372705e+59,inf,inf
