p_01,p_05,p_10,ap_01,ap_05,ap_10
0.079,0.074,0.085,3.3759407326542974e+61,inf,inf
0.087,0.075,0.083,9.121821780677573e+48,inf,inf
0.07,0.092,0.09,4.7479807431017825e+56,inf,inf
0.079,0.082,0.085,7.848659913261416e+51,inf,inf
0.079,0.085,0.087,4.476746401212525e+53,inf,inf
0.087,0.084,0.09,7.280244923755716e+57,inf,inf
0.112,0.084,0.078,6.953070655466092e+51,inf,inf
0.066,0.072,0.082,7.241468757153148e+61,inf,inf
0.062,0.078,0.081,3.963721269309057e+51,inf,inf
0.112,0.094,0.082,8.798766412526216e+56,inf,inf
0.095,0.081,0.081,2.0664820538104765e+55,inf,inf
0.066,0.077,0.076,2.30557610885122e+59,inf,inf
0.079,0.079,0.078,2.3460098379333864e+53,inf,inf
0.107,0.089,0.083,1.9489268785846936e+59,inf,inf
0.12,0.081,0.082,5.664122452998282e+58,inf,inf
0.099,0.08,0.081,4.105682845654334e+57,inf,inf
0.05,0.078,0.082,2.4515191121625418e+59,inf,inf
0.07,0.09,0.087,3.485110362439429e+48,inf,inf
0.099,0.078,0.077,1.4759598712893305e+54,inf,inf
0.079,0.076,0.075,5.848307482710683e+58,inf,inf
0.054,0.064,0.082,2.1547907952417288e+49,inf,inf
0.07,0.076,0.078,8.86232564826191e+56,inf,inf
0.112,0.082,0.081,9.94395466543737e+55,inf,inf
0.095,0.079,0.081,2.0139986380506898e+51,inf,inf
0.107,0.098,0.085,4.49614318958452e+59,inf,inf
0.062,0.083,0.082,4.684172478410028e+59,inf,inf
0.103,0.078,0.081,6.6493174797859e+58,inf,inf
0.054,0.058,0.078,1.860678359712214e+60,inf,inf
0.054,0.079,0.086,1.459178674815984e+55,inf,inf
0.091,0.078,0.086,8.917381655861721e+54,inf,inf
0.087,0.077,0.083,1.1464970254225167e+59,inf,inf
0.074,0.082,0.085,3.254454921415386e+55,inf,inf
0.091,0.086,0.09,2.7021995910149207e+53,inf,inf
0.095,0.088,0.088,1.841563999476323e+60,inf,inf
0.05,0.086,0.085,1.4050486872051745e+58,inf,inf
0.066,0.087,0.083,6.920481584103203e+54,inf,inf
0.12,0.085,0.084,3.056159004729271e+51,inf,inf
0.058,0.075,0.079,7.407229939903306e+60,inf,inf
0.062,0.09,0.08,1.4977609079495265e+58,inf,inf
0.083,0.096,0.09,1.4963402649751062e+52,inf,inf
0.054,0.074,0.077,2.1176352834253005e+42,inf,inf
0.074,0.085,0.083,1.8226933172022164e+60,inf,inf
0.066,0.088,0.08,7.336174519644167e+45,inf,inf
0.107,0.09,0.085,1.3719518566121153e+55,inf,inf
0.107,0.086,0.089,1.3125311416008808e+50,inf,inf
0.095,0.083,0.083,7.13198067772654e+58,inf,inf
0.124,0.096,0.086,4.274884817843094e+56,inf,inf
0.07,0.077,0.084,1.4084225104458445e+51,inf,inf
0.058,0.089,0.088,1.1027618312927067e+53,inf,inf
0.074,0.09,0.09,1.8048784884210364e+48,inf,inf
0.079,0.094,0.086,1.1410211271500558e+60,inf,inf
0.099,0.086,0.085,7.481835635034736e+54,inf,inf
0.091,0.083,0.089,2.86617158412181e+53,inf,inf
0.07,0.084,0.086,9.363839101873296e+56,inf,inf
0.074,0.078,0.081,2.344155467111559e+56,inf,inf
0.112,0.09,0.1,2.005944491569226e+48,inf,inf
0.091,0.078,0.077,7.527379286806935e+57,inf,inf
0.087,0.08,0.083,4.0900377970926617e+48,inf,inf
0.099,0.075,0.08,1.4573767535661092e+59,inf,inf
0.083,0.069,0.076,2.8239615892283244e+49,inf,inf
0.091,0.089,0.08,2.7698638779312506e+55,inf,inf
0.099,0.08,0.083,1.842023895329855e+54,5.604303431516684e+302,inf
0.128,0.084,0.088,6.447509780974094e+51,inf,inf
0.083,0.082,0.086,7.81062573174689e+57,inf,inf
0.079,0.073,0.086,7.494002927229525e+59,inf,inf
0.079,0.088,0.084,7.781747483031929e+60,inf,inf
0.095,0.082,0.091,1.8920518814560625e+57,inf,inf
0.079,0.084,0.089,3.729486360329146e+60,inf,inf
0.095,0.083,0.087,4.461169139870811e+56,inf,inf
0.079,0.075,0.087,2.0291582074109242e+52,inf,inf
0.045,0.079,0.082,5.668191468755252e+49,inf,inf
0.07,0.083,0.083,3.7866012156202415e+57,inf,inf
0.099,0.069,0.076,1.4593462746133143e+58,inf,inf
0.045,0.083,0.086,1.2568312125831493e+56,inf,inf
0.083,0.092,0.089,7.629627064356884e+57,inf,inf
0.083,0.071,0.083,1.4191504893378287e+56,inf,inf
0.087,0.092,0.088,1.4411325411256286e+52,inf,inf
0.05,0.073,0.083,1.03901399233353e+45,inf,inf
0.107,0.085,0.08,3.2662827744257634e+49,inf,inf
0.045,0.068,0.075,1.7255039173068166e+43,inf,inf
0.083,0.078,0.086,7.339294303839181e+60,inf,inf
0.087,0.093,0.091,4.559397987034941e+60,inf,inf
0.099,0.081,0.088,1.751902321932154e+56,inf,inf
0.074,0.08,0.074,1.8477949475747934e+57,inf,inf
0.124,0.089,0.089,8.105675230330697e+54,inf,inf
0.066,0.087,0.084,1.1857933079937208e+56,inf,inf
0.083,0.083,0.082,1.3987589332259803e+60,inf,inf
0.103,0.088,0.082,7.371766157874311e+57,inf,inf
0.074,0.08,0.086,1.9892162058156876e+49,inf,inf
0.066,0.076,0.078,1.0908680392421891e+53,inf,inf
0.062,0.077,0.072,1.8174633691710972e+51,inf,inf
0.095,0.084,0.087,3.0390389386866557e+59,inf,inf
0.074,0.077,0.087,5.670444428990781e+55,inf,inf
0.112,0.087,0.083,8.522655145551955e+55,inf,inf
0.112,0.088,0.088,1.1239748964810645e+59,inf,inf
0.058,0.087,0.083,1.536739898644524e+59,inf,inf
0.087,0.091,0.084,2.6484343034284604e+48,inf,inf
0.058,0.088,0.084,3.37861254293995e+51,1.28918487740801e+305,inf
0.07,0.069,0.072,2.5492106426301865e+50,inf,inf
0.083,0.09,0.091,7.324503832035906e+54,inf,inf
