class_id,ODP,verbs
become-109.1,TimeIndexedPersonStatus,come out|turn|turn up
obtain-13.5.2,TimeIndexedPersonStatus,accept|accrue|accumulate|appropriate|borrow|cadge|commandeer|collect|exact|grab|inherit|make|receive|recoup|recover|regain|retrieve|seize|select|snatch|source|subselect|arrogate|hijack
assessment-34.1,TImeIndexedPersonStatus,analyse|analyze|appraise|assay|assess|audit|check|consult|examine|evaluate|feel out|follow|go over|inspect|investigate|monitor|peruse|proofread|regard|research|review|sample|scan|scrutinize|study|surveil|survey|taste|test|try|try on|try out|watch
get-13.5.1,TImeIndexedPersonStatus,attain|book|buy|call|catch|charter|choose|find|gather|hire|lease|order|phone|pick|pluck|procure|pull|reach|rent|reserve|take|win
complete-55.2,TimeIndexedPersonStatus,accomplish|achieve|bring-off|pull-off
conduct-111.1,TimeIndexedPersonStatus,conduct|give|head|hold|host|run|spearhead|throw
transfer_mesg-37.1.1-1-1,TimeIndexedPersonStatus,show|teach|tell|write
admit-64.3-1,TimeIndexedPersonStatus,admit|include|permit|receive|welcome
advise-37.9,TimeIndexedPersonStatus,alert|assure|brief|educate|encourage|notify
send-11.1,Migration,convey|deliver|dispatch|drive|handdeliver|pass on|port|post|return|shift|shunt|transfer|transport|export|import|transship
appoint-29.1,TimeIndexedPersonStatus,appoint|coronate|crown|designate|elect|install|proclaim|mark|ordain|adopt|upgrade|reelect|want|name|nominate
mix-22.1-2-1,Migration,connect|join|link|pair|pool|network|rejoin|unite
spend_time-104,TimeIndexedPersonStatus,kill|lead|pass|serve|misspend|spend|use|waste
lecture-37.11-1,TimeIndexedPersonStatus,gush|lecture|moralize|preach|rant|rave|remark|rhapsodize|speak|speak out|speak up|talk|testify|theorize|write|pontificate
escape-51.1-1,Migration,advance|approach|come|continue|decamp|fall|file|go|plunge|recede|return|rise|tumble|arrive|set off|set out|bolt|emerge|emigrate|retreat|skedaddle|vamoose|withdraw
supervision-95.2.2-1,TimeIndexedPersonStatus,command|direct|lead|manage|micromanage|oversee|preside over|supervise
create-26.4,TimeIndexedPersonStatus,author|coin|compute|concoct|construct|contrive|cowrite|create|derive|fabricate|form|formulate|lay|manufacture|mass-produce|model|organize|produce|publish|rearrange|rebuild|reconstitute|reorganize|style|synthesize|turn-out
future_having-13.3,TimeIndexedPersonStatus,accord|advance|allocate|allot|allow|apportion|assign|award|bequeath|cede|concede|devolve|extend|grant|guarantee|issue|leave|offer|owe|portion-out|proffer|promise|ration|reallocate|reassign|vote|will|yield
employment-95.3,TimeIndexedPersonStatus,clerk|freelance|subcontract|temp|work
characterize-29.2-1-2,TimeIndexedPersonStatus,report|reveal
exist-47.1,TimeIndexedPersonStatus,coexist|dwell|exist|extend|flourish|hold|languish|linger|live|loom|lurk|persist|predominate|prevail|prosper|remain|reside|shelter|stand|stay|thrive|tower|vegetate|wait|persevere
continue-55.3,TimeIndexedPersonStatus,continue
establish-55.5-1,Migration,initiate|establish|fake|feign|format|found|plant|implement|instigate|institute|organize|originate|prepare|premise|devise|mount|bring about|arrange|introduce|set|simulate|strike up|synthesise|launch|open|open up
stop-55.4-1-1,TimeIndexedPersonStatus,cease|conclude|discontinue|end|finish|stop|quit
begin-55.1-1-1,TimeIndexedPersonStatus,begin|start|start off|commence|recommence|resume|undertake
slide-11.2,Migration,move|scoot|pull
escape-51.1-1-1,Migration,depart|disembark|escape|exit|flee|leave|vacate
run-51.3.2-1,Migration,hop|journey|leap|pad|perambulate|plod|prowl|ramble|roam|rove|stride|stroll|sweep|swim|traipse|tramp|travel|trek|trudge|vault|wade|wander|wing
give-13.1,TimeIndexedPersonStatus,deal|give-back|lend|loan|pass|peddle|refund|render
attend-107.4-1,TimeIndexedPersonStatus,attend|patronize
rear-26.2.2,TimeIndexedPersonStatus,grow|nurture|raise|rear
create-26.4-1,TimeIndexedPersonStatus,choreograph|compose|draft|improvise|invent|scriptwrite|silkscreen|write
ROOT,TimeIndexedPersonStatus,ROOT
interrogate-37.1.3,TimeIndexedPersonStatus,cross-examine|question|interview|interrogate
