annotator,author,sent_id,text,WRITER-AG,WRITER-PA,EVENT,ASP-EVENT,REP-EVENT,STATE,ORG,LOC,TIME
marco,Q4730755,2.0,"In 1974 he left South Africa, living in North America, Europe and the Middle East, before returning in 1986.  (Allan Kolski Horwitz)",he,,left,,,,,South Africa,In 1974
marco,Q4730755,2.0,"In 1974 he left South Africa, living in North America, Europe and the Middle East, before returning in 1986.  (Allan Kolski Horwitz)",he,,,,,living,,"in North America, Europe and the Middle East",
marco,Q4730755,2.0,"In 1974 he left South Africa, living in North America, Europe and the Middle East, before returning in 1986.  (Allan Kolski Horwitz)",he,,returning,,,,,South Africa,in 1986
marco,Q12846327,8.0,"In 2001, he received a second degree in higher education from Baku State University Law School.  (Sayyad Aran)",,he,received,,,,from Baku State University Law School,,In 2001
marco,Q461675,0.0,"Florence Onyebuchi ""Buchi"" Emecheta OBE (21 July 1944 – 25 January 2017) was a Nigerian-born novelist, based in the UK from 1962, who also wrote plays and an autobiography, as well as works for children.  (Buchi Emecheta)","Florence Onyebuchi ""Buchi"" Emecheta OBE",,,,,novelist,,,
marco,Q461675,0.0,"Florence Onyebuchi ""Buchi"" Emecheta OBE (21 July 1944 – 25 January 2017) was a Nigerian-born novelist, based in the UK from 1962, who also wrote plays and an autobiography, as well as works for children.  (Buchi Emecheta)","Florence Onyebuchi ""Buchi"" Emecheta OBE",,,,,based,,in the UK,from 1962
marco,Q461675,0.0,"Florence Onyebuchi ""Buchi"" Emecheta OBE (21 July 1944 – 25 January 2017) was a Nigerian-born novelist, based in the UK from 1962, who also wrote plays and an autobiography, as well as works for children.  (Buchi Emecheta)","Florence Onyebuchi ""Buchi"" Emecheta OBE",,,,,wrote,,,
marco,Q6812551,22.0,He received his primary and secondary education in the city of Beni Suef.  (Abdel Tawab Jusef),,He,,,,received,,in the city of Beni Suef,
marco,Q6961382,25.0,"After working for nearly two decades, with French assistance, Narayanan's team developed the Vikas engine used by several ISRO rockets including the Polar Satellite Launch Vehicle (PSLV) that took Chandrayaan-1 to the moon in 2008.  (Nambi Narayanan)",Narayanan's team,,,,,developed,,,
marco,Q6961382,25.0,"After working for nearly two decades, with French assistance, Narayanan's team developed the Vikas engine used by several ISRO rockets including the Polar Satellite Launch Vehicle (PSLV) that took Chandrayaan-1 to the moon in 2008.  (Nambi Narayanan)",Narayanan's team,,,,,working,,,After
marco,Q7461048,0.0,Shafiq-ur-Rahman (Urdu:  شفیق الرحمن‎) (9 November 1920 – 19 March 2000) was a Pakistani humorist and a short-story writer of Urdu language.  (Shafiq-ur-Rahman (humorist)),Shafiq-ur-Rahman,,,,,humorist,,,
marco,Q7461048,0.0,Shafiq-ur-Rahman (Urdu:  شفیق الرحمن‎) (9 November 1920 – 19 March 2000) was a Pakistani humorist and a short-story writer of Urdu language.  (Shafiq-ur-Rahman (humorist)),Shafiq-ur-Rahman,,,,,writer,,,
