annotator,author,sent_id,text,WRITER-AG,EVENT,STATE,TIME,LOC,WRITER-PA,ORG,REP-EVENT
enrico,Q1285526,17.0,Bello later joined the Akbayan Citizens' Action Party and became a member of congress in 2010. ,Bello,joined,,,,,,
enrico,Q1285526,17.0,Bello later joined the Akbayan Citizens' Action Party and became a member of congress in 2010. ,Bello,,member of congress,in 2010,,,,
enrico,Q60609251,2.0,"Isaac was born and raised in Mexico City, in a Jewish family. ",,born,,,in Mexico City,Isaac,,
enrico,Q3629539,2.0,"He became the youngest recipient of the Sahitya Akademi Award in 1967, given by the Sahitya Akademi (India's National Academy of Letters), for his epic verse play based on the ancient legend of Puran Bhagat, Loona (1965), now considered a masterpiece in modern Punjabi literature, and which also created a new genre, of modern Punjabi kissa. ",He,,recipient,in 1967,India,,Sahitya Akademi,
enrico,Q23893509,1.0,"Born in Recife, Batalha was raised in Rio de Janeiro She studied Journalism at the Pontifical Catholic University of Rio de Janeiro, has a master's degree in Brazilian Literature for the same university and one in Publishing by the New York University, having received the Oscar Dystel fellowship in 2009. ",,Born,,,in Recife,Batalha,,
enrico,Q23893509,1.0,"Born in Recife, Batalha was raised in Rio de Janeiro She studied Journalism at the Pontifical Catholic University of Rio de Janeiro, has a master's degree in Brazilian Literature for the same university and one in Publishing by the New York University, having received the Oscar Dystel fellowship in 2009. ",Batalha,,raised,,in Rio de Janeiro,,,
enrico,Q23893509,1.0,"Born in Recife, Batalha was raised in Rio de Janeiro She studied Journalism at the Pontifical Catholic University of Rio de Janeiro, has a master's degree in Brazilian Literature for the same university and one in Publishing by the New York University, having received the Oscar Dystel fellowship in 2009. ",She,,studied,,,,Pontifical Catholic University of Rio de Janeiro,
enrico,Q23893509,1.0,"Born in Recife, Batalha was raised in Rio de Janeiro She studied Journalism at the Pontifical Catholic University of Rio de Janeiro, has a master's degree in Brazilian Literature for the same university and one in Publishing by the New York University, having received the Oscar Dystel fellowship in 2009. ",She,,has,,,,the New York University,
enrico,Q23893509,1.0,"Born in Recife, Batalha was raised in Rio de Janeiro She studied Journalism at the Pontifical Catholic University of Rio de Janeiro, has a master's degree in Brazilian Literature for the same university and one in Publishing by the New York University, having received the Oscar Dystel fellowship in 2009. ",,received,,in 2009,,She,,
enrico,Q327992,1.0,"He was born in Ghana and currently resides in Degenfeld, Germany. ",,born,,,in Ghana,He,,
enrico,Q327992,1.0,"He was born in Ghana and currently resides in Degenfeld, Germany. ",He,,resides,,"in Degenfeld, Germany",,,
enrico,Q7689187,13.0,"In 1950s, he established the Union of Burma Exporters Oriental Corporation also becoming its Director. ",he,established,,In 1950s,,,the Union of Burma Exporters Oriental Corporation,
enrico,Q7689187,13.0,"In 1950s, he established the Union of Burma Exporters Oriental Corporation also becoming its Director. ",he,,Director,,,,,
enrico,Q1779721,12.0,"She has a PhD from the University of Birmingham, U.K. (1993–1996) Centre for Cultural Studies. ",She,,PhD,,,,the University of Birmingham,
enrico,Q3469507,5.0,"He is particularly known in France for his 2003 poem ""Baghdad Mon Amour"" (""Baghdad My Beloved""). ",,,known,,in France,He,,
enrico,Q213512,150.0,""" Richard Leiby of The Washington Post reported, ""Bill Cosby was anything but politically correct in his remarks Monday night at a Constitution Hall bash commemorating the 50th anniversary of the Brown v. Board of Education decision.",Bill Cosby,,politically correct,Monday night,at a Constitution Hall,,,
enrico,Q1772341,41.0,"In 1998, Ahlem receives the Naguib Mahfouz literary prize for “Memory of the Flesh"". ",,receives,,In 1998,,Ahlem,,
enrico,Q13190158,4.0,He currently teaches Quechua and Spanish at New York University. ,He,,teaches,,,,at New York University,
enrico,Q3187801,14.0,"He had a leading role in the political crisis in the Dominican Republic of 1994, events leading the called ""Pact for Democracy"" and as one of leader of his political organization, together with Danilo Medina and Leonel Fernández in 1996, were responsible for structuring a new political project inside the party, which later led to Leonel Fernández as a candidate for the Presidency of the Dominican Republic, who was elected winner of the elections held that year and became the first Head of State from Dominican Liberation Party. ",He,,leading,,,,,
enrico,Q3187801,14.0,"He had a leading role in the political crisis in the Dominican Republic of 1994, events leading the called ""Pact for Democracy"" and as one of leader of his political organization, together with Danilo Medina and Leonel Fernández in 1996, were responsible for structuring a new political project inside the party, which later led to Leonel Fernández as a candidate for the Presidency of the Dominican Republic, who was elected winner of the elections held that year and became the first Head of State from Dominican Liberation Party. ",He,,role,of 1994,in the Dominican Republic,,,
enrico,Q3187801,14.0,"He had a leading role in the political crisis in the Dominican Republic of 1994, events leading the called ""Pact for Democracy"" and as one of leader of his political organization, together with Danilo Medina and Leonel Fernández in 1996, were responsible for structuring a new political project inside the party, which later led to Leonel Fernández as a candidate for the Presidency of the Dominican Republic, who was elected winner of the elections held that year and became the first Head of State from Dominican Liberation Party. ",He,,responsible,in 1996,,,,
enrico,Q3503369,10.0,Mehta is an Associate Professor of Journalism at New York University and lives in Manhattan. ,Mehta,,Professor,,,,at New York University,
enrico,Q3503369,10.0,Mehta is an Associate Professor of Journalism at New York University and lives in Manhattan. ,Mehta,,lives,,in Manhattan,,,
enrico,Q4670213,2.0,He was a professor of Bengali literature at the University of Rajshahi and worked for the government as the Director General of the Bangla Academy from 1986 until his death. ,He,,professor,,,,at the University of Rajshahi,
enrico,Q4670213,2.0,He was a professor of Bengali literature at the University of Rajshahi and worked for the government as the Director General of the Bangla Academy from 1986 until his death. ,He,,worked,from 1986,,,the Bangla Academy,
enrico,Q6323682,36.0,During his tenure he traveled widely across India promoting the principles of sustainable agriculture. ,he,traveled,,,across India,,,
enrico,Q6323682,36.0,During his tenure he traveled widely across India promoting the principles of sustainable agriculture. ,he,promoting,,,,,,
enrico,Q6323682,36.0,During his tenure he traveled widely across India promoting the principles of sustainable agriculture. ,his,,tenure,,,,,
enrico,Q19864747,4.0,Kouanchao attended Edison High School in Minneapolis. ,Kouanchao,,attended,,in Minneapolis,,Edison High School,
enrico,Q96196294,26.0,"Ventura then moved to the former Czechoslovakia, where she wrote for the Communist International magazine under the pseudonym of Catarina Mendes and also helped edit an international magazine called Problems of Peace and Socialism. ",Ventura,moved,,,,,,
enrico,Q96196294,26.0,"Ventura then moved to the former Czechoslovakia, where she wrote for the Communist International magazine under the pseudonym of Catarina Mendes and also helped edit an international magazine called Problems of Peace and Socialism. ",she,wrote,,,,,the Communist International,
enrico,Q96196294,26.0,"Ventura then moved to the former Czechoslovakia, where she wrote for the Communist International magazine under the pseudonym of Catarina Mendes and also helped edit an international magazine called Problems of Peace and Socialism. ",she,edit,,,,,Problems of Peace and Socialism,
enrico,Q97656479,9.0,"In addition to poetry, he wrote for newspapers and played the harmonium, rubab, and sarangi at bhajans at the village's Bala Devi temple. ",he,wrote,,,,,,
enrico,Q97656479,9.0,"In addition to poetry, he wrote for newspapers and played the harmonium, rubab, and sarangi at bhajans at the village's Bala Devi temple. ",he,,played,,Bala Devi temple,,,
enrico,Q8049815,2.0,"Since her official retirement from architectural practice in 2000, her UN-recognized NGO Heritage Foundation Pakistan has been taking on humanitarian relief work and historical conservation projects in rural villages all around Pakistan. ",,,taking on,in 2000,Pakistan,UN-recognized NGO Heritage Foundation Pakistan,,
enrico,Q7646413,11.0,"In the past, he has held the office of the President, Punjabi Sahit Akademi, Ludhiana. ",he,,held,In the past,Ludhiana,,,
enrico,Q5756665,20.0,"She was the founder editor of Adharxila, a monthly literary magazine, published from Guwahati from 2001 to 2002. ",She,,founder,from 2001 to 2002,,,Adharxila,
enrico,Q2820191,8.0,""" It took eight years for Ndione's first novel, La Vie en spirale (Life in a Spiral), to be released in Senegal. ",,released,,,in Senegal,Ndione's first novel,,
enrico,Q5545263,4.0,"Finally, he was appointed as Permanent Representative (Ambassador) of the Syrian Arab Republic to the United Nations. ",,appointed,,,,he,the United Nations,
enrico,Q4778060,16.0,"In 1960, he obtained a scholarship from the British Council to study printmaking with Anthony Gross for another year. ",,obtained,,In 1960,,he,British Council,
enrico,Q3296160,68.0,"The speech received great reception from the Association and black news outlets, ultimately leading Terrell to be invited back as an unofficial (black) ambassador for the Association. ",,invited,,,,Terrell,Association,
enrico,Q955077,52.0,"Riggs's writings were published during the late 1980s and early 1990s in various art and literary journals such as Black American Literature Forum, Art Journal, and High Performance as well as anthologies such as Brother to Brother: Collected Writings by Black Gay Men. ",,published,,early 1990s,,Riggs's writings,Black American Literature Forum,
enrico,Q231270,25.0,The series and her sister Kim's popularity led to the Kardashians being able to cash in by endorsing products. ,,,,,,,,
enrico,Q7198149,3.0,"After the Partition of India in 1947, he continued his studies in Pakistan and received his college degrees from D J Science College in Karachi and BSc (H) from University of Karachi. ",he,,continued,in 1947,,,,
enrico,Q7198149,3.0,"After the Partition of India in 1947, he continued his studies in Pakistan and received his college degrees from D J Science College in Karachi and BSc (H) from University of Karachi. ",,received,,,,he,University of Karachi,
