,annotator,author,sent_id,text,WRITER-AG,EVENT,STATE,TIME,LOC,WRITER-PA,ORG,REP-EVENT,ASP-EVENT
1316,marco,Q1285526,17.0,Bello later joined the Akbayan Citizens' Action Party and became a member of congress in 2010.  (Walden Bello),Bello,joined,,,,,the Akbayan Citizens' Action Party,,
1317,marco,Q1285526,17.0,Bello later joined the Akbayan Citizens' Action Party and became a member of congress in 2010.  (Walden Bello),Bello,,member,in 2010,,,,,became
1321,marco,Q60609251,2.0,"Isaac was born and raised in Mexico City, in a Jewish family.  (Isaac Ezban)",,born,,,in Mexico City,Isaac,,,
1322,marco,Q60609251,2.0,"Isaac was born and raised in Mexico City, in a Jewish family.  (Isaac Ezban)",,,raised,,in Mexico City,Isaac,,,
1331,marco,Q3629539,2.0,"He became the youngest recipient of the Sahitya Akademi Award in 1967, given by the Sahitya Akademi (India's National Academy of Letters), for his epic verse play based on the ancient legend of Puran Bhagat, Loona (1965), now considered a masterpiece in modern Punjabi literature, and which also created a new genre, of modern Punjabi kissa.  (Shiv Kumar Batalvi)",He,,recipient,in 1967,,,,,became
1332,marco,Q3629539,2.0,"He became the youngest recipient of the Sahitya Akademi Award in 1967, given by the Sahitya Akademi (India's National Academy of Letters), for his epic verse play based on the ancient legend of Puran Bhagat, Loona (1965), now considered a masterpiece in modern Punjabi literature, and which also created a new genre, of modern Punjabi kissa.  (Shiv Kumar Batalvi)",,,masterpiece,,,his epic verse play,,considered,
1333,marco,Q3629539,2.0,"He became the youngest recipient of the Sahitya Akademi Award in 1967, given by the Sahitya Akademi (India's National Academy of Letters), for his epic verse play based on the ancient legend of Puran Bhagat, Loona (1965), now considered a masterpiece in modern Punjabi literature, and which also created a new genre, of modern Punjabi kissa.  (Shiv Kumar Batalvi)",his epic verse play,created,,,,,,,
1334,marco,Q23893509,1.0,"Born in Recife, Batalha was raised in Rio de Janeiro She studied Journalism at the Pontifical Catholic University of Rio de Janeiro, has a master's degree in Brazilian Literature for the same university and one in Publishing by the New York University, having received the Oscar Dystel fellowship in 2009.  (Martha Batalha)",,Born,,,"in Recife, Batalha",She,,,
1335,marco,Q23893509,1.0,"Born in Recife, Batalha was raised in Rio de Janeiro She studied Journalism at the Pontifical Catholic University of Rio de Janeiro, has a master's degree in Brazilian Literature for the same university and one in Publishing by the New York University, having received the Oscar Dystel fellowship in 2009.  (Martha Batalha)",,,raised,,in Rio de Janeiro,She,,,
1336,marco,Q23893509,1.0,"Born in Recife, Batalha was raised in Rio de Janeiro She studied Journalism at the Pontifical Catholic University of Rio de Janeiro, has a master's degree in Brazilian Literature for the same university and one in Publishing by the New York University, having received the Oscar Dystel fellowship in 2009.  (Martha Batalha)",She,,studied,,,,at the Pontifical Catholic University of Rio de Janeiro,,
1337,marco,Q23893509,1.0,"Born in Recife, Batalha was raised in Rio de Janeiro She studied Journalism at the Pontifical Catholic University of Rio de Janeiro, has a master's degree in Brazilian Literature for the same university and one in Publishing by the New York University, having received the Oscar Dystel fellowship in 2009.  (Martha Batalha)",She,,has,,,,the Pontifical Catholic University of Rio de Janeiro,,
