annotator,author,sent_id,text,TIME,WRITER-AG,EVENT,ORG,LOC,ASP-EVENT,STATE,WRITER-PA,REP-EVENT,EVENT-COMP
ousmane,Q2916028,53.0,"On June 13, 2011 he wrote in the Wall Street Journal about the unrest in Syria that ""The mask of the Assad regime finally falls..."" On June 22, 2014, Ajami died from prostate cancer at a summer home in Maine, aged 68.  (Fouad Ajami)","On June 13, 2011",he,wrote,in the Wall Street Journal,Syria,,,,,
ousmane,Q2916028,53.0,"On June 13, 2011 he wrote in the Wall Street Journal about the unrest in Syria that ""The mask of the Assad regime finally falls..."" On June 22, 2014, Ajami died from prostate cancer at a summer home in Maine, aged 68.  (Fouad Ajami)","On June 22, 2014",Ajami,died,,in Maine,,,,,
ousmane,Q19201294,7.0,In 1955 he participated in Goa freedom movement.  (Rabi Singh),In 1955,he,participated,,,,,,,
ousmane,Q2061698,53.0,"Menken continued to perform small parts in New York, as well as reading Shakespeare in performance, and giving lectures.  (Adah Isaacs Menken)",,Menken,,,in New York,continued,perform,,,
ousmane,Q2061698,53.0,"Menken continued to perform small parts in New York, as well as reading Shakespeare in performance, and giving lectures.  (Adah Isaacs Menken)",,Menken,,,,continued,reading,,,
ousmane,Q236503,14.0,"During his term as governor, he attracted publicity by allegedly fighting high salaries for public servants, whom he labeled marajás (maharajas) (likening them to the former princes of India who received a stipend from the government as compensation for relinquishing their lands).  (Fernando Collor de Mello)",,he,,,,,attracted,,,
ousmane,Q236503,14.0,"During his term as governor, he attracted publicity by allegedly fighting high salaries for public servants, whom he labeled marajás (maharajas) (likening them to the former princes of India who received a stipend from the government as compensation for relinquishing their lands).  (Fernando Collor de Mello)",,he,,,,,fighting,,,
ousmane,Q4900476,72.0,"He was publicly bestowed with the honorary title of Asom Ratna -- 'Jewel of Assam' by the leading intellectuals in Assam on the occasion of his 78th birthday celebrations publicly on 19 August 2007, in a programme held in Guwahati city under the presidency of Nobel laureate Rabindranath Tagore Professor of Gauhati University Dr Satyendra Narayan Goswami.  (Bhabananda Deka)",on 19 August 2007,,bestowed,in Assam,in Guwahati,,,He,,
ousmane,Q972107,132.0,"At the beginning of 2004, he was among the first reporters to visit Darfur and describe ""the most vicious ethnic cleansing you've never heard of.""  (Nicholas Kristof)",At the beginning of 2004,he,visit,,Darfur,,,,,
ousmane,Q972107,132.0,"At the beginning of 2004, he was among the first reporters to visit Darfur and describe ""the most vicious ethnic cleansing you've never heard of.""  (Nicholas Kristof)",,he,describe,,Darfur,,,,,
ousmane,Q28155098,11.0,"Also, Cajías was elected as president of the Association of Journalists of La Paz in 2014.  (Lupe Cajías)",in 2014,,elected,of the Association of Journalists of La Paz,,,,Cajías,,
ousmane,Q20014769,8.0,"Paredes was the first president of the University Women's Union (Unión Femenina Universitaria; UFU), founded on 14 September 1938, the same year in which she was elected president of the La Paz Student Center of Dentistry.  (Elsa Paredes de Salazar)",,Paredes,,of the University Women's Union,,was,president,,,
ousmane,Q20014769,8.0,"Paredes was the first president of the University Women's Union (Unión Femenina Universitaria; UFU), founded on 14 September 1938, the same year in which she was elected president of the La Paz Student Center of Dentistry.  (Elsa Paredes de Salazar)",,,elected,of the La Paz Student Center of Dentistry,,,,she,,
ousmane,Q7035479,231.0,"Pashinyan was elected member of the National Assembly from the ANC, which barely passed the 7% threshold for electoral alliances and received 7 seats.  (Nikol Pashinyan)",,,elected,from the ANC,,,,Pashinyan,,
ousmane,Q7035479,231.0,"Pashinyan was elected member of the National Assembly from the ANC, which barely passed the 7% threshold for electoral alliances and received 7 seats.  (Nikol Pashinyan)",,,received,from the ANC,,,,Pashinyan,,
ousmane,Q55641540,8.0,"In a starred review, Kirkus Reviews described his Ramayana as 'A masterpiece made new for a generation of readers who ought to be very grateful indeed to Menon'.  (Ramesh Menon)",,,described,Kirkus Reviews,,,,his Ramayana,,
ousmane,Q27915263,5.0,"Her third novel, Missing in Machu Picchu (2013), was awarded first place in adventure fiction by the International Latino Book Awards, but was given an unfavorable review by Publishers Weekly.  (Cecilia Velástegui)",2013,Her third novel,,,n Machu Picchu,,Missing,,,
ousmane,Q27915263,5.0,"Her third novel, Missing in Machu Picchu (2013), was awarded first place in adventure fiction by the International Latino Book Awards, but was given an unfavorable review by Publishers Weekly.  (Cecilia Velástegui)",,,awarded,by the International Latino Book Awards,,,,Her third novel,,
ousmane,Q27915263,5.0,"Her third novel, Missing in Machu Picchu (2013), was awarded first place in adventure fiction by the International Latino Book Awards, but was given an unfavorable review by Publishers Weekly.  (Cecilia Velástegui)",,,given,by Publishers Weekly,,,,Her third novel,,
ousmane,Q85181754,20.0,"The film went on to receive rave reviews; screened at Abhijaan Film Festival in 2015, Bengali Film Festival held in Dubai between 5–7 February 2015 and also at the Kerala Film Festival held in Trivandrum in late 2014.  (Manoj Michigan)",,,,,,,,,,
ousmane,Q3301423,4.0,Upon graduation he attended l'Academie Militaire where he remained for only three months.  (Maurice Sixto),,he,,l'Academie Militaire,,,attended,,,
ousmane,Q3301423,4.0,Upon graduation he attended l'Academie Militaire where he remained for only three months.  (Maurice Sixto),for only three months,he,remained,Academie Militaire,,,,,,
ousmane,Q16019283,1.0,"He belonged to the family of the Sufi saint Sultan Syed Makhdoom Ashraf Jahangir Semnani Wahab Ashrafi spent his early life in Kako village in Jehanabad district, Bihar.  (Wahab Ashrafi)",,He,,,Bihar,,belonged,,,
ousmane,Q16019283,1.0,"He belonged to the family of the Sufi saint Sultan Syed Makhdoom Ashraf Jahangir Semnani Wahab Ashrafi spent his early life in Kako village in Jehanabad district, Bihar.  (Wahab Ashrafi)",,He,,,in Kako,,early life,,,
ousmane,Q4833999,13.0,"In 1976, he was awarded the Birbal Sahni gold medal by the Government of India for his work in botany.   (B. G. L. Swamy)",In 1976,,awarded,by the Government of India,,,,he,,
ousmane,Q4833999,13.0,"In 1976, he was awarded the Birbal Sahni gold medal by the Government of India for his work in botany.   (B. G. L. Swamy)",,he,,,India,,work,,,
ousmane,Q5460344,35.0,""" Flora Nwapa died of pneumonia on 16 October 1993 at a hospital in Enugu, Nigeria, at the age of 62.  (Flora Nwapa)",on 16 October 1993,Flora Nwapa,died,at a hospital,"in Enugu, Nigeria",,,,,
ousmane,Q8014124,18.0,"He went on, in the early 1970s, to become a lecturer of mathematics at the University of Lagos.  (William Kumuyi)",in the early 1970s,He,become,at the University of Lagos,,went,,,,
ousmane,Q828621,11.0,"Amnesty International also issued an ""Urgent Action"" over concerns for his declining health, stating, ""He is said to suffer from heavy bleeding caused by acute haemorrhoids, reportedly exacerbated by poor prison diet.  (Bertrand Teyou)",,,,Amnesty International,,declining,health,his,,
ousmane,Q13564524,1.0,"He received the Kerala Sahitya Academi award in the `poetry' section for his collection, Nellickal Muraleedharante Kavithakal in 2004.  (Nellikkal Muraleedharan)",in 2004,,received,,,,,He,,
ousmane,Q3850642,8.0,"As an avid hunter, fisherman and scuba diver, Fontova began his publishing career writing for the outdoor themed magazines Louisiana Sportsman, Sierra, Scuba Times and Bowhunter.  (Humberto Fontova)",,Fontova,,,,,avid,,,
ousmane,Q3850642,8.0,"As an avid hunter, fisherman and scuba diver, Fontova began his publishing career writing for the outdoor themed magazines Louisiana Sportsman, Sierra, Scuba Times and Bowhunter.  (Humberto Fontova)",,Fontova,writing,"for the outdoor themed magazines Louisiana Sportsman, Sierra, Scuba Times and Bowhunter",,began,,,,
ousmane,Q4895905,9.0,She continues to be a regular contributor to Lakota Country Times and has written for Native Sun News and Indian Country Today.  (Delphine Red Shirt),,She,,to Lakota Country Times,,continues,contributor,,,
ousmane,Q4895905,9.0,She continues to be a regular contributor to Lakota Country Times and has written for Native Sun News and Indian Country Today.  (Delphine Red Shirt),,She,,for Native Sun News and Indian Country Today,,,written,,,
ousmane,Q270204,6.0,"As of 2013, she lives and teaches in Riverside, California.In 2020, Hopkinson was named the 37th Damon Knight Grand Master.  (Nalo Hopkinson)",2013,she,,,"in Riverside, California",,lives,,,
ousmane,Q270204,6.0,"As of 2013, she lives and teaches in Riverside, California.In 2020, Hopkinson was named the 37th Damon Knight Grand Master.  (Nalo Hopkinson)",In 2020,Hopkinson,named,,,,,,,
ousmane,Q771782,18.0,"After the results of the 2010 election, which by the popular vote elected Dilma Rousseff as Brazil's first female president, Indio da Costa parted from his former political party ""DEM"" to become one of the founders of the PSD ""Social Democrats Party"" along with the then Mayor of São Paulo, Gilberto Kassab.  (Antônio Pedro de Siqueira Indio da Costa)",2010,Indio da Costa,parted,"from his former political party ""DEM""",,,,,,
ousmane,Q771782,18.0,"After the results of the 2010 election, which by the popular vote elected Dilma Rousseff as Brazil's first female president, Indio da Costa parted from his former political party ""DEM"" to become one of the founders of the PSD ""Social Democrats Party"" along with the then Mayor of São Paulo, Gilberto Kassab.  (Antônio Pedro de Siqueira Indio da Costa)",2010,Indio da Costa,,"of the PSD ""Social Democrats Party""",São Paulo,become,founders,,,
ousmane,Q6125889,12.0,Nuriddin converted to Islam while in jail and in 2003 went on a pilgrimage to Mecca.  (Jalal Mansur Nuriddin),,Nuriddin,converted,in jail,,,,,,
ousmane,Q6125889,12.0,Nuriddin converted to Islam while in jail and in 2003 went on a pilgrimage to Mecca.  (Jalal Mansur Nuriddin),in 2003,Nuriddin,went,,to Mecca,,,,,
