annotator,author,sent_id,text,REP-EVENT,STATE,LOC,ORG,WRITER-PA,EVENT,WRITER-AG,TIME,ASP-EVENT
rossana,Q357946,39.0,"The New York Times described de Soto as an ""overseas salesman"" for the government of Alberto Fujimori in 1990, writing that he had represented the government when meeting with creditors and the United States representatives.  (Hernando de Soto)",writing,represented,United States,The New York Times,,,,,
rossana,Q357946,39.0,"The New York Times described de Soto as an ""overseas salesman"" for the government of Alberto Fujimori in 1990, writing that he had represented the government when meeting with creditors and the United States representatives.  (Hernando de Soto)",described,,,The New York Times,de Soto,,,,
rossana,Q4121378,42.0,"Anne Spencer's literary life began while she was a student at the Virginia Seminary where she wrote her first poem, ""the Skeptic,"" now lost.  (Anne Spencer)",,,,,,wrote,she,,
rossana,Q4121378,42.0,"Anne Spencer's literary life began while she was a student at the Virginia Seminary where she wrote her first poem, ""the Skeptic,"" now lost.  (Anne Spencer)",,literary life,,at the Virginia Seminary,,,Anne Spencer's,,
rossana,Q274741,2.0,"She founded the Ghana Drama Studio, the Ghana Society of Writers, the Ghana Experimental Theatre, and a community project called the Kodzidan (Story House).  (Efua Theodora Sutherland)",,,,"the Ghana Drama Studio, the Ghana Society of Writers, the Ghana Experimental Theatre",,founded,She,,
rossana,Q6551362,48.0,"She currently resides in the Tucson, Arizona, area.  (Linda Addison)",,resides,"in the Tucson, Arizona, area",,,,She,currently,
rossana,Q5092628,12.0,He died on 18 February 2016 at a private hospital in Kozhikode and was buried in Darul Huda Islamic Academy campus.  (Cherussery Zainuddeen Musliyar),,,in Kozhikode,,,died,He,on 18 February 2016,
rossana,Q5092628,12.0,He died on 18 February 2016 at a private hospital in Kozhikode and was buried in Darul Huda Islamic Academy campus.  (Cherussery Zainuddeen Musliyar),,,,in Darul Huda Islamic Academy campus.,He,buried,,,
rossana,Q44593,49.0,"However, in early April, in the vacs before the Trinity term, Naipaul took an impulsive trip to Spain, and quickly spent all he had saved.   (V. S. Naipaul)",,,to Spain,,,took,Naipaul,in early April,
rossana,Q44593,49.0,"However, in early April, in the vacs before the Trinity term, Naipaul took an impulsive trip to Spain, and quickly spent all he had saved.   (V. S. Naipaul)",,,Spain,,,spent,Naipaul,in early April,
rossana,Q1703471,9.0,"Steinbergs first two books Midlands (2002), about the murder of a white South African farmer, and The Number (2004), a biography of a prison gangster, won South Africa's premier non-fiction award, the Sunday Times Alan Paton Award.  (Jonny Steinberg)",,,South Africa's,the Sunday Times Alan Paton Award,,won,Steinbergs first two books,2002,
rossana,Q290491,3.0,"She attended boarding school in Spain, graduated from the Royal School of Santa Isabel in Madrid, and studied advertising and journalism at the Charles Morris Price School of Advertising and Journalism in Philadelphia.  (Gioconda Belli)",,attended,in Spain,,,,She,,
rossana,Q290491,3.0,"She attended boarding school in Spain, graduated from the Royal School of Santa Isabel in Madrid, and studied advertising and journalism at the Charles Morris Price School of Advertising and Journalism in Philadelphia.  (Gioconda Belli)",,,in Madrid,from the Royal School of Santa Isabel,,graduated,She,,
rossana,Q290491,3.0,"She attended boarding school in Spain, graduated from the Royal School of Santa Isabel in Madrid, and studied advertising and journalism at the Charles Morris Price School of Advertising and Journalism in Philadelphia.  (Gioconda Belli)",,studied,in Philadelphia,at the Charles Morris Price School of Advertising and Journalism,,,She,,
rossana,Q4388838,89.0,"In 2000 he edited and translated from the Dutch Een mond vol Glas by Henk van Woerden, an imaginative re-creation of the circumstances leading to the assassination of the South African president Dr Hendrik Verwoerd, in the country's House of Assembly.  (Dan Jacobson)",,,,,,edited,he,In 2000,
rossana,Q4388838,89.0,"In 2000 he edited and translated from the Dutch Een mond vol Glas by Henk van Woerden, an imaginative re-creation of the circumstances leading to the assassination of the South African president Dr Hendrik Verwoerd, in the country's House of Assembly.  (Dan Jacobson)",,,,,,translated,he,In 2000,
rossana,Q8064245,1.0,He primarily writes in Urdu but has also written in Brahui and Balochi.  (Zafar Mairaj),,writes,,,,,He,,
