annotator_x,author,sent_id,text,TIME,WRITER-AG,EVENT,ORG,LOC,ASP-EVENT,STATE,WRITER-PA,REP-EVENT,EVENT-COMP,annotator_y
ousmane,Q2916028,53.0,"On June 13, 2011 he wrote in the Wall Street Journal about the unrest in Syria that ""The mask of the Assad regime finally falls..."" On June 22, 2014, Ajami died from prostate cancer at a summer home in Maine, aged 68.  (Fouad Ajami)","On June 22, 2014",Ajami,died,,in Maine,,,,,,marco
ousmane,Q236503,14.0,"During his term as governor, he attracted publicity by allegedly fighting high salaries for public servants, whom he labeled marajás (maharajas) (likening them to the former princes of India who received a stipend from the government as compensation for relinquishing their lands).  (Fernando Collor de Mello)",,he,,,,,fighting,,,,marco
ousmane,Q972107,132.0,"At the beginning of 2004, he was among the first reporters to visit Darfur and describe ""the most vicious ethnic cleansing you've never heard of.""  (Nicholas Kristof)",At the beginning of 2004,he,visit,,Darfur,,,,,,marco
ousmane,Q28155098,11.0,"Also, Cajías was elected as president of the Association of Journalists of La Paz in 2014.  (Lupe Cajías)",in 2014,,elected,of the Association of Journalists of La Paz,,,,Cajías,,,marco
ousmane,Q4833999,13.0,"In 1976, he was awarded the Birbal Sahni gold medal by the Government of India for his work in botany.   (B. G. L. Swamy)",In 1976,,awarded,by the Government of India,,,,he,,,marco
ousmane,Q4895905,9.0,She continues to be a regular contributor to Lakota Country Times and has written for Native Sun News and Indian Country Today.  (Delphine Red Shirt),,She,,to Lakota Country Times,,continues,contributor,,,,marco
ousmane,Q4895905,9.0,She continues to be a regular contributor to Lakota Country Times and has written for Native Sun News and Indian Country Today.  (Delphine Red Shirt),,She,,for Native Sun News and Indian Country Today,,,written,,,,marco
ousmane,Q6125889,12.0,Nuriddin converted to Islam while in jail and in 2003 went on a pilgrimage to Mecca.  (Jalal Mansur Nuriddin),in 2003,Nuriddin,went,,to Mecca,,,,,,marco
ousmane,Q6286923,7.0,"On July 22, 1891, Cotter married Maria F. Cox, a fellow teacher, with whom he had four children: Leonidas, Florence, Olivia, and Joseph Seamon Cotter Jr (a distinguished poet-playwright in his own merit).  (Joseph Seamon Cotter, Sr.)","On July 22, 1891",Cotter,married,,,,,,,,marco
ousmane,Q736833,110.0,"The final judgment of the European Court of Justice to remove Sison from the EU terrorist blacklist on September 30, 2009, became final and binding on December 10, 2009, inasmuch as the EU did not make appeal.  (Jose Maria Sison)","on September 30, 2009",,remove,European Court of Justice,,,,Sison,,,marco
ousmane,Q12846327,8.0,"In 2001, he received a second degree in higher education from Baku State University Law School.  (Sayyad Aran)",In 2001,,received,from Baku State University Law School,,,,he,,,marco
ousmane,Q1980074,27.0,"The Committee to Protect Journalists, which had awarded Gorriti its International Press Freedom Award for his work with the paper, called the election, and the resignations and demotions of investigative staff that followed, a ""boardroom coup"" that left ""the once feisty paper a shadow of its former self"".  (Gustavo Gorriti Ellenbogen)",,,awarded,The Committee to Protect Journalists,,,,Gorriti,,,marco
ousmane,Q28777191,5.0,"In her decade as a daily newspaper reporter, she covered politics, immigration and demographics in Texas, Pennsylvania and New Jersey and spent three months in the spring of 2005, during the Iraq war, as a foreign correspondent in Knight Ridder's Baghdad bureau.  (Gaiutra Bahadur)",,she,,,"in Texas, Pennsylvania and New Jersey",,covered,,,,marco
ousmane,Q95273,48.0,"Her autobiography, When I Fell from the Sky (German: Als ich vom Himmel fiel), was released on 10 March 2011 by Piper Verlag, for which she received the Corine Literature Prize in 2011.  (Juliane Koepcke)",in 2011,,received,,,,,she,,,marco
ousmane,Q7285550,3.0,"His great-great-uncle, the journalist Najib Nassar, founded  the Haifa-based newspaper Al-Karmil in the last years of the Ottoman Empire, before World War I. His father, Aziz, also a lawyer, was one of the first Palestinians to publicly support a two-state solution to the Arab-Israeli conflict.  (Raja Shehadeh)",,,,,,,,,,,marco
ousmane,Q19892251,19.0,"Jotwani died on 28 January 2008 in Pune, succumbing to a cardiac arrest, leaving behind his wife, Raj Motwani and two sons.  (Motilal Jotwani)",on 28 January 2008,Jotwani,died,,in Pune,,,,,,marco
ousmane,Q19892251,19.0,"Jotwani died on 28 January 2008 in Pune, succumbing to a cardiac arrest, leaving behind his wife, Raj Motwani and two sons.  (Motilal Jotwani)",on 28 January 2008,Jotwani,succumbing,,in Pune,,,,,,marco
ousmane,Q2946652,4.0,"Dovey attended high school in Australia at North Sydney Girls High School, before going to the United States in 1999 to study at Harvard University as an undergraduate where she completed a joint degree in Anthropology and Visual & Environmental Studies in 2003.  (Ceridwen Dovey)",,Dovey,,at North Sydney Girls High School,in Australia,,attended,,,,marco
ousmane,Q5878,47.0,"Though García Márquez never finished his higher studies, some universities, including Columbia University, New York, have given him an honorary doctorate in writing.  (Gabriel García Márquez)",,,given,Columbia University,New York,,,him,,,marco
ousmane,Q4868275,14.0,He joined Rotary International in 1972 and rendered his service to the society as Rotarian in various capacity.  (Basti Vaman Shenoy),in 1972,He,joined,Rotary International,,,,,,,marco
ousmane,Q4868275,14.0,He joined Rotary International in 1972 and rendered his service to the society as Rotarian in various capacity.  (Basti Vaman Shenoy),,He,rendered,Rotary International,,,,,,,marco
ousmane,Q7660270,1.0,He was the president of Asam Sahitya Sabha in 1977 held at Abhayapuri.  (Syed Abdul Malik),in 1977,He,,of Asam Sahitya Sabha,at Abhayapuri,,president,,,,marco
ousmane,Q3291572,10.0,Vimala Devi moved to Lisbon in 1957 to rejoin part of her family already established in the city and began work as a translator.   (Vimala Devi),in 1957,Vimala Devi,moved,,to Lisbon,,,,,,marco
ousmane,Q3291572,10.0,Vimala Devi moved to Lisbon in 1957 to rejoin part of her family already established in the city and began work as a translator.   (Vimala Devi),in 1957,Vimala Devi,rejoin,,Lisbon,,,,,,marco
ousmane,Q43373901,22.0,"In November, he participated in Colors TV's Bigg Boss 14, this time as a challenger.  (Vikas Gupta)",In November,he,participated,in Colors TV's Bigg Boss 14,,,,,,,marco
ousmane,Q330809,12.0,"In 1994, during his studies at Case Western Reserve University, he founded Wordsmith.org.  (Anu Garg)",In 1994,he,founded,Wordsmith.org,,,,,,,marco
