event (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
receive.v.12,43,partake of the Holy Eucharist sacrament,1,0,8,28,receive
award.v.02,34,give as judged due or on the basis of merit,1,0,3,17,award
publish.v.03,24,have (one's written work) issued for publication,0,0,2,7,publish
move.v.02,17,"cause to move or shift into a new position or place, both in a concrete and in an abstract sense",0,0,13,0,move
die.v.08,17,"to be on base at the end of an inning, of a player",0,0,12,1,die
spell.v.03,16,write or name the letters that comprise the conventionally accepted form of (a word or part of a word),1,0,0,4,write
publish.v.02,15,prepare and issue for public distribution or sale,0,0,7,8,publish
graduate.v.01,14,receive an academic degree upon completion of one's studies,0,0,5,11,graduate
receive.v.02,13,receive a specified treatment (abstract),0,0,2,9,"obtain, receive"
establish.v.08,11,use as a basis for; found on,0,0,2,5,found
take.v.34,10,"to get into a position of having, e.g., safety, comfort",0,0,4,5,take
prove.v.02,10,"establish the validity of something, as by an example, explanation or experiment",0,0,2,6,establish
participate.v.01,10,share in something,0,0,1,3,participate
join.v.03,10,come into the company of,0,0,0,9,join
meet.v.09,9,meet by design; be present at the arrival of,0,0,3,0,meet
perform.v.03,9,give a performance (of something),0,1,3,1,perform
complete.v.05,9,write all the required information onto a form,0,0,1,7,complete
travel.v.06,8,"travel from place to place, as for the purpose of finding work, preaching, or acting as a judge",0,0,6,1,travel
list.v.01,8,give or make a list of; name individually; give the names of,0,0,1,5,"list, name"
appear.v.06,8,"appear as a character on stage or appear in a play, etc.",0,0,2,5,appear
establish.v.02,7,set up or lay the groundwork for,0,0,0,6,found
win.v.01,7,be the winner in a contest or competition; be victorious,0,0,2,2,win
visit.v.04,7,come to see in an official or professional capacity,0,0,3,0,visit
graduate.v.02,7,confer an academic degree upon,0,0,1,4,graduate
grow.v.08,6,come to have or undergo a change of (physical features and attributes),0,0,1,3,"get, develop, grow, produce, acquire"
return.v.14,6,return to a previous position; in mathematics,0,0,3,1,return
station.v.01,6,assign to a station,0,0,5,0,send
appoint.v.01,6,create and charge with a task or function,0,0,4,3,appoint
yield.v.10,6,bring in,0,0,4,0,bear
name.v.02,6,give the name or identifying characteristics of; refer to by name or some other identifying characteristic property,0,0,0,6,name
go.v.10,6,be or continue to be in a certain condition,1,0,6,0,go
return.v.05,6,bring back to the point of departure,1,0,3,0,return
hold.v.14,6,support or hold in a certain manner,0,0,5,0,bear
death.n.06,6,the personification of death,0,0,0,0,death
enter.v.02,6,become a participant; be involved in,0,0,2,3,participate
leave.v.03,6,act or be so as to become in a specified state,0,0,2,1,leave
conduct.v.02,5,"lead, as in the performance of a composition",0,0,0,1,"conduct, lead"
elect.v.02,5,choose,0,0,0,4,elect
elect.v.01,5,select by a vote for an office or membership,0,0,1,4,elect
spend.v.01,5,pass time in a specific way,0,0,4,1,spend
leave.v.11,5,have left or have as a remainder,0,0,2,1,leave
make.v.42,5,"represent fictitiously, as in a play, or pretend to be or act like",0,0,2,1,"make, pretend"
receive.v.05,5,express willingness to have in one's home or environs,0,1,1,1,"invite, receive"
translate.v.08,5,subject to movement in which every part of the body moves parallel to and the same distance as every other point on the body,0,0,0,0,translate
receive.v.10,5,have or give a reception,0,0,0,3,receive
release.v.09,4,release (gas or energy) as a result of a chemical reaction or physical decomposition,1,0,0,1,release
