targets,event (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
receive,receive.v.12 ## receive.v.10 ## welcome.v.02,51,partake of the Holy Eucharist sacrament ## have or give a reception ## bid welcome to; greet upon arrival,1,0,9,32,receive ## receive ## receive
publish,publish.v.03 ## publish.v.02,39,have (one's written work) issued for publication ## prepare and issue for public distribution or sale,0,0,9,15,publish ## publish
award,award.v.02,34,give as judged due or on the basis of merit,1,0,3,17,award
move,move.v.02 ## move.v.03 ## move.v.07 ## move.v.15 ## move.v.12,25,"cause to move or shift into a new position or place, both in a concrete and in an abstract sense ## move so as to change position, perform a nontranslational motion ## go or proceed from one point to another ## have a turn; make one's move in a game ## dispose of by selling",0,0,19,0,move ## move ## move ## move ## move
write,spell.v.03 ## write.v.04 ## write.v.08 ## write.v.10 ## write.v.07 ## write.v.01 ## write.v.05,25,"write or name the letters that comprise the conventionally accepted form of (a word or part of a word) ## communicate (with) in writing ## record data on a computer ## create code, write a computer program ## mark or trace on a surface ## produce a literary work ## communicate by letter",1,0,0,7,write ## write ## write ## write ## write ## write ## write
bear,yield.v.10 ## hold.v.14 ## bear.v.11 ## give_birth.v.01 ## bear.v.06 ## wear.v.02,22,"bring in ## support or hold in a certain manner ## have rightfully; of rights, titles, and offices ## cause to be born ## take on as one's own the expenses or debts of another person ## have on one's person",1,0,16,0,bear ## bear ## bear ## bear ## bear ## bear
graduate,graduate.v.01 ## graduate.v.02,21,receive an academic degree upon completion of one's studies ## confer an academic degree upon,0,0,6,15,graduate ## graduate
die,die.v.08 ## fail.v.04 ## die.v.01,20,"to be on base at the end of an inning, of a player ## stop operating or functioning ## pass from physical life and lose all bodily attributes and functions necessary to sustain life",0,0,14,1,die ## die ## die
leave,leave.v.03 ## leave.v.11 ## leave.v.08 ## entrust.v.02 ## leave.v.06,19,act or be so as to become in a specified state ## have left or have as a remainder ## remove oneself from an association with or participation in ## put into the care or protection of someone ## make a possibility or provide opportunity for; permit to be attainable or cause to remain,0,1,6,3,leave ## leave ## leave ## leave ## leave
take,take.v.34 ## contract.v.04 ## take.v.29 ## aim.v.01 ## drive.v.16 ## claim.v.05,19,"to get into a position of having, e.g., safety, comfort ## be stricken by an illness, fall victim to an illness ## be seized or affected in a specified way ## point or cause to go (blows, weapons, or objects such as photographic equipment) towards ## proceed along in a vehicle ## take as an undesirable consequence of some event or state of affairs",0,0,9,7,take ## take ## take ## take ## take ## take
found,establish.v.08 ## establish.v.02,18,use as a basis for; found on ## set up or lay the groundwork for,0,0,2,11,found ## found
participate,participate.v.01 ## enter.v.02,16,share in something ## become a participant; be involved in,0,0,3,6,participate ## participate
join,join.v.03 ## join.v.02 ## join.v.01,15,come into the company of ## cause to become joined or linked ## become part of; become a member of a group or organization,0,0,0,14,join ## join ## join
meet,meet.v.09 ## meet.v.10 ## touch.v.05 ## meet.v.11,15,"meet by design; be present at the arrival of ## contend against an opponent in a sport, game, or battle ## be in direct physical contact with; make contact ## experience as a reaction",0,0,5,2,meet ## meet ## meet ## meet
complete,complete.v.05 ## dispatch.v.02 ## complete.v.02,15,"write all the required information onto a form ## complete or carry out ## bring to a whole, with all the necessary parts or elements",0,0,3,12,complete ## complete ## complete
return,return.v.14 ## return.v.05 ## return.v.16,15,"return to a previous position; in mathematics ## bring back to the point of departure ## submit (a report, etc.) to someone in authority",1,0,8,1,return ## return ## return
"obtain, receive",receive.v.02,13,receive a specified treatment (abstract),0,0,2,9,"obtain, receive"
visit,visit.v.04 ## visit.v.07 ## visit.v.01 ## visit.v.08,13,"come to see in an official or professional capacity ## stay with as a guest ## go to see a place, as for entertainment ## assail",0,0,7,1,visit ## visit ## visit ## visit
give,give.v.01 ## give.v.43 ## yield.v.01 ## move_over.v.01 ## pass.v.05,12,"cause to have, in the abstract sense or physical sense ## consent to engage in sexual intercourse with a man ## be the cause or source of ## move in order to make room for someone for something ## place into the hands or custody of",0,0,1,7,give ## give ## give ## give ## give
appoint,appoint.v.01 ## appoint.v.02 ## appoint.v.03,11,"create and charge with a task or function ## assign a duty, responsibility or obligation to ## furnish",0,0,5,8,appoint ## appoint ## appoint
establish,prove.v.02,10,"establish the validity of something, as by an example, explanation or experiment",0,0,2,6,establish
elect,elect.v.02 ## elect.v.01,10,choose ## select by a vote for an office or membership,0,0,1,8,elect ## elect
release,release.v.09 ## turn.v.08 ## release.v.08 ## secrete.v.01,10,release (gas or energy) as a result of a chemical reaction or physical decomposition ## let (something) fall or spill from a container ## part with a possession or right ## generate and separate from cells or bodily fluids,1,0,1,4,release ## release ## release ## release
make,make.v.46 ## make.v.08 ## make.v.48 ## construct.v.01 ## make.v.14 ## name.v.03 ## take.v.27 ## make.v.38,9,favor the development of ## compel or make somebody or something to act in a certain way ## behave in a certain way ## make by combining materials and parts ## be or be capable of being changed or made into ## charge with a function; charge to be ## head into a specified direction ## gather and light the materials for,0,0,0,0,make ## make ## make ## make ## make ## make ## make ## make
perform,perform.v.03,9,give a performance (of something),0,1,3,1,perform
go,go.v.10 ## rifle.v.02,9,be or continue to be in a certain condition ## go through in search of something; search through someone's belongings in an unauthorized way,1,0,6,0,go ## go
spend,spend.v.01 ## spend.v.03,8,pass time in a specific way ## spend completely,1,0,5,1,spend ## spend
win,win.v.01 ## acquire.v.05,8,be the winner in a contest or competition; be victorious ## win something through one's efforts,0,0,2,2,win ## win
"name, list",list.v.01,8,give or make a list of; name individually; give the names of,0,0,1,5,"name, list"
appear,appear.v.06,8,"appear as a character on stage or appear in a play, etc.",0,0,2,5,appear
travel,travel.v.06,8,"travel from place to place, as for the purpose of finding work, preaching, or acting as a judge",0,0,6,1,travel
death,death.n.06 ## death.n.02,7,the personification of death ## the permanent end of all life functions in an organism or part of an organism,0,0,0,0,death ## death
send,station.v.01,6,assign to a station,0,0,5,0,send
name,name.v.02,6,give the name or identifying characteristics of; refer to by name or some other identifying characteristic property,0,0,0,6,name
"produce, develop, get, acquire, grow",grow.v.08,6,come to have or undergo a change of (physical features and attributes),0,0,1,3,"produce, develop, get, acquire, grow"
