targets,event (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
"receive, get, obtain",receive.v.02,72,receive a specified treatment (abstract),1,1,13,43,"receive, get, obtain"
"write, publish",publish.v.03,51,have (one's written work) issued for publication,0,0,9,16,"write, publish"
award,award.v.01,23,"give, especially as an honor or reward",1,0,3,11,award
move,act.v.01 ## move.v.03,23,"perform an action, or work out or perform (an action) ## move so as to change position, perform a nontranslational motion",0,0,17,0,move ## move
bear,give_birth.v.01 ## bear.v.05 ## bear.v.11 ## bear.v.06,22,"cause to be born ## bring forth, ## have rightfully; of rights, titles, and offices ## take on as one's own the expenses or debts of another person",1,0,16,0,bear ## bear ## bear ## bear
graduate,graduate.v.01,21,receive an academic degree upon completion of one's studies,0,0,6,15,graduate
die,die.v.01 ## die.v.03 ## die.v.11,20,"pass from physical life and lose all bodily attributes and functions necessary to sustain life ## be brought to or as if to the point of death by an intense emotion such as embarrassment, amusement, or shame ## suffer spiritual death; be damned (in the religious sense)",0,0,14,1,die ## die ## die
take,take.v.02 ## aim.v.01,20,"require (time or space) ## point or cause to go (blows, weapons, or objects such as photographic equipment) towards",0,0,9,7,take ## take
"found, launch",establish.v.01,18,set up or found,0,0,2,12,"found, launch"
participate,participate.v.01,16,share in something,0,0,3,6,participate
return,return.v.16,15,"submit (a report, etc.) to someone in authority",1,0,8,1,return
"finish, complete",complete.v.01,15,come or bring to a finish or an end,0,0,3,12,"finish, complete"
meet,meet.v.08 ## meet.v.01 ## meet.v.05 ## meet.v.07 ## meet.v.10 ## converge.v.01,15,"get to know; get acquainted with ## come together ## satisfy a condition or restriction ## collect in one place ## contend against an opponent in a sport, game, or battle ## be adjacent or come together",0,0,5,2,meet ## meet ## meet ## meet ## meet ## meet
join,join.v.01 ## connect.v.03,15,become part of; become a member of a group or organization ## be or become joined or united or linked,0,0,0,14,join ## join
name,name.v.01,14,assign a specified (usually proper) proper name to,1,0,1,12,name
visit,visit.v.01 ## visit.v.07 ## visit.v.04,13,"go to see a place, as for entertainment ## stay with as a guest ## come to see in an official or professional capacity",0,0,7,1,visit ## visit ## visit
"grant, award",award.v.02,13,give as judged due or on the basis of merit,0,0,1,6,"grant, award"
write,write.v.04 ## spell.v.03 ## write.v.01,13,communicate (with) in writing ## write or name the letters that comprise the conventionally accepted form of (a word or part of a word) ## produce a literary work,1,0,0,6,write ## write ## write
leave,leave.v.02 ## leave.v.08 ## leave.v.12 ## leave.v.03,13,"go and leave behind, either intentionally or by neglect or forgetfulness ## remove oneself from an association with or participation in ## be survived by after one's death ## act or be so as to become in a specified state",0,0,5,2,leave ## leave ## leave ## leave
