state (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
teach.v.02,28,accustom gradually to some action or attitude,0,6,9,15,teach
work.v.19,27,"gratify and charm, usually in order to influence",0,2,8,7,work
spell.v.03,24,write or name the letters that comprise the conventionally accepted form of (a word or part of a word),0,4,1,11,write
service.v.01,20,be used by; as of a utility,0,0,3,11,"serve, service"
serve.v.10,19,work for or be a servant to,0,1,8,13,"serve, attend"
study.v.06,18,"think intently and at length, as for spiritual purposes",0,5,5,14,study
work.v.01,16,exert oneself by doing mental or physical work for a purpose or out of necessity,0,3,3,12,work
analyze.v.01,16,consider in detail and subject to an analysis in order to discover essential features or meaning,0,5,5,8,study
write.v.04,14,communicate (with) in writing,0,6,1,3,write
writer.n.02,13,a person who is able to write and has written something,1,1,4,1,writer
spend.v.01,12,pass time in a specific way,0,0,4,1,spend
rest.v.07,10,be inherent or innate in,0,0,10,0,reside
career.v.01,8,move headlong at high speed,0,6,2,1,career
member.n.04,8,an organization that is a member of another organization (especially a state that belongs to a group of nations),1,2,0,6,member
live.v.02,8,lead a certain kind of life; live in a certain style,0,1,7,0,live
live.v.07,7,pursue a positive and satisfying existence,0,0,4,1,live
raise.v.23,7,multiply (a number) by itself a specified number of times: 8 is 2 raised to the power 3,0,0,5,0,raise
work.v.27,7,arrive at a certain condition through repeated motion,0,1,3,6,work
study.v.02,7,be a student; follow a course of study; be enrolled at an institute of learning,0,0,2,6,study
travel.v.06,7,"travel from place to place, as for the purpose of finding work, preaching, or acting as a judge",0,0,5,0,travel
author.v.01,7,be the author of,0,0,0,1,author
know.v.03,6,be aware of the truth of something; have a belief or faith in something; regard as true beyond any doubt,0,2,0,1,know
solve.v.01,6,find the solution to (a problem or question) or understand the meaning of,0,2,1,1,work
publish.v.02,5,prepare and issue for public distribution or sale,0,1,0,2,publish
member.n.01,5,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization),0,1,2,2,member
attend.v.02,5,take charge of or deal with,0,0,2,0,"saw, attend"
admit.v.03,5,"allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of",0,0,2,0,include
play.v.12,4,pretend to be somebody in the framework of a game or playful activity,0,0,1,1,play
have.v.01,4,"have or possess, either in a concrete or an abstract sense",0,0,0,4,hold
function.n.03,4,the actions and activities assigned to or required or expected of a person or group,0,0,1,1,role
founder.v.02,4,sink below the surface,0,1,3,2,founder
survive.v.01,4,continue to live through hardship or adversity,0,0,2,0,live
professor.n.01,4,someone who is a member of the faculty at a college or university,0,1,0,2,professor
grow.v.08,4,come to have or undergo a change of (physical features and attributes),0,1,2,1,"produce, grow"
participate.v.01,4,share in something,1,1,0,1,participate
focus.v.02,3,cause to converge on or toward a central point,0,1,0,0,focus
attend.v.03,3,to accompany as a circumstance or follow as a result,0,0,3,2,attend
lend.v.01,3,bestow a quality on,0,0,1,1,"contribute, bring"
publish.v.03,3,have (one's written work) issued for publication,0,0,0,2,"publish, write"
lector.n.02,3,a public lecturer at certain universities,0,2,0,2,lecturer
poet.n.01,3,a writer of poems (the term is usually reserved for writers of good poetry),2,0,1,0,poet
drawing_card.n.02,3,a featured article of merchandise sold at a loss in order to draw customers,0,0,0,1,leader
play.v.35,3,exhaust by allowing to pull on the line,1,0,1,1,play
consort.v.01,3,keep company with; hang out with,0,0,0,1,associate
attend.v.01,3,"be present at (meetings, church services, university), etc.",0,0,0,3,attend
receive.v.12,3,partake of the Holy Eucharist sacrament,0,0,1,0,receive
free-base.v.01,3,use (purified cocaine) by burning it and inhaling the fumes,0,0,1,0,base
hold.v.22,3,hold the attention of,0,0,2,2,hold
tenure.v.01,3,give life-time employment to,0,0,0,1,tenure
provide.v.03,3,"determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation",0,0,0,0,provide
grow.v.10,3,become attached by or as if by the process of growth,0,0,3,0,grow
reserve.v.04,3,arrange for and reserve (something for someone else) in advance,0,0,0,1,hold
director.n.03,3,someone who supervises the actors and directs the action in the production of a show,0,2,1,3,director
