targets,state (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
work,solve.v.01 ## work.v.19 ## work.v.02 ## work.v.08 ## work.v.03,58,"find the solution to (a problem or question) or understand the meaning of ## gratify and charm, usually in order to influence ## be employed ## operate in a certain place, area, or specialty ## have an effect or outcome; often the one desired or expected",0,8,16,25,work ## work ## work ## work ## work
study,study.v.06 ## learn.v.04 ## study.v.05 ## study.v.02 ## analyze.v.01,41,"think intently and at length, as for spiritual purposes ## be a student of a certain subject ## learn by reading books ## be a student; follow a course of study; be enrolled at an institute of learning ## consider in detail and subject to an analysis in order to discover essential features or meaning",0,10,12,28,study ## study ## study ## study ## study
attend,attend.v.01,28,"be present at (meetings, church services, university), etc.",0,1,12,18,attend
teach,teach.v.01 ## teach.v.02,28,impart skills or knowledge to ## accustom gradually to some action or attitude,0,6,9,15,teach ## teach
"write, publish",publish.v.03,26,have (one's written work) issued for publication,0,4,0,10,"write, publish"
write,write.v.04 ## spell.v.03,24,communicate (with) in writing ## write or name the letters that comprise the conventionally accepted form of (a word or part of a word),0,6,2,10,write ## write
serve,serve.v.06 ## serve.v.07,20,"provide (usually but not necessarily food) ## devote (part of) one's life or efforts to, as of countries, institutions, or ideas",0,0,4,11,serve ## serve
live,be.v.11 ## populate.v.01 ## exist.v.02 ## survive.v.01 ## live.v.02,19,"have life, be alive ## inhabit or live in; be an inhabitant of ## support oneself ## continue to live through hardship or adversity ## lead a certain kind of life; live in a certain style",1,1,14,0,live ## live ## live ## live ## live
spend,spend.v.01,14,pass time in a specific way,0,0,5,1,spend
member,member.n.01 ## penis.n.01,14,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization) ## the male organ of copulation (`member' is a euphemism),1,4,2,9,member ## member
"grow, get, develop",grow.v.08,13,come to have or undergo a change of (physical features and attributes),0,0,10,1,"grow, get, develop"
writer,writer.n.01,13,writes (books or stories or articles or the like) professionally (for pay),1,1,4,1,writer
hold,harbor.v.01 ## have.v.01 ## hold.v.29,12,"maintain (a theory, thoughts, or feelings) ## have or possess, either in a concrete or an abstract sense ## take and maintain control over, often by violent means",0,0,2,10,hold ## hold ## hold
reside,occupy.v.02,10,live (in a certain place),0,0,10,0,reside
raise,arouse.v.01 ## raise.v.23 ## raise.v.16,10,"call forth (emotions, feelings, and responses) ## multiply (a number) by itself a specified number of times: 8 is 2 raised to the power 3 ## bid (one's partner's suit) at a higher level",0,0,8,0,raise ## raise ## raise
career,career.v.01,8,move headlong at high speed,0,6,2,1,career
travel,travel.v.01 ## travel.v.04 ## travel.v.05,8,"change location; move, travel, or proceed, also metaphorically ## travel upon or across ## undergo transportation as in a vehicle",0,0,5,0,travel ## travel ## travel
include,include.v.01 ## admit.v.03,7,"have as a part, be made up out of ## allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of",0,0,2,0,include ## include
play,play.v.06 ## play.v.10 ## play.v.15,7,"replay (as a melody) ## bet or wager (money) ## put (a card or piece) into play during a game, or act strategically as if in a card game",1,0,2,2,play ## play ## play
author,author.v.01,7,be the author of,0,0,0,1,author
base,free-base.v.01,6,use (purified cocaine) by burning it and inhaling the fumes,0,0,3,0,base
participate,participate.v.01,6,share in something,1,1,0,1,participate
know,acknowledge.v.06 ## know.v.04,6,accept (someone) to be what is claimed or accept his power and authority ## be familiar or acquainted with a person or an object,0,2,1,1,know ## know
founder,collapse.v.01,5,"break down, literally or metaphorically",0,1,3,3,founder
"maintain, hold",keep.v.01,4,"keep in a certain state, position, or activity; e.g.,",0,0,0,2,"maintain, hold"
director,director.n.01,4,someone who controls resources and expenditures,0,3,1,4,director
professor,professor.n.01,4,someone who is a member of the faculty at a college or university,0,1,0,2,professor
receive,receive.v.02,4,receive a specified treatment (abstract),0,0,2,0,receive
