state (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
solve.v.01,32,find the solution to (a problem or question) or understand the meaning of,0,6,7,13,work
attend.v.01,28,"be present at (meetings, church services, university), etc.",0,1,12,18,attend
teach.v.01,27,impart skills or knowledge to,0,5,9,14,teach
publish.v.03,26,have (one's written work) issued for publication,0,4,0,10,"write, publish"
write.v.04,22,communicate (with) in writing,0,6,2,9,write
study.v.06,20,"think intently and at length, as for spiritual purposes",0,3,5,14,study
work.v.19,15,"gratify and charm, usually in order to influence",0,0,4,8,work
spend.v.01,14,pass time in a specific way,0,0,5,1,spend
member.n.01,13,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization),1,3,2,8,member
grow.v.08,13,come to have or undergo a change of (physical features and attributes),0,0,10,1,"grow, get, develop"
writer.n.01,13,writes (books or stories or articles or the like) professionally (for pay),1,1,4,1,writer
serve.v.06,11,provide (usually but not necessarily food),0,0,2,5,serve
be.v.11,10,"have life, be alive",0,0,8,0,live
occupy.v.02,10,live (in a certain place),0,0,10,0,reside
harbor.v.01,9,"maintain (a theory, thoughts, or feelings)",0,0,1,8,hold
serve.v.07,9,"devote (part of) one's life or efforts to, as of countries, institutions, or ideas",0,0,2,6,serve
career.v.01,8,move headlong at high speed,0,6,2,1,career
author.v.01,7,be the author of,0,0,0,1,author
work.v.02,7,be employed,0,0,3,3,work
arouse.v.01,7,"call forth (emotions, feelings, and responses)",0,0,5,0,raise
learn.v.04,7,be a student of a certain subject,0,2,4,6,study
include.v.01,6,"have as a part, be made up out of",0,0,1,0,include
study.v.05,6,learn by reading books,0,4,1,5,study
travel.v.01,6,"change location; move, travel, or proceed, also metaphorically",0,0,4,0,travel
participate.v.01,6,share in something,1,1,0,1,participate
free-base.v.01,6,use (purified cocaine) by burning it and inhaling the fumes,0,0,3,0,base
play.v.06,5,replay (as a melody),1,0,2,2,play
collapse.v.01,5,"break down, literally or metaphorically",0,1,3,3,founder
populate.v.01,5,inhabit or live in; be an inhabitant of,0,0,2,0,live
director.n.01,4,someone who controls resources and expenditures,0,3,1,4,director
keep.v.01,4,"keep in a certain state, position, or activity; e.g.,",0,0,0,2,"maintain, hold"
study.v.02,4,be a student; follow a course of study; be enrolled at an institute of learning,0,0,1,2,study
acknowledge.v.06,4,accept (someone) to be what is claimed or accept his power and authority,0,1,1,0,know
professor.n.01,4,someone who is a member of the faculty at a college or university,0,1,0,2,professor
analyze.v.01,4,consider in detail and subject to an analysis in order to discover essential features or meaning,0,1,1,1,study
editor.n.01,4,a person responsible for the editorial aspects of publication; the person who determines the final content of a text (especially of a newspaper or magazine),0,1,1,2,editor
know.v.05,4,"have firsthand knowledge of states, situations, emotions, or sensations",0,0,1,1,"know, live"
receive.v.02,4,receive a specified treatment (abstract),0,0,2,0,receive
scholar.n.01,3,a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines,0,0,0,1,"scholar, student"
poet.n.01,3,a writer of poems (the term is usually reserved for writers of good poetry),2,0,1,0,poet
focus.v.05,3,put (an image) into focus,0,1,0,0,focus
lector.n.02,3,a public lecturer at certain universities,0,2,0,2,lecturer
influence.v.01,3,have and exert influence or effect,0,0,0,2,"influence, work"
work.v.08,3,"operate in a certain place, area, or specialty",0,1,1,1,work
education.n.04,3,the profession of teaching (especially at a school or college or university),0,3,2,1,education
take.v.02,3,require (time or space),0,0,1,0,take
tenure.v.01,3,give life-time employment to,0,0,0,1,tenure
president.n.01,3,an executive officer of a firm or corporation,0,0,1,2,president
provide.v.03,3,"determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation",0,0,0,0,provide
subscriber.n.03,3,someone who contributes (or promises to contribute) a sum of money,0,1,0,2,contributor
function.n.03,3,the actions and activities assigned to or required or expected of a person or group,0,0,1,1,role
respect.v.01,3,regard highly; think much of,0,1,0,0,respect
leader.n.01,3,a person who rules or guides or inspires others,0,0,0,1,leader
know.v.04,2,be familiar or acquainted with a person or an object,0,1,0,1,know
journalist.n.01,2,a writer for newspapers and magazines,0,0,0,1,journalist
roll_up.v.02,2,get or gather together,0,0,1,0,"compile, amass"
specialize.v.01,2,become more focus on an area of activity or field of study,0,0,0,0,specialize
advertise.v.02,2,make publicity for; try to sell (a product),0,0,1,0,promote
prosecute.v.03,2,carry out or participate in an activity; be involved in,0,0,1,0,pursue
time.v.03,2,"set the speed, duration, or execution of",0,0,1,0,time
pioneer.v.01,2,open up an area or prepare a way,1,0,0,0,pioneer
columnist.n.01,2,a journalist who writes editorials,0,0,0,2,columnist
fellowship.n.03,2,money granted (by a university or foundation or other agency) for advanced study or research,0,0,0,1,fellowship
celebrated.s.01,2,widely known and esteemed,0,1,0,0,famous
aim.v.01,2,"point or cause to go (blows, weapons, or objects such as photographic equipment) towards",0,0,0,0,train
lend.v.01,2,bestow a quality on,0,0,0,1,contribute
familiar.n.01,2,a person attached to the household of a high official (as a pope or bishop) who renders service in return for support,1,0,0,0,familiar
stay.v.02,2,stay put (in a certain place),0,0,1,0,stay
finalist.n.01,2,a contestant who reaches the final stages of a competition,0,0,1,1,finalist
consort.v.01,2,keep company with; hang out with,0,0,0,0,associate
curate.n.01,2,a person authorized to conduct religious worship,0,2,0,2,"rector, pastor"
recipient.n.01,2,a person who receives something,0,1,1,0,recipient
raise.v.23,2,multiply (a number) by itself a specified number of times: 8 is 2 raised to the power 3,0,0,2,0,raise
think.v.03,2,"use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments",0,1,1,0,think
have.v.01,2,"have or possess, either in a concrete or an abstract sense",0,0,0,2,hold
plant.v.01,2,"put or set (seeds, seedlings, or plants) into the ground",0,0,0,1,set
teacher.n.01,2,a person whose occupation is teaching,0,0,1,0,teacher
exist.v.02,2,support oneself,0,0,2,0,live
masterpiece.n.01,2,the most outstanding work of a creative artist or craftsman,2,0,0,0,masterpiece
co-founder,2,co-founder,0,0,1,1,co-founder
term.v.01,2,name formally or designate with a term,0,1,0,0,term
