REP-EVENT,MatchedInfo,SentenceId,Text
,Exact Match,53.0,"On June 13, 2011 he wrote in the Wall Street Journal about the unrest in Syria that ""The mask of the Assad regime finally falls..."" On June 22, 2014, Ajami died from prostate cancer at a summer home in Maine, aged 68.  (Fouad Ajami)"
,Exact Match,53.0,"On June 13, 2011 he wrote in the Wall Street Journal about the unrest in Syria that ""The mask of the Assad regime finally falls..."" On June 22, 2014, Ajami died from prostate cancer at a summer home in Maine, aged 68.  (Fouad Ajami)"
,Exact Match,7.0,In 1955 he participated in Goa freedom movement.  (Rabi Singh)
,Exact Match,53.0,"Menken continued to perform small parts in New York, as well as reading Shakespeare in performance, and giving lectures.  (Adah Isaacs Menken)"
,Exact Match,53.0,"Menken continued to perform small parts in New York, as well as reading Shakespeare in performance, and giving lectures.  (Adah Isaacs Menken)"
,Exact Match,14.0,"During his term as governor, he attracted publicity by allegedly fighting high salaries for public servants, whom he labeled marajás (maharajas) (likening them to the former princes of India who received a stipend from the government as compensation for relinquishing their lands).  (Fernando Collor de Mello)"
,Exact Match,14.0,"During his term as governor, he attracted publicity by allegedly fighting high salaries for public servants, whom he labeled marajás (maharajas) (likening them to the former princes of India who received a stipend from the government as compensation for relinquishing their lands).  (Fernando Collor de Mello)"
,Exact Match,72.0,"He was publicly bestowed with the honorary title of Asom Ratna -- 'Jewel of Assam' by the leading intellectuals in Assam on the occasion of his 78th birthday celebrations publicly on 19 August 2007, in a programme held in Guwahati city under the presidency of Nobel laureate Rabindranath Tagore Professor of Gauhati University Dr Satyendra Narayan Goswami.  (Bhabananda Deka)"
,Exact Match,132.0,"At the beginning of 2004, he was among the first reporters to visit Darfur and describe ""the most vicious ethnic cleansing you've never heard of.""  (Nicholas Kristof)"
,Exact Match,11.0,"Also, Cajías was elected as president of the Association of Journalists of La Paz in 2014.  (Lupe Cajías)"
,Exact Match,8.0,"Paredes was the first president of the University Women's Union (Unión Femenina Universitaria; UFU), founded on 14 September 1938, the same year in which she was elected president of the La Paz Student Center of Dentistry.  (Elsa Paredes de Salazar)"
,Exact Match,8.0,"Paredes was the first president of the University Women's Union (Unión Femenina Universitaria; UFU), founded on 14 September 1938, the same year in which she was elected president of the La Paz Student Center of Dentistry.  (Elsa Paredes de Salazar)"
,Exact Match,231.0,"Pashinyan was elected member of the National Assembly from the ANC, which barely passed the 7% threshold for electoral alliances and received 7 seats.  (Nikol Pashinyan)"
,Exact Match,231.0,"Pashinyan was elected member of the National Assembly from the ANC, which barely passed the 7% threshold for electoral alliances and received 7 seats.  (Nikol Pashinyan)"
,Exact Match,5.0,"Her third novel, Missing in Machu Picchu (2013), was awarded first place in adventure fiction by the International Latino Book Awards, but was given an unfavorable review by Publishers Weekly.  (Cecilia Velástegui)"
,Exact Match,5.0,"Her third novel, Missing in Machu Picchu (2013), was awarded first place in adventure fiction by the International Latino Book Awards, but was given an unfavorable review by Publishers Weekly.  (Cecilia Velástegui)"
,Exact Match,20.0,"The film went on to receive rave reviews; screened at Abhijaan Film Festival in 2015, Bengali Film Festival held in Dubai between 5–7 February 2015 and also at the Kerala Film Festival held in Trivandrum in late 2014.  (Manoj Michigan)"
,Exact Match,4.0,Upon graduation he attended l'Academie Militaire where he remained for only three months.  (Maurice Sixto)
,Exact Match,4.0,Upon graduation he attended l'Academie Militaire where he remained for only three months.  (Maurice Sixto)
,Exact Match,1.0,"He belonged to the family of the Sufi saint Sultan Syed Makhdoom Ashraf Jahangir Semnani Wahab Ashrafi spent his early life in Kako village in Jehanabad district, Bihar.  (Wahab Ashrafi)"
,Exact Match,13.0,"In 1976, he was awarded the Birbal Sahni gold medal by the Government of India for his work in botany.   (B. G. L. Swamy)"
,Exact Match,13.0,"In 1976, he was awarded the Birbal Sahni gold medal by the Government of India for his work in botany.   (B. G. L. Swamy)"
,Exact Match,35.0,""" Flora Nwapa died of pneumonia on 16 October 1993 at a hospital in Enugu, Nigeria, at the age of 62.  (Flora Nwapa)"
,Exact Match,18.0,"He went on, in the early 1970s, to become a lecturer of mathematics at the University of Lagos.  (William Kumuyi)"
,Exact Match,11.0,"Amnesty International also issued an ""Urgent Action"" over concerns for his declining health, stating, ""He is said to suffer from heavy bleeding caused by acute haemorrhoids, reportedly exacerbated by poor prison diet.  (Bertrand Teyou)"
,Exact Match,1.0,"He received the Kerala Sahitya Academi award in the `poetry' section for his collection, Nellickal Muraleedharante Kavithakal in 2004.  (Nellikkal Muraleedharan)"
,Exact Match,8.0,"As an avid hunter, fisherman and scuba diver, Fontova began his publishing career writing for the outdoor themed magazines Louisiana Sportsman, Sierra, Scuba Times and Bowhunter.  (Humberto Fontova)"
,Exact Match,8.0,"As an avid hunter, fisherman and scuba diver, Fontova began his publishing career writing for the outdoor themed magazines Louisiana Sportsman, Sierra, Scuba Times and Bowhunter.  (Humberto Fontova)"
,Exact Match,9.0,She continues to be a regular contributor to Lakota Country Times and has written for Native Sun News and Indian Country Today.  (Delphine Red Shirt)
,Exact Match,9.0,She continues to be a regular contributor to Lakota Country Times and has written for Native Sun News and Indian Country Today.  (Delphine Red Shirt)
,Exact Match,6.0,"As of 2013, she lives and teaches in Riverside, California.In 2020, Hopkinson was named the 37th Damon Knight Grand Master.  (Nalo Hopkinson)"
,Exact Match,6.0,"As of 2013, she lives and teaches in Riverside, California.In 2020, Hopkinson was named the 37th Damon Knight Grand Master.  (Nalo Hopkinson)"
