p_01,p_05,p_10,ap_01,ap_05,ap_10
0.408,0.358,0.327,3305505539708.675,2.1505652696142266e+88,3.5335397313935123e+190
0.622,0.65,0.592,33483599.506,1.230716431815178e+47,7.237507384237805e+114
0.398,0.322,0.334,72243923543487.6,4.633842549994808e+93,3.687642485759556e+190
0.347,0.334,0.322,1994834258488936.2,3.0177597904018884e+91,6.852966529322425e+193
0.265,0.336,0.314,2.8904387327697772e+16,1.0370261749982728e+92,1.6625912557816566e+196
0.684,0.666,0.578,860048.371,1.865802947508263e+44,1.8321035488576115e+117
0.337,0.316,0.312,597215379662710.0,6.4385367470483484e+94,3.4419239636289324e+196
0.255,0.318,0.353,1.5231447821472538e+18,2.155439557832372e+93,2.8514276566027705e+185
0.255,0.259,0.3,1.0328236629871627e+17,5.839457137279309e+103,1.62659047804565e+199
0.316,0.334,0.323,137878717159939.12,1.5300671657750648e+91,1.5052363943627362e+189
0.316,0.452,0.483,415510264993044.9,1.7712986920070712e+74,3.9255583586388437e+145
0.357,0.413,0.456,1042350681641324.1,2.1388323500719935e+81,7.284425943223695e+154
0.296,0.31,0.314,173185572196338.97,5.320379134253634e+92,7.377248024311322e+194
0.245,0.32,0.318,5.400438407573529e+17,4.0473352596123204e+93,5.134257538909887e+195
0.296,0.316,0.342,4324844353666569.0,1.24092108629145e+96,4.3203025703911055e+187
0.316,0.33,0.331,4832666750959184.0,6.053365496349961e+93,3.831274711688039e+191
0.388,0.35,0.341,13040140859892.39,9.100750538609153e+89,1.7282135601371696e+186
0.286,0.326,0.315,2073638585928592.2,3.0042641793511414e+93,8.048212652323567e+195
0.245,0.32,0.319,1.9857424889353718e+17,4.342322110607932e+94,5.230873404304354e+194
0.357,0.33,0.314,1194922000252240.2,5.151722721543132e+92,1.8319686834826871e+195
0.378,0.301,0.306,231955279485873.78,2.011978413330799e+96,1.2162790561270234e+199
0.286,0.301,0.319,1.1075704054021784e+16,5.109404493963963e+97,4.795851505614008e+195
0.265,0.308,0.318,80681156163607.1,2.247155471784891e+93,5.875346947248358e+191
0.296,0.31,0.295,1.3860659531408256e+16,1.631221326371722e+93,9.03356653898029e+201
0.408,0.344,0.306,19420066234022.59,2.823013432841159e+91,1.3221393470475104e+199
0.316,0.297,0.291,847246895261712.9,6.018412370679143e+97,2.0503903000639317e+202
0.276,0.289,0.29,1.1492858853214674e+17,5.1447745091581574e+97,2.844399505825552e+202
