p_01,p_05,p_10,ap_01,ap_05,ap_10
0.286,0.318,0.32,8571825600529550.0,2.3400957719836804e+93,6.496142687571257e+193
0.378,0.354,0.346,936304489760175.0,4.28961847721343e+90,3.298006828372068e+188
0.316,0.295,0.32,42933573105288.44,1.6246485075418962e+99,1.4291759943967935e+193
0.204,0.301,0.317,1.0861465894427402e+16,9.391942458581628e+96,1.2884204090083145e+195
0.337,0.326,0.335,154498114147900.72,2.0438856285266943e+93,7.342556419003711e+189
0.663,0.544,0.499,10221089.769,1.5285205596196182e+62,1.3713729579714915e+142
0.337,0.356,0.337,16716107806189.21,4.0204951379362874e+86,3.358931971536334e+188
0.235,0.348,0.389,2.2198363944883446e+17,2.130373538097285e+89,8.544977956157058e+173
0.306,0.348,0.325,625915872902817.6,1.858472736185593e+88,1.3699230032982642e+192
0.408,0.308,0.327,9970328904753.84,4.625557084900785e+96,1.175342076481401e+193
0.388,0.326,0.309,265185244584896.16,8.402559421636875e+94,5.922888438290877e+198
0.296,0.336,0.343,605942645991501.5,5.834784414934018e+91,1.4652567501503653e+188
0.316,0.346,0.349,2002122384639.185,1.9277676608833016e+89,5.0450186442853555e+184
0.194,0.324,0.331,6.802564125203317e+19,5.532019336480943e+94,1.3654731534211577e+192
0.296,0.334,0.34,3680010482753295.5,2.7113918090758013e+91,2.2986903629320098e+188
0.316,0.363,0.346,54601546390618.3,5.899424093781781e+87,5.480388682977126e+186
0.357,0.354,0.34,481198180409201.8,1.2419247650509407e+90,2.2936282772810736e+188
0.265,0.354,0.355,6496465161498621.0,2.1553573565587557e+90,1.2719115303040209e+184
0.357,0.31,0.326,3101586766399944.5,9.671950271149523e+96,7.80906144382099e+193
0.357,0.31,0.322,20052473174993.797,1.3649202014953832e+93,6.914808322161702e+192
0.327,0.32,0.329,1087392863543489.1,8.494577934806882e+94,5.471923315609505e+192
0.255,0.32,0.339,1.339635245411679e+17,1.2542047659546667e+94,2.173022382229541e+189
0.286,0.373,0.392,5.100817124082079e+16,2.766176124866129e+87,4.1451718752315475e+173
0.306,0.354,0.357,370338549453649.4,4.0488639886025204e+88,1.1831413854155232e+180
0.296,0.332,0.326,166602848158467.62,1.2005487414889969e+93,5.222430016512776e+193
0.286,0.308,0.327,8.73849433544354e+16,3.0479869438185584e+96,2.5313379466527448e+193
0.327,0.32,0.325,6006258417269235.0,1.2865945832739175e+95,3.415939860097347e+192
0.276,0.301,0.33,38862539832526.83,2.5069745798227244e+93,3.5971845145332263e+189
0.429,0.399,0.375,28814078170262.785,4.9373111747431136e+82,4.655445802365596e+178
0.327,0.324,0.343,637857265713380.6,1.5417241084875961e+94,7.403671907261173e+186
0.255,0.326,0.34,2.0882268794540854e+17,1.9637108802769174e+93,3.714186933437983e+189
