p_01,p_05,p_10,ap_01,ap_05,ap_10
0.104,0.105,0.104,1.078920860546514e+47,inf,inf
0.084,0.094,0.091,3.287532572293152e+51,inf,inf
0.104,0.095,0.095,3.4141646928485296e+57,inf,inf
0.108,0.093,0.095,1.1334661984279464e+53,inf,inf
0.088,0.092,0.089,1.1085525953573685e+62,inf,inf
0.1,0.105,0.11,2.7630930970466466e+55,inf,inf
0.104,0.107,0.099,2.124507533425356e+56,inf,inf
0.04,0.097,0.097,1.115450436899797e+65,inf,inf
0.104,0.088,0.091,4.0536042807668646e+60,inf,inf
0.072,0.094,0.099,1.381769942622752e+64,inf,inf
0.104,0.094,0.094,1.189983649622158e+59,inf,inf
0.068,0.085,0.095,4.317836868685146e+62,inf,inf
0.108,0.094,0.092,1.800609742865876e+57,inf,inf
0.06,0.077,0.083,1.3887608456166314e+52,inf,inf
0.096,0.094,0.095,2.1173773559397782e+61,inf,inf
0.088,0.101,0.097,1.1228035697117472e+59,inf,inf
0.104,0.102,0.103,9.298973689378423e+59,inf,inf
0.112,0.108,0.098,6.62906718124073e+61,inf,inf
0.096,0.093,0.1,4.268450321209203e+56,inf,inf
0.064,0.081,0.097,1.0159567724415242e+60,inf,inf
0.116,0.101,0.098,5.511967058123973e+57,inf,inf
0.06,0.102,0.103,5.376179080049028e+52,inf,inf
0.08,0.089,0.093,4.530643352794282e+56,inf,inf
0.08,0.105,0.101,5.728241764006763e+61,inf,inf
0.088,0.085,0.093,2.094182769405454e+56,inf,inf
0.104,0.093,0.097,1.0849117131010952e+62,inf,inf
0.072,0.089,0.09,7.08133720374936e+60,inf,inf
0.1,0.099,0.1,1.4774039291294707e+55,inf,inf
0.108,0.105,0.101,5.502603047698276e+55,inf,inf
0.08,0.098,0.101,6.696548834759227e+58,inf,inf
0.092,0.103,0.098,2.218114392237871e+62,inf,inf
0.06,0.086,0.098,3.130835171528185e+64,inf,inf
0.088,0.09,0.095,6.56045900886604e+61,inf,inf
0.1,0.093,0.092,8.839509719893864e+59,inf,inf
