p_01,p_05,p_10,ap_01,ap_05,ap_10
0.112,0.101,0.1,9.403892592100838e+56,inf,inf
0.108,0.103,0.097,1.7471379303010837e+57,inf,inf
0.104,0.097,0.098,2.732180816360576e+61,inf,inf
0.1,0.091,0.095,5.1546422589612175e+57,inf,inf
0.1,0.095,0.097,2.760076493908914e+58,inf,inf
0.128,0.105,0.102,6.956654878633399e+60,inf,inf
0.092,0.097,0.102,3.457364341825242e+57,inf,inf
0.104,0.105,0.109,5.620421288751999e+58,inf,inf
0.076,0.088,0.097,1.1700128534547534e+50,inf,inf
0.096,0.11,0.104,4.394270698302128e+56,inf,inf
0.092,0.098,0.094,2.0734686041440656e+58,inf,inf
0.068,0.09,0.094,1.1227538209497999e+56,inf,inf
0.088,0.097,0.1,6.486657323043373e+63,inf,inf
0.1,0.088,0.1,1.0170752142115576e+60,inf,inf
0.096,0.101,0.1,2.4668310612586267e+62,inf,inf
0.116,0.09,0.093,2.6574759781388675e+55,inf,inf
0.096,0.082,0.088,3.752954122581627e+55,inf,inf
0.088,0.103,0.101,1.1251775286031082e+50,inf,inf
0.108,0.102,0.096,3.2057209869266806e+60,inf,inf
0.1,0.103,0.097,3.630511592825185e+58,inf,inf
0.096,0.115,0.105,2.766936006568295e+61,inf,inf
0.076,0.08,0.091,1.0879369065729447e+59,inf,inf
0.092,0.097,0.099,3.2884483441416515e+59,inf,inf
0.084,0.103,0.1,4.3446739917774025e+60,inf,inf
0.08,0.093,0.092,2.8896380343115427e+56,inf,inf
0.076,0.093,0.097,2.3288649315750873e+59,inf,inf
0.112,0.106,0.103,7.816608230109512e+55,inf,inf
0.088,0.093,0.1,2.7997685274860675e+61,inf,inf
0.116,0.089,0.091,7.198230049148457e+49,inf,inf
0.08,0.079,0.091,7.69741198864826e+60,inf,inf
0.1,0.097,0.099,4.600902886360193e+45,inf,inf
0.14,0.104,0.102,6.542863095055176e+55,inf,inf
0.112,0.097,0.101,6.794342349069266e+60,inf,inf
0.084,0.089,0.095,7.329964496311476e+54,inf,inf
0.084,0.096,0.087,2.652485743715177e+58,inf,inf
0.112,0.097,0.101,5.1252024805007575e+51,inf,inf
0.096,0.088,0.099,4.671687701029148e+50,inf,inf
0.116,0.106,0.104,4.306660832166542e+59,inf,inf
0.12,0.108,0.105,1.856977484622748e+61,inf,inf
0.084,0.099,0.098,1.0663792070943643e+53,inf,inf
0.072,0.089,0.087,4.1523206140666947e+55,inf,inf
0.092,0.086,0.09,3.685328128049232e+52,inf,inf
0.048,0.09,0.093,3.61871199448058e+44,inf,inf
0.068,0.09,0.097,2.269684307328241e+59,inf,inf
0.092,0.105,0.097,6.811382068011095e+52,inf,inf
0.104,0.1,0.096,1.1981112688027392e+59,inf,inf
0.064,0.091,0.098,6.5100145724060425e+56,inf,inf
0.06,0.091,0.093,9.760992525663234e+56,inf,inf
0.104,0.093,0.097,1.379413558099883e+61,inf,inf
0.092,0.089,0.089,1.4003316526371775e+61,inf,inf
0.12,0.102,0.097,4.0911329458699187e+58,inf,inf
0.096,0.088,0.098,1.839345403849358e+57,inf,inf
0.088,0.087,0.103,5.026592156686062e+52,inf,inf
0.124,0.106,0.094,5.985275469012119e+58,inf,inf
0.084,0.1,0.101,2.2543821771539636e+59,inf,inf
0.096,0.089,0.088,1.7339354950041711e+50,inf,inf
0.096,0.093,0.095,5.425541962081251e+61,inf,inf
0.104,0.095,0.099,2.6976783444418096e+58,inf,inf
0.1,0.102,0.097,8.731667600834785e+52,inf,inf
0.092,0.086,0.093,2.384876563618373e+62,inf,inf
0.092,0.105,0.102,3.0602609735505055e+58,inf,inf
0.08,0.099,0.1,7.627804044615549e+56,inf,inf
0.108,0.086,0.09,3.823553983431788e+60,inf,inf
0.072,0.09,0.098,1.1774585233447174e+50,inf,inf
0.1,0.109,0.105,8.709898721108463e+56,inf,inf
0.104,0.103,0.1,9.02321464974753e+56,inf,inf
0.104,0.1,0.104,8.331498786627086e+55,inf,inf
0.084,0.093,0.095,2.2931732377901487e+53,inf,inf
0.108,0.09,0.089,1.0157947203718167e+60,inf,inf
0.112,0.113,0.102,2.280276532067003e+60,inf,inf
0.08,0.097,0.097,2.703558756845075e+58,inf,inf
0.12,0.088,0.093,1.9254560844754304e+57,inf,inf
0.096,0.102,0.106,4.86108565761373e+56,inf,inf
0.08,0.101,0.103,7.037809110607695e+63,inf,inf
0.108,0.089,0.089,5.931358108094587e+55,inf,inf
0.088,0.085,0.091,2.730143385396255e+61,inf,inf
0.092,0.089,0.096,7.282140413684601e+57,inf,inf
0.104,0.097,0.098,2.3289297643669633e+50,inf,inf
0.1,0.092,0.096,5.8141433913243814e+57,inf,inf
0.096,0.095,0.096,1.0462938586201884e+60,inf,inf
0.12,0.107,0.11,1.687567009000488e+59,inf,inf
0.096,0.098,0.103,8.531727871586459e+59,inf,inf
0.092,0.085,0.103,4.484815977736479e+62,inf,inf
0.16,0.107,0.101,1.4402172942398773e+58,inf,inf
0.124,0.108,0.106,1.216791408923144e+60,inf,inf
0.096,0.099,0.093,1.1316960034668108e+53,inf,inf
0.104,0.098,0.099,3.258000252621914e+62,inf,inf
0.064,0.099,0.095,8.697326181516956e+62,inf,inf
0.08,0.101,0.1,1.3705239203332687e+55,inf,inf
0.096,0.097,0.092,1.2724910213277653e+57,inf,inf
0.092,0.097,0.095,2.53682556246906e+59,inf,inf
0.096,0.096,0.093,1.7016229084072373e+60,inf,inf
0.1,0.103,0.104,1.1471431598744953e+47,inf,inf
0.08,0.105,0.095,2.506046160968018e+62,inf,inf
0.136,0.107,0.101,8.168597447702482e+58,inf,inf
0.132,0.104,0.098,2.1680563490428266e+59,inf,inf
0.116,0.106,0.099,3.398829500098282e+60,inf,inf
0.108,0.11,0.105,2.493074869912882e+54,inf,inf
0.08,0.104,0.099,4.557710766527905e+58,inf,inf
0.14,0.108,0.109,9.794433322293678e+48,inf,inf
