p_01,p_05,p_10,ap_01,ap_05,ap_10
0.136,0.103,0.099,4.5181635581574354e+54,inf,inf
0.099,0.084,0.088,1.793880812713995e+57,inf,inf
0.099,0.092,0.092,2.974591593304807e+52,inf,inf
0.054,0.063,0.076,2.219835110420926e+53,inf,inf
0.099,0.1,0.095,1.9780422175947647e+51,inf,inf
0.103,0.077,0.08,9.282226997299138e+57,inf,inf
0.079,0.097,0.089,1.0493323029718649e+54,inf,inf
0.103,0.09,0.088,1.429716039201148e+58,inf,inf
0.095,0.092,0.088,5.926798416529642e+49,inf,inf
0.087,0.078,0.081,1.8676897410229177e+57,inf,inf
0.058,0.07,0.082,2.81434788855358e+55,inf,inf
0.091,0.083,0.081,9.030899979102411e+52,inf,inf
0.083,0.089,0.096,6.944490116615795e+59,inf,inf
0.054,0.07,0.075,3.305127564400099e+61,inf,inf
0.095,0.087,0.089,7.695795124269521e+57,inf,inf
0.058,0.073,0.081,1.3572861484292222e+52,inf,inf
0.07,0.092,0.091,9.153014178465254e+59,inf,inf
0.07,0.088,0.083,8.386060369772441e+56,inf,inf
0.062,0.085,0.087,2.0126750713701456e+57,inf,inf
0.112,0.095,0.089,3.066660361921007e+57,inf,inf
0.095,0.09,0.089,7.094995416655894e+52,inf,inf
0.091,0.083,0.085,4.057454922445362e+57,inf,inf
0.083,0.076,0.081,7.245453546101305e+56,inf,inf
0.074,0.075,0.08,2.4223274186521707e+59,inf,inf
0.05,0.055,0.074,1.9102178398076836e+45,inf,inf
0.112,0.091,0.084,1.325978358925746e+58,inf,inf
0.095,0.089,0.09,4.6225615201622386e+57,inf,inf
0.091,0.096,0.092,2.988951073129891e+52,inf,inf
0.062,0.089,0.09,2.387382018866947e+47,inf,inf
0.062,0.098,0.088,6.562677117253085e+58,inf,inf
0.079,0.083,0.085,3.1659483309085257e+49,inf,inf
0.07,0.073,0.08,3.6794515040332034e+58,inf,inf
0.083,0.077,0.081,8.744670467069776e+50,inf,inf
0.087,0.088,0.088,1.3390959595247953e+47,inf,inf
0.107,0.101,0.088,4.491995053856958e+56,inf,inf
0.079,0.075,0.085,2.8652205488704444e+47,inf,inf
0.095,0.092,0.083,7.401866494795969e+57,inf,inf
0.087,0.09,0.098,1.047034306803769e+53,inf,inf
0.107,0.102,0.09,1.4597389731733264e+55,inf,inf
0.066,0.094,0.09,2.876084346692587e+52,inf,inf
0.087,0.103,0.1,4.573653534826989e+59,inf,inf
0.087,0.083,0.086,7.280933445814436e+39,inf,inf
0.087,0.092,0.093,7.034273352988797e+54,inf,inf
0.07,0.08,0.083,1.8087589244118444e+57,inf,inf
0.062,0.088,0.088,2.8737501159282116e+58,inf,inf
0.066,0.054,0.065,4.955638707651358e+37,inf,inf
0.07,0.084,0.088,4.561316167547615e+59,inf,inf
0.116,0.085,0.09,1.2486346221619978e+54,inf,inf
0.07,0.096,0.092,1.8463864143255831e+53,inf,inf
0.083,0.091,0.092,7.283261514818596e+60,inf,inf
0.099,0.091,0.094,2.1457744330036605e+53,inf,inf
0.091,0.088,0.086,5.365498944948451e+57,inf,inf
0.074,0.088,0.088,2.3172348068762494e+41,inf,inf
0.074,0.088,0.09,2.4026689536925555e+51,inf,inf
0.07,0.084,0.088,1.9184620189607966e+42,inf,inf
0.087,0.092,0.095,2.719898463816629e+60,inf,inf
0.058,0.074,0.076,6.764863020542853e+40,inf,inf
0.045,0.059,0.078,7.250002290678036e+49,inf,inf
0.07,0.082,0.082,4.808489203370804e+59,inf,inf
0.103,0.099,0.095,7.084828426116777e+57,inf,inf
0.091,0.083,0.082,4.966705592801059e+56,inf,inf
0.083,0.094,0.086,1.804648236292375e+55,inf,inf
0.087,0.086,0.094,7.531455218760954e+58,inf,inf
0.074,0.088,0.091,1.4462473462344868e+61,inf,inf
0.066,0.087,0.085,7.423088240777111e+60,inf,inf
0.103,0.092,0.088,2.876071009781432e+55,inf,inf
0.103,0.084,0.09,7.267470760183594e+57,inf,inf
0.066,0.102,0.095,9.947444880569163e+62,inf,inf
0.099,0.092,0.094,1.1706577196421365e+56,inf,inf
0.066,0.074,0.079,1.659187697437171e+58,inf,inf
0.091,0.098,0.091,1.410850307915582e+59,inf,inf
0.074,0.084,0.081,9.0983182276755e+56,inf,inf
0.095,0.088,0.083,5.6691548705900784e+54,inf,inf
0.083,0.081,0.076,6.75499186453381e+51,inf,inf
0.091,0.089,0.083,8.996366947036066e+59,inf,inf
0.091,0.077,0.09,2.9147222847936372e+51,inf,inf
0.087,0.08,0.083,5.381096940447641e+52,inf,inf
0.079,0.082,0.078,1.7196535411604205e+46,inf,inf
0.116,0.097,0.086,1.1755679786391526e+57,inf,inf
0.074,0.078,0.078,4.570726190300905e+53,inf,inf
0.103,0.089,0.087,1.6169561201485273e+58,inf,inf
0.099,0.074,0.077,9.502672092343052e+53,inf,inf
0.066,0.087,0.095,1.0279320724096024e+52,inf,inf
0.091,0.092,0.089,5.893626638130582e+56,inf,inf
0.079,0.072,0.079,3.769420847208261e+48,inf,inf
0.066,0.09,0.085,1.4756492033416555e+59,inf,inf
0.041,0.06,0.073,4.238038078937525e+48,inf,inf
0.087,0.083,0.083,3.766316351530289e+51,inf,inf
0.091,0.094,0.093,9.356620334422596e+59,inf,inf
0.12,0.092,0.089,1.0564118031618573e+51,3.4355869751182973e+304,inf
0.091,0.094,0.088,9.432993164796602e+56,inf,inf
0.099,0.09,0.088,1.722585683521586e+55,inf,inf
