p_01,p_05,p_10,ap_01,ap_05,ap_10
0.054,0.07,0.081,9.203441209934005e+56,inf,inf
0.058,0.093,0.085,3.682804778252721e+63,inf,inf
0.087,0.094,0.092,3.774066396817394e+53,inf,inf
0.099,0.082,0.081,1.9250760576112782e+51,inf,inf
0.062,0.098,0.093,3.868446267444338e+57,inf,inf
0.087,0.076,0.079,4.919146783495646e+53,inf,inf
0.074,0.097,0.092,7.369097589264031e+60,inf,inf
0.099,0.082,0.081,1.6860873378896514e+59,2.509068542255412e+304,inf
0.107,0.096,0.09,2.2995018846883052e+55,inf,inf
0.066,0.067,0.072,4.5953588020975066e+45,inf,inf
0.079,0.087,0.081,1.328650562276305e+47,inf,inf
0.079,0.078,0.09,2.2664270273766274e+59,inf,inf
0.103,0.086,0.085,1.4066018009115967e+52,inf,inf
0.058,0.08,0.084,1.187704358705103e+59,inf,inf
0.087,0.084,0.085,1.8089061206773575e+57,inf,inf
0.079,0.077,0.078,1.858830079353328e+57,inf,inf
0.087,0.092,0.088,7.359441227742036e+54,inf,inf
0.083,0.071,0.078,5.663482379592433e+52,inf,inf
0.054,0.08,0.081,2.2029389075841572e+51,inf,inf
0.116,0.091,0.085,2.997814691081211e+53,inf,inf
0.066,0.067,0.076,7.195841698109865e+57,inf,inf
0.074,0.1,0.095,1.0891543049102786e+61,inf,inf
0.091,0.079,0.081,2.3212977882074743e+54,inf,inf
0.079,0.079,0.076,1.1942951227728858e+56,inf,inf
0.074,0.073,0.072,2.9241549587823116e+61,inf,inf
0.062,0.079,0.077,7.198579819991304e+54,inf,inf
0.07,0.087,0.087,9.014256228746465e+60,inf,inf
0.074,0.083,0.084,2.3178177326871143e+48,inf,inf
0.083,0.081,0.085,1.9107840700388588e+60,inf,inf
0.074,0.087,0.083,2.278367405425082e+59,inf,inf
0.087,0.076,0.078,2.8418565298374394e+47,inf,inf
0.079,0.079,0.081,5.626686904530749e+55,inf,inf
0.112,0.084,0.078,6.953070655466092e+51,inf,inf
0.087,0.083,0.086,9.104557346127466e+59,inf,inf
0.066,0.078,0.085,3.756739805306559e+54,inf,inf
0.083,0.094,0.094,1.4446813604976945e+61,inf,inf
0.099,0.082,0.086,1.5223681939594122e+52,inf,inf
0.095,0.085,0.085,2.3689723768175908e+52,inf,inf
0.099,0.095,0.086,2.2701721036089853e+56,inf,inf
0.079,0.09,0.092,8.177227996232759e+40,1.5517462442052827e+301,inf
0.07,0.086,0.087,5.827721443338641e+58,inf,inf
0.107,0.083,0.084,1.3373560066561738e+57,inf,inf
0.091,0.097,0.093,1.1599053066636092e+56,inf,inf
0.054,0.083,0.081,9.960654534801459e+56,inf,inf
0.066,0.078,0.079,3.4562022042699884e+59,inf,inf
0.079,0.085,0.079,4.523674328076367e+59,inf,inf
0.087,0.081,0.083,9.500630338641136e+58,inf,inf
0.079,0.088,0.092,6.071089974474366e+58,inf,inf
0.087,0.084,0.088,1.919195738605477e+57,inf,inf
0.066,0.076,0.073,4.952774024112951e+56,inf,inf
0.066,0.09,0.087,2.982306051344646e+58,inf,inf
0.099,0.092,0.089,9.667611851635451e+56,inf,inf
0.087,0.086,0.083,3.755543389981781e+60,inf,inf
0.099,0.085,0.085,1.930218424671616e+55,inf,inf
0.07,0.077,0.078,7.249177328868776e+54,inf,inf
0.083,0.083,0.087,1.4082490167376634e+52,inf,inf
0.054,0.075,0.083,1.4591430284273573e+58,inf,inf
0.062,0.066,0.079,3.571563073672109e+57,inf,inf
0.091,0.087,0.091,1.3140012075026507e+53,inf,inf
0.062,0.086,0.085,1.8122960677069337e+54,inf,inf
0.045,0.078,0.081,1.5548986732894437e+58,inf,inf
0.091,0.096,0.092,4.560218691831279e+59,inf,inf
0.079,0.077,0.083,7.113588982392945e+57,inf,inf
0.074,0.082,0.081,1.1732045068547191e+53,inf,inf
0.091,0.089,0.096,2.3535303199969976e+57,inf,inf
0.095,0.087,0.086,2.943306940806701e+58,inf,inf
0.103,0.073,0.082,1.7972781525617595e+57,inf,inf
0.112,0.084,0.088,1.653902867964429e+53,inf,inf
0.095,0.091,0.083,5.654579960443411e+52,inf,inf
0.079,0.073,0.076,1.2487198006231527e+59,inf,inf
0.091,0.081,0.08,3.7091602283946363e+49,inf,inf
0.066,0.084,0.085,3.7713971280274e+57,inf,inf
0.07,0.093,0.085,6.72728907276412e+56,inf,inf
0.083,0.09,0.084,2.1856235478613845e+58,inf,inf
0.074,0.088,0.083,4.573684376057158e+59,inf,inf
0.091,0.092,0.087,1.1484467027483213e+56,inf,inf
0.066,0.078,0.085,2.9702369211256933e+52,inf,inf
0.095,0.092,0.083,2.0308689932111102e+39,inf,inf
0.066,0.079,0.084,1.444431012511218e+61,inf,inf
0.091,0.078,0.076,2.822605837646958e+58,inf,inf
0.054,0.078,0.088,2.905825626134892e+58,inf,inf
0.079,0.084,0.085,1.264469945219977e+55,inf,inf
0.079,0.094,0.091,8.981242687675476e+56,inf,inf
0.07,0.082,0.089,2.229831848715832e+49,inf,inf
0.128,0.085,0.083,5.631169992161766e+58,inf,inf
0.087,0.078,0.085,2.4287246916765325e+57,inf,inf
0.074,0.078,0.083,1.644742680486937e+58,inf,inf
0.12,0.089,0.084,1.4906905671807182e+52,inf,inf
0.07,0.075,0.086,2.2317672061807717e+50,inf,inf
0.103,0.083,0.087,9.263094152758417e+55,inf,inf
0.099,0.09,0.087,1.1021146669193745e+56,inf,inf
0.091,0.08,0.089,4.416049036267717e+56,inf,inf
0.05,0.087,0.088,5.817587950181611e+58,inf,inf
